,https://roic.ai/company/AP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12179000,-22259000,-38713000,-44409000,-41030000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,125000,16000,238000,216000,978000,204000,807000,3625000,- -,912000,790000,167000,123000,214000,581000,- -,- -,- -,- -,- -,18139000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-2900000,-2900000,-1700000,-1000000,-1000000,-1400000,-3300000,-3400000,-3800000,-3841000,-3842000,-3848000,-3854000,-3879000,- -,-3927000,-5514000,-7022000,-7341000,-7378000,-7429000,-7442000,-7455000,-7489000,-7512000,-5206000,-2236000,-35000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-1200000,-2000000,-39600000,-700000,- -,11200000,- -,- -,2100000,2000000,-2000000,-1350000,- -,- -,- -,- -,3184000,- -,276000,681000,47000,16000,5000,60000,- -,8509000,34144000,49994000,40629000,5671000,24402000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-4100000,-4900000,-41300000,-1700000,-1000000,9800000,-3300000,-3400000,-1600000,-1716000,-5826000,-4960000,-3638000,-2901000,-3699000,-3120000,1295000,-7022000,-6153000,-5907000,-7215000,-7303000,-7236000,-6848000,-7512000,-8876000,9649000,11246000,-3780000,-17220000,24402000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,200000,- -,200000,200000,-100000,-100000,- -,-100000,-376000,-208000,766000,624000,-340000,182000,480000,116000,-4608000,1516000,-301000,167000,229000,409000,-720000,-670000,-1155000,1492000,-1012000,-180000,1396000,-307000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-4100000,-4900000,-41300000,-1700000,-1000000,9800000,-3300000,-3400000,-16800000,1538000,-4347000,14171000,7950000,1056000,-3426000,48170000,15543000,9980000,-15166000,3580000,-133000,9001000,19021000,-812000,-1976000,-56543000,-17879000,137000,-13877000,9882000,-6505000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,17861000,13514000,27685000,35739000,36795000,7914000,56084000,71627000,81607000,66441000,70021000,69888000,78889000,97910000,97098000,95122000,38579000,20700000,20837000,6960000,16842000,10337000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,2400000,4600000,3600000,9600000,19300000,15600000,25500000,21700000,33100000,16323000,17861000,13514000,27789000,35739000,11340000,7914000,56084000,71627000,81607000,66441000,70021000,69888000,78889000,97910000,97098000,95122000,38579000,20700000,20837000,6960000,16842000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,1200000,-100000,9800000,3800000,13000000,8900000,-900000,12700000,-15900000,2626000,470000,15726000,-4424000,2257000,6119000,18878000,15398000,23860000,426000,7950000,6507000,15776000,25969000,6666000,11098000,-16200000,-30738000,-16443000,-18061000,25169000,-15866000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6176/000156459021015797/0001564590-21-015797-index.htm,https://www.sec.gov/Archives/edgar/data/6176/000156459022010687/0001564590-22-010687-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
