,https://roic.ai/company/RGEN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-5900000,-3800000,- -,- -,- -,- -,- -,-8806367,-49959538,-22801063,-8329507,-20960151,-17221751,-11383595,-13973896,-54797953,-56865473,-47038060,-84329731,-39109959,-42480331,-27507599,-20168000,-23700000,-47000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2400000,200000,2700000,7900000,- -,1200000,200000,100000,- -,- -,45000000,20881667,11782578,12856899,17301991,13583000,17075000,41671877,25973235,59336807,83650417,43214487,29208818,34803854,27587000,23400000,19600000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-6100000,600000,-100000,600000,5900000,- -,- -,- -,7090,24500,-500000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,45000,450000,-3402000,-4650000,-3889000,-4187000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,1300000,-7200000,-20800000,4000000,- -,6600000,-200000,- -,-300000,-9016533,-5119759,-2727367,2669500,-8411025,27582,1463910,1774575,-14228661,-32232237,9921398,-1503980,2840881,-17906289,-19792229,4791000,-49194000,-98246000,-14037000,-205308000,-201385000,-221169000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42938,-42405,-56850,- -,- -,- -,- -,- -,- -,-11000,-114989000,- -,-21000
91,Common Stock Issued,- -,- -,- -,- -,- -,11400000,24600000,8900000,17400000,400000,400000,- -,2000000,- -,34126829,677145,14108,- -,11980067,30501,340111,158000,637655,- -,- -,- -,- -,- -,- -,- -,- -,129309000,- -,320713000,297775000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1954456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,13000000,500000,400000,-4600000,- -,- -,- -,- -,- -,- -,- -,- -,-4802,-7609,-40029,-39962,401759,53991,6571,1159064,2522184,1680431,767000,112113000,636000,3418000,279143000,8141000,982000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,11400000,24600000,21900000,17900000,800000,-4200000,- -,2000000,- -,34126829,677145,14108,- -,11980067,25699,332502,117971,597693,-1595635,11586,-50279,1159064,2522184,1680431,767000,112113000,129945000,3407000,484867000,305916000,961000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,602523,73970,-4756129,-1882000,-2299000,2376000,-2077000,-3190000,12729000,-12286000
97,Net Change In Cash,- -,- -,- -,- -,- -,11400000,24600000,21900000,17900000,800000,-4200000,- -,2000000,- -,21975795,-9062921,-7467431,-2588190,-2149327,-741996,2211796,2298028,24835633,-27520728,7484630,1677504,18042076,10619832,-4466629,18729000,68141000,51526000,20063000,343585000,179885000,-113478000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25226546,16163625,8696194,6108004,3958677,3216681,5428477,7726505,32562138,5041410,12526040,14203544,29209821,39829653,35363024,54092000,122233000,173759000,193822000,537407000,717292000,603814000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,15600000,22600000,31400000,30600000,27700000,13800000,6900000,3500000,4700000,3250751,25226546,16163625,8696194,6108004,3958677,3216681,5428477,7726505,32562138,5041410,12526040,11167745,29209821,39829653,35363000,54092000,122233000,173759000,193822000,537407000,717292000
100,Free Cash Flow,- -,- -,- -,- -,- -,-6800000,-9900000,-20100000,-24800000,-15200000,-9800000,-3600000,-800000,-1500000,-3351756,-4805028,-5062143,-6341261,-6026142,-847935,-320111,-921047,37364016,4967145,-3045703,2707097,12175961,21295191,12798751,12425000,3196000,11997000,18733000,44062000,36281000,47740000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730272/000119312505124977/0001193125-05-124977-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312506127642/0001193125-06-127642-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312507132409/0001193125-07-132409-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312508133668/0001193125-08-133668-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312509129275/0001193125-09-129275-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312510136879/0001193125-10-136879-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312511161972/0001193125-11-161972-index.html,- -,https://www.sec.gov/Archives/edgar/data/730272/000119312514099241/0001193125-14-099241-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312515095569/d854858d10k.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312516478518/0001193125-16-478518-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312517054220/0001193125-17-054220-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312518054262/0001193125-18-054262-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312519060645/0001193125-19-060645-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312520050136/0001193125-20-050136-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312521054675/0001193125-21-054675-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000095017022001430/0000950170-22-001430-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
