,https://roic.ai/company/VERU,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-161670,-40150,-107186,-95825,-104396,-11200,-7206,-15200,-7200,-165463,-104785,-4124042,-5545310,-6192675,-7468248,-6074164,-5338,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4400000,-800000,1200000,200000,11800000,3100000,3712417,4468348,2922184,966380,- -,150000,391597,-24986,-2434730,-521980,- -,- -,-36499,738372,569740,- -,-2164943,- -,117600,- -,- -,- -,9799077,64967,415464,1637877
95,Cash Used/Provided by Financing Activities,- -,4400000,-800000,1200000,200000,11700000,3100000,5961175,574584,1789723,1923799,891850,842814,498780,-129382,121823,1520014,-13800,-278271,-1877422,-3235055,-3932639,-5591372,-8660266,-7863915,-6694309,-6288,- -,- -,12078752,8129367,9329481,109718430
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-9675,-44132,27984,30589,37864,-33720,3012,43022,102040,-76547,160123,145008,-785068,-119295,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4400000,-800000,1200000,200000,11700000,3100000,1392736,-1280613,-153180,-909578,-113407,11284,89237,254987,123187,1019584,52327,-1027972,1122727,888049,108579,1330548,1041456,3626968,-3126207,-1690409,-1720732,892520,481907,2535643,7293626,108770757
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,2914080,1633467,1480287,570709,457302,468406,558643,632295,755482,1775066,1827393,799421,1922148,2810197,2918776,4249324,5290780,8922430,5796223,4105814,2385082,3277602,3759509,6295152,13588778,122359535
99,Cash at the Beginning of Period,- -,- -,4600000,1500000,100000,- -,3500000,1521344,2914080,1633467,1480287,570709,457122,469406,377308,632295,755482,1775066,1827393,799421,1922148,2810197,2918776,4249324,5295462,8922430,5796223,4105814,2385082,3277602,3759509,6295152,13588778
100,Free Cash Flow,- -,200000,-1900000,-2300000,100000,-7900000,-4600000,-4668939,-5633746,-2811746,-2841329,-1043121,-682810,-413660,242775,-260754,-450945,143745,-1062217,3896796,4103521,3940722,6921868,9637751,11490883,3568102,-1684121,-1720732,849402,-11596845,-5593724,-2035855,-15947673
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863894/000100015896000304/0001000158-96-000304-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863894/000104216704000449/0001042167-04-000449-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216705000519/0001042167-05-000519-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216706000507/0001042167-06-000507-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216707000373/0001042167-07-000373-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216708000194/0001042167-08-000194-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216709000214/0001042167-09-000214-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216710000257/0001042167-10-000257-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184311003652/0001171843-11-003652-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184312004364/0001171843-12-004364-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184313004893/0001171843-13-004893-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389414000010/0000863894-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389415000009/0000863894-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389416000032/0000863894-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000156276217000231/0001562762-17-000231-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389418000011/0000863894-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389419000014/0000863894-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389420000021/0000863894-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389421000013/0000863894-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
