,https://roic.ai/company/JW-B,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,-4700000,-4700000,-4100000,-4100000,-4200000,-4800000,-5500000,-6200000,-7000000,-7900000,-8608000,-9726000,-11015000,-12344000,-16270000,-18125000,-21103000,-22839000,-25613000,-30478000,-32986000,-38764000,-48257000,-57426000,-58953000,-68498000,-69896000,-71545000,-73542000,-75752000,-76658000,-76938000
94,Other Financing Activites,- -,- -,- -,- -,37900000,-1500000,-16300000,-4000000,-4000000,-31500000,-800000,113200000,-200000,- -,- -,-30000000,170000000,-30000000,-35000000,-4008000,-32544000,833862000,-110408000,595045000,827578000,341478000,919025000,694048000,727036000,787886000,464295000,698706000,484314000,594397000,926523000,608369000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,34700000,-5900000,-44700000,-6900000,-5400000,-35900000,-7300000,97700000,-9200000,-41200000,-40034000,-47271000,159918000,-52505000,-72438000,-113475000,-157341000,810207000,-124510000,-89055000,-156418000,-230044000,-104715000,90401000,-53534000,-60958000,-285663000,-346172000,-96831000,-17595000,172677000,-47086000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-400000,-100000,300000,-1300000,-800000,800000,-300000,500000,-500000,-2000000,-4408000,-1174000,549000,2469000,730000,1123000,-315000,2437000,2379000,-7048000,-1779000,15795000,-4904000,-10660000,6894000,-43429000,-6534000,-31011000,3661000,-8443000,-4943000,11629000
97,Net Change In Cash,- -,- -,- -,- -,34700000,-5900000,-44700000,-6900000,-5400000,-23000000,-7300000,97700000,48300000,-41200000,-106671000,10648000,-13242000,-6464000,48786000,7374000,-28644000,-5007000,-12182000,43517000,50685000,48340000,57977000,74310000,152237000,-28936000,-93635000,-305290000,111257000,-76709000,109499000,-108688000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,34500000,- -,- -,127400000,- -,42299000,52947000,39705000,33241000,82027000,89401000,60757000,55750000,59311000,102828000,153513000,201853000,259830000,334140000,486377000,457441000,363806000,58516000,169773000,93548000,203047000,94359000
99,Cash at the Beginning of Period,- -,- -,- -,- -,10800000,51500000,82000000,40000000,46300000,57500000,34400000,55300000,79100000,127400000,148970000,42299000,52947000,39705000,33241000,82027000,89401000,60757000,71493000,59311000,102828000,153513000,201853000,259830000,334140000,486377000,457441000,363806000,58516000,170257000,93548000,203047000
100,Free Cash Flow,- -,- -,- -,- -,20300000,46700000,22100000,12600000,8100000,12100000,28300000,-74400000,31500000,96900000,116035000,102358000,106723000,105907000,182990000,216660000,189933000,112924000,116751000,295246000,370679000,321226000,312271000,278333000,290660000,286001000,256252000,203801000,240930000,164170000,198002000,226711000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714020000034/0000107140-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000114036121023449/0001140361-21-023449-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
