,https://roic.ai/company/NI-PB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-214100000,-244700000,-235100000,-491300000,-290900000,-1110400000,-5475700000,-447200000,-202700000,-5700000,-519100000,-572100000,-732500000,-681400000,-1114300000,-654800000,-943300000,-1149300000,-1425200000,-1891400000,-2116600000,1944900000,-1582900000,-1808500000,-1926100000,-1922400000,-879100000,-2204900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2230300000,-977700000,-286900000,-913800000,-589000000,-521000000,-3028600000,-434600000,-2137400000,-1224600000,-855600000,-4242100000,-25700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,7400000,5700000,218600000,10400000,324900000,2042100000,15100000,734900000,354700000,160800000,40000000,21900000,8200000,1300000,10600000,14400000,24400000,383500000,43700000,30300000,22500000,23100000,336700000,848200000,244400000,211400000,1139500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68900000,-76300000,-143100000,-135500000,-206400000,-128900000,-72800000,-1100000,-53600000,-348700000,-4100000,-1600000,-87700000,-2100000,- -,-2600000,-1500000,-3100000,-10000000,-8100000,-10200000,-20400000,-9400000,-7200000,-4000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96700000,-102100000,-104000000,-111600000,-116400000,-125600000,-131800000,-239000000,-241500000,-284000000,-243100000,-250300000,-251900000,-252100000,-252400000,-253300000,-255600000,-257800000,-273200000,-305900000,-321300000,-263400000,-205500000,-229100000,-284900000,-354600000,-376700000,-400300000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,65500000,12300000,153300000,95800000,149200000,569700000,3796600000,-435500000,-1473300000,-193000000,-414500000,111600000,-142300000,173100000,767200000,1460000000,1431100000,804800000,988000000,1304400000,1617800000,-121700000,1416900000,3105700000,2134000000,1332200000,4159700000,242800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98000000,-158700000,-88100000,67300000,-163200000,640100000,5634100000,-660500000,-1033500000,-471000000,-500900000,-100300000,-460000000,-72900000,516100000,-1015600000,210700000,281400000,174500000,445100000,795600000,-3411600000,790500000,1068700000,1468700000,366400000,-247700000,956300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,-11900000,-2200000,4500000,30000000,-17300000,151500000,-65100000,-63800000,-3800000,2800000,39900000,-36300000,2900000,-14000000,-4200000,-7200000,2300000,24800000,-9500000,-1400000,-9400000,10900000,2400000,82700000,27300000,-22800000,-30700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,40400000,28500000,26300000,30800000,60800000,43500000,193000000,127900000,54300000,27300000,30100000,69400000,33100000,36000000,20600000,16400000,9200000,11500000,36300000,26800000,25400000,15500000,26400000,38400000,121100000,148400000,125600000,94900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,16100000,40400000,28500000,26300000,30800000,60800000,41500000,193000000,118100000,31100000,27300000,29500000,69400000,33100000,34600000,20600000,16400000,9200000,11500000,36300000,26800000,24900000,15500000,36000000,38400000,121100000,148400000,125600000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,135800000,201700000,117900000,209600000,238300000,-626200000,-372500000,374500000,550500000,-101700000,505800000,121900000,518800000,-31100000,-715400000,889000000,-78400000,-255000000,-223300000,-443100000,-708900000,96100000,-671900000,-953600000,-1278100000,-219100000,-654100000,-620100000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111711/000111171120000013/0001111711-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171121000010/0001111711-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171122000007/0001111711-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
