,https://roic.ai/company/CTAS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,1300000,3000000,-100000,7600000,- -,- -,6300000,8300000,11900000,-1400000,17379000,8459000,20629000,7648000,15839000,4191000,257000,-332000,1663000,-1174000,13295000,47908000,56727000,48023000,47109000,20866000,-59302000,3902000,-119295000,31708000,-16252000,-42242000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11953000,15349000,15203000,20312000,23310000,29875000,47002000,79293000,88868000,112835000,139210000,115435000,112035000
77,Change in Working Capital,- -,- -,- -,- -,-4300000,-4500000,22700000,35100000,8100000,16400000,48500000,45000000,109700000,72800000,63678000,82689000,-28151000,32089000,135852000,101506000,-43883000,-12482000,161396000,37714000,188454000,125376000,-395961000,197893000,106980000,-60801000,-340269000,49146000,378449000,-93528000,315957000,-515280000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71149000,1140000,-48986000,-24261000,-42704000,-56231000,-1443000,-52762000,-93557000,-66267000,-94918000,39681000,-32576000
79,Inventory,- -,- -,- -,- -,-4800000,-9800000,-5500000,-7200000,-19800000,-21400000,-9400000,-5900000,-21800000,-5900000,-22976000,-48693000,31731000,-35638000,46396000,-26321000,22033000,-32090000,-6100000,35136000,30293000,-78824000,-2330000,10997000,-11062000,23785000,-17917000,-668000,-3323000,-60039000,-74773000,-75501000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24560000,8939000,29215000,-12557000,25023000,30446000,-33445000,-564000,13726000,35275000,12276000,2629000,-2604000
81,Other Working Capital,- -,- -,- -,- -,68600000,64100000,86800000,121900000,130000000,146400000,194900000,239900000,349600000,422400000,486078000,568767000,540616000,572705000,708557000,810063000,766180000,753698000,915094000,952808000,1141262000,1266638000,870677000,1068570000,1175550000,1114749000,774480000,823626000,1202075000,1108547000,1424504000,909224000
82,Other Non-Cash Items,- -,- -,- -,- -,7200000,-2400000,-18000000,-29100000,-24000000,-41500000,-60700000,-75400000,-183000000,-97400000,-115925000,-178730000,30679000,-101364000,-57446000,-140177000,17681000,-48259000,-145824000,48566000,-23205000,-245476000,335316000,-221297000,-141299000,-12491000,-72676000,-55332000,-529831000,-254602000,-378747000,307308000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,43100000,43900000,63200000,81600000,71400000,75300000,112400000,116400000,118700000,203100000,258032000,246958000,377433000,330687000,509709000,414213000,461886000,449391000,544543000,523522000,561572000,340886000,469862000,552748000,607969000,580276000,465845000,763887000,964160000,1067862000,1291483000,1360740000
84,CAPEX,- -,- -,- -,- -,-41500000,-56000000,-31600000,-29700000,-37200000,-58900000,-56800000,-67800000,-110700000,-186800000,-161432000,-147444000,-107284000,-115019000,-112888000,-140727000,-156632000,-180824000,-190333000,-160092000,-111078000,-182592000,-160802000,-196486000,-145580000,-217720000,-275385000,-273317000,-271699000,-276719000,-230289000,-143470000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24982000,-30535000,-732227000,-37173000,-101654000,-109076000,-346363000,-160707000,-111535000,-30909000,-50444000,-171552000,-24864000,-69370000,145918000,176210000,459596000,-2074095000,108489000,-6613000,-53720000,-10038000
86,Purchases of Investments,- -,- -,- -,- -,-33300000,-12100000,-18200000,-47300000,-58600000,-182700000,-108900000,-64500000,-116800000,-225200000,-98233000,-40474000,-165372000,-4752000,-189622000,-202265000,-25613000,-48515000,-54498000,-128402000,-81269000,-78307000,-585655000,-178464000,-65858000,-195471000,-494146000,-181065000,-153708000,-17841000,-10031000,-4299000
87,Sales/Maturities of Investments,- -,- -,- -,- -,35000000,23200000,16100000,20700000,47100000,196200000,74200000,49300000,117300000,235400000,112908000,61609000,157419000,23790000,48078000,102997000,87477000,118174000,45791000,116433000,34712000,139056000,665016000,161478000,54196000,161938000,434179000,218324000,179857000,73342000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-5300000,-14300000,-18500000,-47500000,-13200000,-46600000,-2700000,-8600000,-1900000,17100000,14801000,-4565000,-1882000,-3068000,12282000,-1663000,1085000,-1836000,-400000,-160343000,-106499000,-187790000,-158791000,-197825000,-150799000,-97690000,-271248000,-273513000,-270336000,-284526000,-221647000,-122878000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-45100000,-59200000,-52200000,-103800000,-61900000,-92000000,-94200000,-91600000,-112100000,-159500000,-156938000,-161409000,-849346000,-136222000,-343804000,-350734000,-440046000,-273708000,-310975000,-203221000,-203500000,-298593000,-104294000,-284181000,-16543000,44987000,128381000,-2310349000,-135698000,-235638000,-285398000,-137215000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-164649000,-603000,-502208000,-1323000,-225636000,-8187000,-518000,-16000,-250000000,-600500000,- -,-200000000,- -
91,Common Stock Issued,- -,- -,- -,- -,200000,200000,300000,700000,1100000,1100000,800000,1100000,900000,2300000,3399000,5992000,3247000,5699000,5868000,4621000,7680000,10863000,8371000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58204000,-323409000,-198949000,-191479000,-25847000,-969000,-443690000,-392328000,-215681000,-370599000,-551970000,-780151000,-20724000,-127319000,-1016300000,-464518000,-554121000
93,Dividends Paid,- -,- -,- -,- -,-3300000,-4100000,-5100000,-6500000,-8000000,-9400000,-11800000,-14500000,-17600000,-24900000,-31249000,-37173000,-42454000,-46003000,-49634000,-54968000,-58823000,-61996000,-70831000,-72207000,-73960000,-71812000,-70820000,-79744000,-93320000,-201891000,-115273000,-142433000,-175589000,-220764000,-267956000,-451327000
94,Other Financing Activites,- -,- -,- -,- -,6900000,18200000,-4500000,33400000,-8300000,30400000,-4800000,-6300000,6400000,-18600000,-36865000,-32826000,478024000,-162550000,-67021000,911000,348430000,70845000,51235000,8355000,-977000,997672000,3896000,265003000,42371000,41819000,28716000,1991659000,39268000,363759000,-22733000,125580000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3800000,14300000,-9300000,27600000,-15200000,15000000,-15800000,-19700000,-10300000,-41200000,-64715000,-64007000,438817000,-202854000,-110787000,-107640000,-26122000,-179237000,-202704000,-254348000,-76509000,-20038000,-460575000,-256058000,-429735000,-712560000,-866724000,1578502000,-864140000,-873305000,-955207000,-879868000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2432000,-27000,4570000,-3274000,-61000,-676000,-8918000,-5218000,-2131000,5136000,-998000,-2121000,4581000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,36379000,21542000,-33096000,-8389000,55118000,-44161000,-4282000,-3554000,30864000,63521000,281536000,26825000,-98281000,12448000,161015000,-96215000,-277716000,29909000,-30542000,-42079000,48757000,348238000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,52182000,73724000,40628000,32239000,87357000,43196000,38914000,35360000,66224000,129745000,411281000,438106000,339825000,352273000,513288000,417073000,139357000,169266000,138724000,96645000,145402000,493640000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4700000,6400000,7100000,8800000,14200000,8400000,6700000,9100000,16400000,13400000,15803000,52182000,73724000,40628000,32239000,87357000,43196000,38914000,35360000,66224000,129745000,411281000,438106000,339825000,352273000,513288000,417073000,139357000,169266000,138724000,96645000,145402000
100,Free Cash Flow,- -,- -,- -,- -,1600000,-12100000,31600000,51900000,34200000,16400000,55600000,48600000,8000000,16300000,96600000,99514000,270149000,215668000,396821000,273486000,305254000,268567000,354210000,363430000,450494000,158294000,309060000,356262000,462389000,362556000,190460000,490570000,692461000,791143000,1061194000,1217270000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723254/000072325494000007/0000723254-94-000007-index.html,https://www.sec.gov/Archives/edgar/data/723254/000072325495000006/0000723254-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/723254/000072325496000007/0000723254-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/723254/000089225197000145/0000892251-97-000145-index.html,https://www.sec.gov/Archives/edgar/data/723254/000089225198000270/0000892251-98-000270-index.html,https://www.sec.gov/Archives/edgar/data/723254/000095015299007187/0000950152-99-007187-index.html,https://www.sec.gov/Archives/edgar/data/723254/000091205700039325/0000912057-00-039325-index.html,https://www.sec.gov/Archives/edgar/data/723254/000095010901503261/0000950109-01-503261-index.html,https://www.sec.gov/Archives/edgar/data/723254/000091205702033406/0000912057-02-033406-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746903029303/0001047469-03-029303-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465904024519/0001104659-04-024519-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465905039417/0001104659-05-039417-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465906053974/0001104659-06-053974-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000089225107000154/0000892251-07-000154-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000089225108000175/0000892251-08-000175-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746909007009/0001047469-09-007009-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746910006785/0001047469-10-006785-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746911006745/0001047469-11-006745-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325412000004/0000723254-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325413000011/0000723254-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325414000020/0000723254-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/0000723254-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325416000050/0000723254-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325417000020/0000723254-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325418000015/0000723254-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325419000021/0000723254-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325420000025/0000723254-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325421000021/0000723254-21-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
