,https://roic.ai/company/CCEP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15207780,- -,- -,-8000000,- -,- -,-8000000,-11000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16974100,- -,- -,17269560,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-118511400,-153680527,-5792850,-240184280,9785520,30416490,9641640,18181800,-58833540,-136149230,-17035840,-1166618580,-29542070,75432850,17704320,40526880,27276840,43895680,4310040,-54440880,263916900,-3086200,-282040220,-208563840,-250819800,-252446160,-18000000,-4000000,-71000000,-77000000,- -,124000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-307662600,-331791551,-246609900,-556546410,-304982040,-483544200,-1033262420,-2667270060,-1569747060,-1717269120,-1331989740,-2259059100,-1038737300,-807528510,-680140960,-731172460,-721320880,-599450380,-700381500,-693772240,-555654100,-276986450,-282040220,-238979400,-233550240,-252446160,-383000000,-488000000,-596000000,-599000000,-370000000,-5605000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1197699360,-345122100,-6943950,-12098240,-451164140,-93749040,-443610100,-497000000,-1180000000,-444000000,-625000000,-569000000,-950000000
91,Common Stock Issued,- -,- -,- -,- -,7005600,1718353,- -,1792420,12231900,7799100,8034700,11818170,19611180,15900640,9582660,22478200,30495040,23820900,133520080,33772400,55311370,84362010,12930120,- -,- -,- -,- -,- -,- -,19207860,18000000,13000000,25000000,26000000,14000000,28000000
92,Common Stock Repurchased,- -,- -,- -,- -,-98078400,-186777500,- -,-5377260,-22832880,-31976310,-147035010,- -,-387960300,-80496990,-132027760,-8991280,- -,- -,- -,- -,- -,- -,- -,- -,-150380000,-617240000,-589789200,-728525080,-749992320,-561601240,-2990000000,- -,-502000000,-1005000000,-129000000,- -
93,Dividends Paid,- -,- -,- -,- -,-16346400,-11729627,-4965300,-15235570,-5708220,-5459370,-15265930,-29999970,-49454280,-69565300,-74531800,-80921520,-71472750,-58758220,-56063680,-64167560,-86376660,-79560920,-99130920,-102600120,-30076000,-124991100,-141398180,-154250340,-202300560,-235067620,-204000000,-489000000,-513000000,-574000000,-386000000,-638000000
94,Other Financing Activites,- -,- -,- -,- -,166091100,381549077,-27309150,138016340,-184293960,- -,410573170,1827270900,1200545280,530683860,127768800,1063218860,-495544400,-581229960,-543670160,-648430080,-401575700,-552811220,-4310040,963882760,417304500,649645100,322871780,685074280,397199880,582638420,3047000000,504000000,175000000,876000000,1170000000,4849000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,58671900,184760303,-32274450,119195930,-200603160,-29636580,256306930,1809089100,782741880,396522210,-69208100,995784260,-536522110,-616167280,-466213760,-678825240,-432640990,-548010130,-90510840,-336416720,-108273600,-99529950,-420413840,-648865280,-648842040,-638432680,-626000000,-1152000000,-1259000000,-1302000000,100000000,3289000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10327520,-7598790,7576900,2743480,-12930120,6979600,-18797500,-8487050,14366660,10862700,-23848440,-18293200,-5000000,-9000000,-2000000,4000000,-13000000,83000000
97,Net Change In Cash,- -,- -,- -,- -,58671900,184760303,-32274450,119195930,8970060,-10918740,31335330,-1818180,19611180,72546670,162905220,-11239100,-205841520,9528360,55326000,-40526880,58342130,-9602180,358451660,219159440,-62407700,280072650,27977180,-273740040,-98683200,-48476980,230000000,-26000000,-51000000,7000000,1207000000,-116000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,17940120,6239280,37763090,40909050,57980880,140124390,313033560,319190440,64801960,63522400,114340400,90341170,139414960,116597900,518641480,723086560,241359900,527740200,545176940,248393740,183386280,155492200,386000000,360000000,309000000,316000000,1523000000,1407000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7078575,373555,52963200,5377260,8970060,17158020,6427760,42727230,38369700,67577720,150128340,330429540,270643480,53994040,59014400,130868050,81072830,126200080,160189820,503927120,303767600,247667550,517199760,522133780,282069480,203969180,156000000,386000000,360000000,309000000,316000000,1523000000
100,Free Cash Flow,- -,- -,- -,- -,53198775,16436420,-9930600,125469400,216096900,111527130,308532480,-22727250,-515859300,-77515620,306645120,159595220,388811760,560585180,493507920,605370270,536444520,491768790,457582580,547200640,401514600,374973300,440073480,379470320,556737720,578979780,747000000,1103000000,1206000000,1302000000,1082000000,1671000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650107/000165010718000022/0001650107-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1650107/000165010719000025/0001650107-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1650107/000165010720000024/0001650107-20-000024-index.html,- -,- -
102,Forex Rate,1.0734,1.3113,1.1734,1.1918,1.367,1.3369,1.2047,1.113,1.2269,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
