,https://roic.ai/company/NWN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,39600000,5700000,6500000,52400000,5400000,4826000,5157000,6533000,8331000,48153000,7486000,3913000,2180000,2310000,- -,4598000,3040000,6758000,5964000,8986000,3875000,60122000,- -,- -,92956000,- -,17501000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-1200000,-1100000,-1300000,-900000,-900000,-3255000,-6542000,-25750000,-8428000,-1537000,-14945000,-15971000,-44627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2034000,-7951000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26400000,-28300000,-29600000,-30000000,-32200000,-33100000,-33664000,-33717000,-34603000,-33047000,-35105000,-36376000,-38298000,-38613000,-40178000,-42415000,-44652000,-46690000,-48007000,-49204000,-50093000,-49243000,-51508000,-53957000,-51311000,-53339000,-55420000,-55919000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,-17300000,18500000,101600000,13000000,41900000,-22888000,50007000,11008000,50379000,17061000,58672000,-9019000,15239000,113781000,124888000,156481000,-24371000,100178000,49530000,49836000,30655000,-69822000,103410000,214105000,105881000,452197000,559879000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20800000,-7200000,-6500000,76800000,32300000,13300000,-54981000,14905000,-42812000,17235000,28572000,14837000,-59375000,-65821000,75913000,-76678000,81427000,-78021000,18929000,6290000,-71271000,-74713000,-86208000,7419000,57843000,115498000,171777000,131436000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,-300000,400000,-1500000,700000,2600000,1270000,-843000,-3112000,-2622000,542000,1895000,-1376000,340000,809000,1516000,-4975000,2376000,3090000,548000,63000,-5323000,-690000,-49000,9161000,-2985000,20520000,-8334000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,7800000,8200000,6700000,7400000,10000000,11283000,10440000,7328000,4706000,5248000,7143000,5767000,6107000,6916000,8432000,3457000,5833000,8923000,9471000,9534000,4211000,3521000,3472000,12633000,9648000,30168000,27120000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,8100000,7800000,8200000,6700000,7400000,10013000,11283000,10440000,7328000,4706000,5248000,7143000,5767000,6107000,6916000,8432000,3457000,5833000,8923000,9471000,9534000,4211000,3521000,3472000,12633000,9648000,35454000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,102300000,83900000,89900000,45800000,66900000,108500000,6796000,71521000,41668000,-20417000,-44314000,-17035000,51486000,65413000,-69277000,105211000,-122036000,132928000,36809000,37466000,95565000,66368000,82636000,-6891000,-45865000,-56985000,-137874000,-134903000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1733998/000173399819000004/0001733998-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399820000006/0001733998-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399821000006/0001733998-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1733998/000173399822000005/0001733998-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
