,https://roic.ai/company/IOR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,-1000000,-400000,- -,- -,- -,- -,-621000,- -,-100000,- -,-166000,-1314000,- -,- -,-791000,- -,- -,-37000,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1200000,-1300000,- -,-400000,-500000,- -,-621000,-567000,-945000,-908000,-685000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,3200000,2900000,- -,9500000,- -,6300000,16023000,32099000,1883000,10081000,19675000,18624000,21985000,499000,877000,16092000,33802000,14215000,- -,- -,-6000,-676000,- -,12343000,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1000000,-1200000,-200000,-1700000,-1100000,1700000,14342000,12080000,-484000,509000,703000,2527000,-4323000,-104000,-1349000,8553000,19001000,6294000,-27022000,-5239000,-591000,-3050000,- -,-15358000,-2117000,-10240000,- -,- -,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-1000000,-1200000,-200000,-1700000,-1100000,1700000,198000,-2041000,-1042000,619000,1365000,-2021000,-56000,48000,341000,-198000,-121000,187000,-215000,-50000,18000,-19000,1000,1000,4000,-5000,-1000,1000,2000,1000,7000,-10000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3186000,1145000,103000,722000,2087000,66000,10000,58000,399000,201000,80000,267000,52000,2000,20000,1000,2000,3000,7000,2000,1000,2000,4000,5000,12000,2000
99,Cash at the Beginning of Period,- -,- -,- -,700000,800000,300000,1100000,600000,200000,2988000,3186000,1145000,103000,722000,2087000,66000,10000,58000,399000,201000,80000,267000,52000,2000,20000,1000,2000,3000,7000,2000,1000,2000,4000,5000,12000
100,Free Cash Flow,- -,- -,- -,-200000,400000,500000,1200000,900000,1400000,-14062000,-37490000,-2949000,-4167000,-41173000,-5495000,-2862000,92000,-124000,1089000,541000,3306000,-2336000,1410000,159000,903000,3385000,1159000,3374000,274000,3454000,2784000,1628000,4133000,4312000,-2980000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949961/000095013405006611/0000950134-05-006611-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312506070585/0001193125-06-070585-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312507070491/0001193125-07-070491-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312508070761/0001193125-08-070761-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312509068870/0001193125-09-068870-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312510073299/0001193125-10-073299-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000119312511084715/0001193125-11-084715-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054912000347/0001010549-12-000347-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054913000257/0001010549-13-000257-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054914000146/0001010549-14-000146-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000101054915000094/0001010549-15-000094-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713116004815/0001387131-16-004815-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713117001810/0001387131-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713118001359/0001387131-18-001359-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713119002363/0001387131-19-002363-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713120003173/0001387131-20-003173-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713121003965/0001387131-21-003965-index.htm,https://www.sec.gov/Archives/edgar/data/949961/000138713122003959/0001387131-22-003959-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
