,https://roic.ai/company/CI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,- -,- -,-1305000000,960000000,107000000,45000000,350000000,- -,231000000,2121000000,- -,- -,-42000000,-1327000000,-277000000,-344000000,-102000000,-3581000000,-76000000,- -,-99000000,-4000000,-209000000,-24455000000,-153000000,5453000000,-1894000000
86,Purchases of Investments,- -,- -,- -,- -,-30501000000,-26796000000,-26549000000,-26556000000,-32278000000,-28954000000,-32830000000,-23427000000,-14950000000,-14897000000,-11247000000,-9903000000,-10285000000,-15389000000,-19456000000,-14513000000,-5397000000,-4799000000,-3264000000,-3475000000,-2930000000,-2325000000,-4953000000,-821000000,-1930000000,-2115000000,-1183000000,-6889000000,-6693000000,-6826000000,-6035000000,-6689000000,-6107000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,28555000000,24370000000,24004000000,23933000000,29142000000,27002000000,29269000000,23214000000,15594000000,15670000000,10622000000,8996000000,8630000000,14241000000,18407000000,13672000000,5735000000,6534000000,3689000000,2829000000,2049000000,1928000000,4056000000,595000000,1995000000,691000000,53000000,4730000000,5765000000,5540000000,6623000000,5377000000,5594000000
88,Other Investing Activites,- -,- -,- -,- -,53000000,183000000,-210000000,-7000000,-69000000,-193000000,-152000000,-144000000,-305000000,-441000000,6463000000,-45000000,-723000000,-35000000,129000000,-24000000,-19000000,-51000000,148000000,-342000000,-20000000,-301000000,151000000,358000000,553000000,142000000,140000000,50000000,-95000000,-109000000,-119000000,-71000000,-50000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1893000000,-2243000000,-2755000000,-2630000000,-3205000000,-2087000000,-3713000000,-357000000,-966000000,1292000000,2495000000,-907000000,-2028000000,-1486000000,-796000000,1218000000,258000000,1548000000,269000000,-2572000000,-1485000000,-1342000000,-1270000000,-3857000000,15000000,-1755000000,-1599000000,-2574000000,-1703000000,-26378000000,-734000000,2976000000,-3611000000
90,Debt Repayment,- -,- -,- -,- -,-8000000,-11000000,-70000000,-11000000,-148000000,-46000000,-9000000,-158000000,-318000000,-108000000,-27000000,-102000000,-145000000,-36000000,-127000000,-815000000,-500000000,-100000000,-378000000,- -,-200000000,-270000000,-451000000,-326000000,-116000000,-112000000,-959000000,-148000000,-1563000000,-131000000,-4494000000,-9447000000,-4578000000
91,Common Stock Issued,- -,- -,- -,- -,-232000000,- -,- -,- -,- -,- -,21000000,12000000,19000000,26000000,42000000,72000000,38000000,68000000,6000000,64000000,346000000,251000000,248000000,37000000,30000000,64000000,734000000,121000000,150000000,110000000,154000000,36000000,131000000,68000000,224000000,376000000,326000000
92,Common Stock Repurchased,- -,- -,- -,- -,-36000000,-302000000,- -,- -,- -,- -,- -,-292000000,-335000000,-833000000,-3028000000,-1696000000,-1139000000,-355000000,- -,-676000000,-1618000000,-2765000000,-1185000000,-378000000,- -,-201000000,-225000000,-208000000,-1003000000,-1612000000,-671000000,-139000000,-2725000000,-342000000,-1987000000,-4042000000,-7742000000
93,Dividends Paid,- -,- -,- -,- -,-249000000,-233000000,-217000000,-218000000,-219000000,-219000000,-222000000,-242000000,-245000000,-243000000,-238000000,-200000000,-190000000,-185000000,-185000000,-100000000,-13000000,-12000000,-11000000,-14000000,-11000000,-11000000,-11000000,-11000000,-11000000,-11000000,- -,- -,- -,- -,- -,- -,-1341000000
94,Other Financing Activites,- -,- -,- -,- -,1272000000,2183000000,2269000000,1343000000,2678000000,2327000000,2688000000,87000000,1537000000,-381000000,-962000000,1152000000,2106000000,273000000,-1389000000,- -,- -,113000000,285000000,669000000,488000000,692000000,2820000000,196000000,50000000,43000000,946000000,26000000,1506000000,23920000000,-930000000,4580000000,5123000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,747000000,1637000000,1982000000,1114000000,2311000000,2062000000,2478000000,-593000000,658000000,-1539000000,-4213000000,-774000000,670000000,-235000000,-1695000000,-1527000000,-1785000000,-2513000000,-1041000000,314000000,307000000,274000000,2867000000,-228000000,-930000000,-1582000000,-530000000,-225000000,-2651000000,23515000000,-7187000000,-8533000000,-8212000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,10000000,10000000,-4000000,-32000000,-26000000,32000000,-3000000,-22000000,-58000000,23000000,9000000,-30000000,-1000000,- -,- -,- -,-1000000,6000000,8000000,-26000000,15000000,6000000,-3000000,23000000,13000000,-32000000,-40000000,-10000000,55000000,-24000000,-8000000,41000000,-65000000
97,Net Change In Cash,- -,- -,- -,- -,10000000,10000000,-4000000,-32000000,-26000000,482000000,-134000000,-272000000,865000000,403000000,246000000,-26000000,-273000000,-343000000,-183000000,1127000000,-810000000,-317000000,578000000,-628000000,-418000000,681000000,3085000000,-1712000000,-183000000,-1375000000,548000000,1217000000,-213000000,883000000,1556000000,4834000000,-4697000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1693000000,1559000000,1287000000,2625000000,3028000000,2232000000,2206000000,1933000000,1575000000,1392000000,2519000000,1709000000,1392000000,1970000000,1342000000,924000000,1605000000,4690000000,2978000000,2795000000,1420000000,1968000000,3185000000,2972000000,3855000000,5411000000,10245000000,5548000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,467000000,733000000,1896000000,1863000000,1011000000,1211000000,1693000000,1559000000,1760000000,2625000000,1986000000,2232000000,2206000000,1918000000,1575000000,1392000000,2519000000,1709000000,1392000000,1970000000,1342000000,924000000,1605000000,4690000000,2978000000,2795000000,1420000000,1968000000,3185000000,2972000000,3855000000,5411000000,10245000000
100,Free Cash Flow,- -,- -,- -,- -,1402000000,1011000000,744000000,696000000,1120000000,475000000,1104000000,700000000,1231000000,627000000,-1633000000,1685000000,1086000000,1075000000,2201000000,1398000000,657000000,506000000,1080000000,1399000000,438000000,1443000000,1069000000,1942000000,192000000,1521000000,2207000000,3565000000,3615000000,3242000000,8435000000,9256000000,6037000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739940/000104746919000792/0001047469-19-000792-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994020000006/0001739940-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994021000007/0001739940-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1739940/000173994022000007/0001739940-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
