,https://roic.ai/company/UUU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-300000,-100000,-1500000,-100000,-93924,384588,-13786,-28725,1990941,-11182,663309,-16892,329213,704860,1091358,-1139562,-543962,3386451,-2964842,4542130,556870,264268,382792,-631906,822367,102581,-16106,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-613006,-1643310,-408879,-198920,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79,- -,- -,- -,- -,- -,- -,- -,-652971,- -,- -,-1542762
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192,- -,- -,100000,34116,- -,116344,342625,125255,271543,98549,585658,126678,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53727,- -,- -,- -,- -,-1424,- -,- -,- -,- -,-278968,-94204,- -,-275896,-225920,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,400000,1200000,3900000,-1600000,423974,-143250,-81250,-75000,-1220703,958556,-15172,-232131,-23250,-7224,- -,980530,1850015,-4183278,- -,- -,- -,- -,81250,- -,313891,1950234,- -,240437,-289926,221400
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,400000,1200000,3900000,-1600000,-188840,-1786560,-490129,-227647,-1186587,958556,101172,110494,100581,264319,98549,1566188,1976693,-4462246,-94283,- -,-275896,-225920,81250,- -,313891,1950234,-652971,240437,-289926,-1321362
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31925,81490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,400000,1200000,3900000,-1600000,-76016,52659,-17075,59730,-101090,-57375,-15259,31729,137078,-128903,2956204,-2774946,1976693,-3579754,1969601,4474962,-3542319,-747382,-387899,-2001566,313301,-100373,-134194,246311,-280678,66810
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97793,150452,133377,193107,92017,34642,19383,51112,188190,59287,3015491,240545,3863784,284030,2253631,6728593,3186274,2438892,2050993,49427,362728,262355,128161,374472,93794,160604
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1400000,100000,300000,300000,173809,97793,150452,133377,193107,92017,34642,19383,51112,188190,59287,3015491,- -,3863784,284030,2253631,6728593,3186274,2438892,2050993,49427,362728,262355,128161,374472,93794
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-1400000,-1100000,-3900000,1500000,113250,1447042,473054,287377,-994288,-1015931,-782062,-78765,-313503,-1120389,1757439,-4300121,2318785,-2674188,5024493,-221904,-3833045,-797619,-885424,-1369660,-822957,-2153188,518777,5874,9248,1388172
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210996000010/0000102109-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210998000002/0000102109-98-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210900000002/0000102109-00-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000010210902000004/0000102109-02-000004-index.html,https://www.sec.gov/Archives/edgar/data/102109/000010210903000002/0000102109-03-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/102109/000114420405020164/0001144204-05-020164-index.htm,- -,https://www.sec.gov/Archives/edgar/data/102109/000114420407036503/v080850_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420408039010/v119379_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420409033903/0001144204-09-033903-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420410034617/0001144204-10-034617-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420411037844/0001144204-11-037844-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420412036899/v314940_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420413036855/0001144204-13-036855-index.html,https://www.sec.gov/Archives/edgar/data/102109/000114420414046584/v381546_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420415051819/v412993_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420416125749/v442952_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420417036858/v470477_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420418038512/tv498410_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000114420419034727/tv524350_10k.htm,https://www.sec.gov/Archives/edgar/data/102109/000110465920093207/0001104659-20-093207-index.htm,https://www.sec.gov/Archives/edgar/data/102109/000110465921090272/0001104659-21-090272-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
