,https://roic.ai/company/KALU,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,365400000,16200000,8800000,26100000,13100000,-65900000,-70800000,17200000,19900000,3200000,71500000,-94800000,-9300000,-16200000,86000000,715700000,402300000,- -,9200000,-112500000,-40700000,-37800000,-32800000,-36900000,-68700000,-59400000,-63100000,-76100000,-74900000,-73500000,-60000000,-51600000,-56200000
89,Cash Used for Investing Activites,248800000,-98900000,-109300000,-88300000,-54600000,-65900000,-79800000,-144300000,-108600000,-74400000,3100000,-94800000,-9300000,-16200000,49000000,708100000,371300000,-30000000,-52600000,-112500000,-40700000,-46400000,-116300000,-121900000,-113400000,-44700000,20400000,-276400000,-25500000,31100000,-101800000,26900000,-665800000
90,Debt Repayment,- -,- -,- -,- -,- -,-345600000,-537700000,-9000000,-8800000,-8900000,-600000,-4400000,-105100000,- -,- -,- -,- -,- -,- -,-135500000,-147600000,-32100000,-8400000,-4800000,-100000,-100000,-299900000,-206000000,-400000,-700000,-392900000,-1700000,-383000000
91,Common Stock Issued,- -,- -,- -,- -,- -,100100000,1200000,- -,400000,100000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-15500000,-35400000,- -,- -,- -,-8500000,-8800000,-5300000,-2100000,-8700000,-1600000,-2800000,-5500000,- -,- -,- -,- -,- -,-700000,-28800000,- -,-44200000,-3100000,-2200000,-80800000,-46500000,-52000000,-36200000,-84000000,-67600000,-50400000,-16800000,-2600000
93,Dividends Paid,-50000000,- -,-55700000,-11400000,-6300000,-14800000,-20800000,-10500000,-4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7400000,-17200000,-19600000,-19000000,-18900000,-19600000,-23000000,-25400000,-28100000,-32400000,-35000000,-37700000,-39400000,-43400000,-46700000
94,Other Financing Activites,-758200000,-129500000,21900000,76700000,32300000,378900000,531500000,206600000,12800000,3700000,11200000,19600000,- -,-8800000,-4000000,-293500000,-394100000,49200000,-50200000,178600000,110300000,180700000,-1900000,219700000,1700000,800000,95600000,369400000,- -,- -,491200000,343800000,541400000
95,Cash Used/Provided by Financing Activities,-823700000,-164900000,-33800000,65300000,26000000,110100000,-34600000,181800000,-1900000,-13800000,10400000,12400000,-110600000,-8800000,-4000000,-293500000,-394100000,49200000,-58300000,-2900000,-56900000,85400000,-32300000,193100000,-102200000,-71200000,-284400000,94800000,-119400000,-106000000,8500000,281900000,109100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-268100000,-71200000,-33800000,65300000,26000000,2900000,4300000,59400000,-65500000,82500000,-77100000,2200000,129900000,-74600000,-43000000,19900000,-5900000,38000000,18700000,-68500000,30100000,105300000,-85800000,223600000,-103900000,8200000,-105200000,-17300000,-3400000,75300000,139000000,515700000,-477300000
98,Cash at the End of Period,-245200000,-71200000,- -,- -,- -,17600000,21900000,81300000,15800000,98300000,21200000,23400000,153300000,78700000,36000000,55400000,49500000,50000000,68700000,200000,30300000,135600000,49800000,273400000,169500000,177700000,72500000,55200000,64300000,139600000,278600000,794300000,317000000
99,Cash at the Beginning of Period,22900000,- -,23900000,15800000,19100000,14700000,17600000,21900000,81300000,15800000,98300000,21200000,23400000,153300000,79000000,35500000,55400000,12000000,50000000,68700000,200000,30300000,135600000,49800000,273400000,169500000,177700000,72500000,67700000,64300000,139600000,278600000,794300000
100,Free Cash Flow,190200000,77500000,16900000,-88100000,-43500000,-111300000,39300000,-138400000,-83500000,93100000,-159000000,-177300000,101100000,-97200000,-125000000,-45600000,-14100000,-11200000,67800000,-46300000,68500000,27400000,30300000,108300000,41300000,64700000,95700000,88200000,66000000,76100000,172100000,155000000,21400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811596/000095012905003087/0000950129-05-003087-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012906003420/0000950129-06-003420-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012907001735/0000950129-07-001735-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095013408003364/0000950134-08-003364-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000089256909000095/0000892569-09-000095-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012310015877/0000950123-10-015877-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000095012311015947/0000950123-11-015947-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159612000020/0000811596-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159613000019/0000811596-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159614000008/0000811596-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159615000011/0000811596-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159616000073/0000811596-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159617000008/0000811596-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159618000011/0000811596-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159619000009/0000811596-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000081159620000010/0000811596-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000156459021009132/0001564590-21-009132-index.htm,https://www.sec.gov/Archives/edgar/data/811596/000156459022008034/0001564590-22-008034-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
