,https://roic.ai/company/BBWI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
88,Other Investing Activites,- -,- -,- -,- -,45600000,-20200000,-18700000,-60100000,220200000,- -,843100000,-41200000,343200000,162400000,544235000,-22485000,269000000,208000000,324000000,25000000,-26000000,35000000,232000000,80000000,-171000000,-187000000,-325000000,-531000000,-655000000,-699000000,-518000000,-810000000,-688000000,-609000000,-480000000,-219000000,-259000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-272800000,-449000000,-541800000,-489600000,-75600000,-319700000,468700000,-450500000,-61400000,-185000000,168830000,-468661000,-68000000,-80000000,35000000,-227000000,-506000000,-1093000000,30000000,-240000000,-162000000,-106000000,-226000000,-531000000,-655000000,-699000000,-443000000,-833000000,-698000000,-609000000,-480000000,-219000000,-259000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-675000000,-659000000,- -,-57000000,-290000000,-218000000,- -,-748000000,-584000000,-253000000,-973000000,-2499000000,- -
91,Common Stock Issued,- -,- -,- -,- -,4800000,7600000,14600000,16800000,6700000,11600000,801100000,128800000,35500000,73700000,75495000,54770000,47000000,52000000,28000000,166000000,64000000,177000000,82000000,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-93300000,-11400000,-55200000,-1615000000,- -,-163900000,-815251000,-231376000,-8000000,- -,-150000000,-3115000000,-380000000,-193000000,-1402000000,-379000000,- -,-207000000,-1190000000,-629000000,-60000000,-87000000,-483000000,-435000000,-446000000,-198000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-57500000,-86400000,-101100000,-101700000,-130700000,-128900000,-143100000,-108300000,-130500000,-124200000,-130449000,-127549000,-129000000,-150000000,-208000000,-724000000,-242000000,-238000000,-227000000,-201000000,-193000000,-1488000000,-1144000000,-1449000000,-349000000,-691000000,-1171000000,-1268000000,-686000000,-666000000,-332000000,-83000000,- -
94,Other Financing Activites,- -,- -,- -,- -,-72300000,94700000,173300000,-172100000,124000000,9500000,-25200000,- -,- -,-47700000,62000000,-250000000,- -,150000000,100000000,998000000,30000000,39000000,1268000000,-13000000,481000000,497000000,1097000000,1153000000,853000000,77000000,1096000000,786000000,589000000,245000000,639000000,3192000000,-3188000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-125000000,15900000,86800000,-257000000,-93300000,-119200000,577600000,-1594500000,-95000000,-262100000,-808205000,-554155000,-90000000,52000000,-230000000,-2675000000,-528000000,-215000000,-279000000,-562000000,-387000000,-1857000000,-1237000000,-982000000,154000000,-919000000,-558000000,-1665000000,-1127000000,-872000000,-666000000,610000000,-3188000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,3000000,6000000,5000000,2000000,- -,-1000000,-6000000,-1000000,-6000000,- -,2000000,-4000000,4000000,1000000
97,Net Change In Cash,- -,- -,- -,- -,-125000000,15900000,86800000,-257000000,-93300000,-77800000,577600000,-1594500000,-95000000,-262100000,-53049000,-253721000,811000000,767000000,867000000,-1969000000,47000000,-708000000,518000000,155000000,631000000,-674000000,-195000000,-162000000,746000000,162000000,867000000,-614000000,-419000000,-102000000,86000000,2434000000,-1954000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,242800000,- -,- -,- -,- -,817268000,563547000,1375000000,2262000000,3129000000,1161000000,1208000000,500000000,1018000000,1173000000,1804000000,1130000000,935000000,773000000,1519000000,1681000000,2548000000,1934000000,1515000000,1413000000,1499000000,3933000000,1979000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15300000,21700000,13200000,33700000,41200000,320600000,242800000,1645700000,312800000,746400000,870317000,817268000,564000000,1495000000,2262000000,3130000000,1161000000,1208000000,500000000,1018000000,1173000000,1804000000,1130000000,935000000,773000000,1519000000,1681000000,2548000000,1934000000,1515000000,1413000000,1499000000,3933000000
100,Free Cash Flow,- -,- -,- -,- -,85800000,-4300000,-47500000,324600000,152300000,41400000,-17700000,302800000,185400000,223600000,210921000,322919000,632000000,489000000,769000000,502000000,601000000,52000000,16000000,475000000,972000000,1010000000,840000000,763000000,557000000,1071000000,1142000000,900000000,699000000,748000000,778000000,1811000000,1492000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701985/000070198520000010/0000701985-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198521000011/0000701985-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198522000009/0000701985-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
