,https://roic.ai/company/ENB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,577768,- -,53878740,13185580,36405781,- -,- -,- -,- -,- -,- -,110500472,- -,- -,- -,- -,- -,1382500000,535000000,23000000,- -,18000000,41000000,- -,- -,- -,683000000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,607464755,1017164,-12576119,-1240706972,-117943823,-261888447,-449606862,-129721362,-405381945,-569001200,-16899077,1939699402,779599381,347199424,26099546,69000466,63599165,106600000,-112000000,-23000000,-76000000,117000000,-219000000,-119000000,68000000,1048000000,-8152000000,-1705000000,-3499000000,-4666000000,-6232000000
89,Cash Used for Investing Activites,- -,- -,- -,489946845,-218690401,-62615833,-1604152055,-510226343,-822392764,-1101072194,-1594272446,-1205729167,-949800540,-1341099968,-251699717,259500193,-999700024,-833000349,-1580000000,-2255900288,-2852900000,-3306000000,-2674000000,-4017000000,-6204000000,-9431000000,-11891000000,-7933000000,-5192000000,-11002000000,-3017000000,-4658000000,-5177000000,-10657000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-667100000,-1054000000,-1202000000,-284000000,-803000000,-660000000,-1348000000,-1023000000,-4243000000,-6303000000,-6701000000,-3843000000,-2921000000,-2264000000
91,Common Stock Issued,- -,- -,- -,- -,2797203,2647604,10941226,152440687,141565027,315654039,341331269,448784722,175400420,23299904,486600567,70900425,44400048,53700430,63099953,600700169,29400000,36000000,66000000,46000000,465000000,628000000,478000000,57000000,2260000000,1549000000,21000000,18000000,5000000,5000000
92,Common Stock Repurchased,- -,- -,- -,1733303,- -,-67646280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210000000,-300000000,- -,-415000000
93,Dividends Paid,- -,- -,- -,-79269702,-358041958,-79825258,-80235657,-116307608,-125942168,-147105075,-168266254,-198350694,-224299640,-251900669,-284699402,-290799948,-322699784,-367999767,-410000000,-459199523,-376000000,-454000000,-433000000,-537000000,-690000000,-852000000,-994000000,-1238000000,-1443000000,-3080000000,-3844000000,-6356000000,-6940000000,-7133000000
94,Other Financing Activites,- -,- -,- -,22186272,68150032,38919777,1260345069,17316607,250787995,538098641,1178482973,388888889,748099880,1443301497,-894101354,-371400232,742699784,292199093,615000000,762699374,2853900000,2581000000,2318000000,2155000000,5423000000,5954000000,11634000000,5177000000,4528000000,11310000000,3231000000,5736000000,5086000000,11043000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-55350127,-287094723,-105904157,1191050638,53449686,266410854,706647605,1351547988,639322917,699200660,1214700732,-692200189,-591299755,114400048,-22100244,268099953,904200020,1840200000,1109000000,749000000,1380000000,4395000000,5070000000,9770000000,2973000000,1102000000,3476000000,-7503000000,-4745000000,-4770000000,1236000000
96,Effect of Forex Changes on Cash,- -,- -,- -,6124336,23394787,5559968,561089,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,-11000000,12000000,-12000000,20000000,59000000,143000000,-19000000,-72000000,68000000,44000000,-20000000,-5000000
97,Net Change In Cash,- -,- -,- -,-55350127,-287094723,-105904157,1191050638,53449686,266410854,706647605,73529412,-71325231,13401320,7500796,-33300284,63400747,1400288,48400977,-14200839,26999702,375000000,-215000000,-85000000,78000000,1053000000,-1000000000,485000000,-246000000,1102000000,-1014000000,50000000,39000000,-186000000,-170000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124767802,53530093,67000600,74000318,40700346,104100219,105500360,153900454,139699441,166699772,541700000,327000000,242000000,420000000,1776000000,776000000,1261000000,1015000000,2117000000,480000000,637000000,676000000,490000000,320000000
99,Cash at the Beginning of Period,- -,- -,- -,4506587,625556262,254699497,225277037,12407963,31793888,13867048,51238390,124855324,53599280,66499522,74000630,40699472,104100072,105499477,153900280,139700070,166700000,542000000,327000000,342000000,723000000,1776000000,776000000,1261000000,1015000000,1494000000,587000000,637000000,676000000,490000000
100,Free Cash Flow,- -,- -,- -,62398891,-4577241,50569234,-176883153,47450232,-22474990,-219442459,-1148297214,-305266203,-100299940,-549399872,180700346,3900554,390299976,222900337,112399814,-920499553,-2248000000,-1303000000,-556000000,22000000,-2757000000,-5106000000,-8185000000,-2803000000,-44000000,-2280000000,3156000000,3706000000,4161000000,1163000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895728/000104746909001598/0001047469-09-001598-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465910008190/0001104659-10-008190-index.html,- -,https://www.sec.gov/Archives/edgar/data/895728/000110465912011714/0001104659-12-011714-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465913011253/0001104659-13-011253-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/895728/000110465916098507/0001104659-16-098507-index.html,https://www.sec.gov/Archives/edgar/data/895728/000110465917010184/0001104659-17-010184-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572818000008/0000895728-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572819000033/0000895728-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/895728/000089572820000009/0000895728-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/895728/000119312521073298/0001193125-21-073298-index.htm,https://www.sec.gov/Archives/edgar/data/895728/000089572822000011/0000895728-22-000011-index.htm
102,Forex Rate,- -,0.8634,0.8622,0.8654,0.7867,0.7566,0.7161,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
