,https://roic.ai/company/XOMA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-18300000,-22600000,-27600000,-34200000,-28900000,-28500000,-28900000,-22400000,-12000000,-37700000,-43100000,-22461000,-22422000,-34841000,-47537000,-44827000,-44190000,-33270000,4543000,-32975000,7435000,-52537000,-29062000,-40765000,-45915000,-78282000,-30892000,-33689000,2686000,-12644000,-285000,10092000,22678000
84,CAPEX,- -,- -,- -,- -,-2100000,-1600000,-6400000,-6800000,-1800000,-1300000,-1800000,-1100000,-1600000,-900000,-1000000,-1519000,-7381000,-10133000,-2678000,-2643000,-4844000,-8506000,-9469000,-8060000,-270000,-339000,-3304000,-2509000,-1169000,-325000,-430000,-59000,-8000,-15006000,-19300000,-1209000,-26500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4862000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-35600000,- -,-481000000,-301400000,-210900000,-301700000,-210900000,-129100000,-77400000,-41500000,-43300000,- -,- -,- -,- -,- -,-31763000,-28391000,-32994000,-3199000,- -,- -,- -,-56970000,-19991000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,30600000,420300000,340000000,244200000,312300000,244200000,89700000,105200000,43000000,59700000,- -,253000,- -,4299000,5000,9224000,32784000,35320000,17974000,1300000,- -,- -,17000000,40000000,20000000,- -,622000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,100000,- -,- -,- -,-100000,- -,100000,100000,- -,- -,506000,- -,-1500000,-2799000,- -,- -,-4330000,-1689000,-3526000,9545000,- -,- -,463000,- -,- -,18000,49000,1614000,-15000000,-19300000,-200000,-26500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-37700000,29100000,-67100000,31800000,31500000,9200000,31500000,-40400000,26300000,600000,15400000,-1013000,-7128000,-11633000,-1178000,-2638000,-27383000,-8443000,-8832000,3189000,10575000,-339000,-3304000,-42016000,18840000,19675000,4450000,612000,1606000,-15006000,-19300000,-209000,-26500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52937000,-4500000,- -,-2143000,-3125000,-5917000,-6169000,-6999000,-16431000,-13000,-953000,-5330000,-4250000
91,Common Stock Issued,- -,- -,- -,- -,1000000,5100000,86600000,600000,17900000,- -,4500000,30700000,12200000,12200000,28100000,34312000,48130000,7651000,87844000,5078000,151000,401000,654000,7578000,49323000,70771000,15143000,77491000,84338000,41442000,481000,57000,10160000,6063000,21929000,-1945000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3499000
94,Other Financing Activites,- -,- -,- -,- -,55200000,-200000,-300000,-400000,-400000,-600000,7100000,13000000,9500000,-400000,6200000,5666000,13697000,7765000,9421000,-18617000,68418000,48510000,-1867000,9221000,- -,- -,28836000,4434000,2176000,35000,19489000,- -,19529000,23889000,9517000,27068000,20584000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,56200000,4900000,86300000,200000,17500000,-600000,11600000,43700000,21700000,11800000,34300000,39978000,61827000,15416000,97265000,-13539000,68569000,48911000,-1213000,16799000,-3614000,66271000,43979000,79782000,83389000,35560000,13801000,-6942000,13258000,29939000,30493000,19793000,12835000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-573000,- -,- -,-167000,-37000,-6000,179000,20000,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25300000,6600000,16504000,32277000,-31058000,48550000,-61004000,-3004000,7198000,-5502000,-12987000,14396000,13395000,11040000,-2999000,56314000,-23214000,-12678000,-40025000,17729000,2309000,10908000,29676000,9013000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,18500000,35043000,67320000,36262000,84812000,23808000,20804000,28002000,22500000,9513000,23909000,37304000,48344000,45345000,101659000,78445000,65767000,25742000,43471000,45780000,56688000,86364000,95377000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2500000,2700000,14100000,5600000,3400000,23500000,6200000,20400000,1200000,37200000,11900000,18539000,35043000,67320000,36262000,84812000,23808000,20804000,28002000,22500000,9513000,23909000,37304000,48344000,45345000,101659000,78445000,65767000,25742000,43471000,45780000,56688000,86364000
100,Free Cash Flow,- -,- -,- -,- -,-20400000,-24200000,-34000000,-41000000,-30700000,-29800000,-30700000,-23500000,-13600000,-38600000,-44100000,-23980000,-29803000,-44974000,-50215000,-47470000,-49034000,-41776000,-4926000,-41035000,7165000,-52876000,-32366000,-43274000,-47084000,-78607000,-31322000,-33748000,2678000,-27650000,-19585000,8883000,-3822000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/791908/000119312505050055/0001193125-05-050055-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312506048409/0001193125-06-048409-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312507049517/0001193125-07-049517-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312508052901/0001193125-08-052901-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312509051006/0001193125-09-051006-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312510053878/0001193125-10-053878-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036111015740/0001140361-11-015740-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036112015529/0001140361-12-015529-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036113012019/0001140361-13-012019-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036114012373/0001140361-14-012373-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036115011358/0001140361-15-011358-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459016014295/0001564590-16-014295-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459017004563/0001564590-17-004563-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459018004731/0001564590-18-004731-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459019006621/0001564590-19-006621-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837020002286/0001558370-20-002286-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837021002676/0001558370-21-002676-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837022003022/0001558370-22-003022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
