,https://roic.ai/company/IMO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271000000,651000000,846000000,-67000000,191000000,-549000000,-1030000000,237000000,678000000,-764000000,1010000000,-1087000000,2020000000
81,Other Working Capital,- -,- -,- -,- -,-1,- -,- -,- -,- -,1,-1,- -,-1,- -,1,- -,1,236071766,-762591781,-760739141,-179090592,-39608574,-247293674,494171928,-263000000,-1039000000,-866000000,-1813000000,-2801000000,-2412000000,-1723000000,-52000000,1271000000,1400000000,1734000000,1144000000,- -
82,Other Non-Cash Items,-1006011464,-783041017,- -,-962896683,-441111753,-1597262499,-162006009,458995550,324993381,-260485343,420916283,341099080,-579127947,-425077401,321903933,148470307,6367397,-322631413,828626190,439712035,-509547143,-681187517,-149847923,-1472402950,49171928,874000000,110000000,481000000,-140000000,-1988000000,-1461000000,-3563000000,-1543000000,-836000000,534000000,493000000,2543000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,829994210,- -,833025191,1435982200,1438046068,948379857,1641941642,1736055913,986990708,852012384,1473958333,2089082184,2004138809,1676109537,2193739534,3311735061,3451564135,3586905871,3625980733,4262991744,1591000000,3207000000,4489000000,4680000000,3292000000,4405000000,2167000000,2015000000,2763000000,3922000000,4429000000,798000000,5476000000
84,CAPEX,- -,- -,- -,- -,-5686160973,- -,-573954241,-467005722,-537993117,-654088933,-569948187,-564067425,-639027878,-612074303,-653067130,-643371326,-1069723018,-1551778407,-1449182017,-1376289897,-1431561810,-1176607642,-898798292,-1231180185,-2285000000,-3856000000,-3919000000,-5478000000,-6297000000,-5290000000,-2994000000,-1073000000,-993000000,-1491000000,-1636000000,-868000000,-1108000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1602000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-4968801,-750031786,-117024093,- -,- -,- -,-1000715,-86996904,-87962963,-58488303,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123000000,-32000000,-1000000,-1000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,94035900,- -,- -,- -,- -,16832655,481047178,356996026,- -,78947368,59027778,115476905,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,170121599,- -,409868270,245009536,122054541,677233834,-1056040360,1368096478,967977128,213157895,87962963,274445112,46163642,61378659,56679119,70794337,439585999,212022367,279074387,270762507,67000000,147000000,326000000,240000000,164000000,851000000,142000000,3021000000,213000000,-68000000,-68000000,66000000,96000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5422003474,- -,-169054772,-972027972,-532962669,39977556,-1144941369,1161025079,327948535,-406965944,-594039352,-311937612,-1023559376,-1490399748,-1392502898,-1305495560,-991975811,-964585275,-619723905,-960417678,-2216000000,-3709000000,-3593000000,-5238000000,-7735000000,-4562000000,-2884000000,1947000000,-781000000,-1559000000,-1704000000,-802000000,-1012000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-3000000,-3000000,-4000000,-7000000,-9000000,-20000000,-2028000000,-27000000,-27000000,-27000000,-20000000,-20000000
91,Common Stock Issued,- -,- -,- -,- -,1319050376,- -,111046915,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2576324,13198945,38376555,10484623,11917768,7285090,1000000,- -,19000000,43000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-236023998,-1771961080,-693924232,-434055728,- -,-1207258548,-811843362,-12590494,-798660312,-872330214,-1795557623,-1818499534,-2357731652,-2209810588,-492000000,-8000000,-59000000,-128000000,- -,- -,- -,- -,-627000000,-1971000000,-1373000000,-274000000,-2245000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-349014622,-348954196,-1126525459,-358058358,-360970262,-342959257,-326006192,-319010417,-331433713,-321553645,-319483790,-322040448,-316774658,-317478777,-314538677,-318800278,-330257407,-341000000,-356000000,-373000000,-398000000,-407000000,-441000000,-449000000,-492000000,-524000000,-572000000,-631000000,-649000000,-706000000
94,Other Financing Activites,- -,- -,- -,- -,3076896352,- -,-423041368,-136045772,-216044480,-99312667,-38860104,-476086062,-91065046,- -,-379050926,5998800,4775549,40919106,-1288162,1199903,-2325851,-2329916,-1291091469,-3642544,- -,623000000,455000000,325000000,4647000000,550000000,1174000000,-1254000000,- -,- -,36000000,- -,-111000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,4395946728,- -,-311994453,-485060394,-564998676,-1225838126,-632942460,-2609017404,-1127948535,-760061920,-698061343,-1532693461,-1128621458,-291155178,-1119412598,-1174706024,-2076985696,-2124883504,-3955705631,-2536425449,-836000000,256000000,39000000,-162000000,4233000000,100000000,705000000,-3774000000,-1178000000,-2570000000,-1995000000,-943000000,-3082000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,4395946728,- -,-311994453,-485060394,-564998676,-1225838126,-632942460,-2609017404,-1127948535,-760061920,182002315,244451110,-148042025,-105445389,-318175963,831533477,381439702,496272134,-950441951,766148616,-1461000000,-246000000,935000000,-720000000,-210000000,-57000000,-12000000,188000000,804000000,-207000000,730000000,-947000000,1382000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615017361,1019796041,872333652,766446333,448280304,1279097672,1660658216,2157502330,1207667097,1974259349,513000000,267000000,1202000000,482000000,272000000,215000000,203000000,391000000,1195000000,988000000,1718000000,771000000,2153000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,96004632,- -,-65981049,285950413,265025152,732781596,409053722,272988900,560972123,747987616,433015046,775344931,1020375677,871891722,766456267,447564195,1279218514,1661230196,2158109048,1208110733,1974000000,513000000,267000000,1202000000,482000000,272000000,215000000,203000000,391000000,1195000000,988000000,1718000000,771000000
100,Free Cash Flow,- -,- -,- -,- -,-4856166763,- -,259070950,968976478,900052951,294290924,1071993455,1171988488,347962830,239938081,820891203,1445710858,934415791,124331130,744557517,1935445164,2020002325,2410298229,2727182441,3031811559,-694000000,-649000000,570000000,-798000000,-3005000000,-885000000,-827000000,942000000,1770000000,2431000000,2793000000,-70000000,4368000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49938/000090956705000533/t15805e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956706000296/o30346e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956707000270/o34815e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956708000227/o39487e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312509041099/0001193125-09-041099-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312510043119/0001193125-10-043119-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312511047428/d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312512081083/0001193125-12-081083-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312513078520/0001193125-13-078520-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312514068340/d640283d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312515062525/d834284d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312516475769/0001193125-16-475769-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312517052422/0001193125-17-052422-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312518064765/0001193125-18-064765-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312519054202/0001193125-19-054202-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312520050268/0001193125-20-050268-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312521054626/0001193125-21-054626-index.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312522049999/0001193125-22-049999-index.htm
102,Forex Rate,- -,- -,- -,- -,0.8634,0.8622,0.8654,0.7867,0.7566,0.7161,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
