,https://roic.ai/company/ODP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-24500000,-36300000,-53900000,-62500000,-126500000,-171800000,-219900000,-176900000,-94200000,-252700000,-451500000,-239365000,-231944000,-199466000,-1179837000,-426606000,-52197000,-485153000,-372525000,-338669000,25321000,-191520000,-157158000,-29727000,1028000000,-28000000,-74000000,-154000000,-1101000000,-183000000,-119000000,736000000,-79000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-324997000,-175863000,-30284000,-69169000,-320113000,-195000000,-45000000,-51000000,-311000000,-123000000,-298000000,-833000000,-1537000000,-125000000
91,Common Stock Issued,- -,- -,65300000,800000,139700000,15800000,10300000,15000000,142700000,14600000,12400000,64200000,59100000,12388000,52962000,88898000,46664000,70592000,198922000,101034000,29332000,503000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-501000000,-300797000,-4193000,-45869000,-50064000,-65578000,-815236000,-983436000,-210793000,-944000,- -,- -,- -,- -,-407000000,- -,- -,-132000000,-73000000,-42000000,-49000000,-35000000,-333000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27639000,-36852000,- -,-63000000,- -,- -,-26000000,-53000000,-55000000,-55000000,-13000000,- -
94,Other Financing Activites,- -,- -,-100000,14300000,-14500000,148200000,42000000,600000,80800000,38700000,-156300000,-2500000,36100000,154316000,-134172000,-255654000,392251000,-261491000,-14411000,-6696000,189387000,139187000,349122000,27025000,7445000,264931000,25000000,60000000,26000000,-1000000,714000000,-19000000,725000000,392000000,-1000000
95,Cash Used/Provided by Financing Activities,- -,- -,65200000,15100000,125200000,164000000,52300000,15600000,223500000,53300000,-143900000,61700000,-405800000,-134093000,-85403000,-212625000,388851000,-256477000,-630725000,-889098000,7926000,-186251000,173294000,-30898000,-98576000,-55182000,-640000000,15000000,-25000000,-470000000,465000000,-414000000,-212000000,-1193000000,-459000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,-4400000,-1500000,-10326000,-17891000,21894000,53047000,40056000,-43478000,17531000,2616000,-10545000,9099000,-13128000,-730000,5707000,3000000,-27000000,-29000000,-8000000,7000000,-9000000,5000000,1000000,- -
97,Net Change In Cash,- -,- -,65200000,15100000,125200000,164000000,52300000,15600000,223500000,53300000,-143900000,464700000,-485700000,-67302000,411928000,311700000,-86199000,2838000,-90530000,-529645000,49402000,-67209000,504153000,-32420000,-56797000,100130000,284000000,116000000,-2000000,-262000000,-171000000,21000000,40000000,29000000,-192000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704600000,218800000,151482000,563410000,877088000,790889000,793727000,703197000,173552000,222954000,155745000,659898000,627478000,570681000,670811000,955000000,1071000000,1069000000,807000000,636000000,660000000,700000000,729000000,537000000
99,Cash at the Beginning of Period,- -,- -,5100000,30900000,10500000,40200000,130200000,142500000,32400000,62000000,51400000,239900000,704500000,218784000,151482000,565388000,877088000,790889000,793727000,703197000,173552000,222954000,155745000,659898000,627478000,570681000,671000000,955000000,1071000000,1069000000,807000000,639000000,660000000,700000000,729000000
100,Free Cash Flow,- -,- -,-41800000,-37900000,-95600000,-73900000,-20200000,-125700000,-193900000,-63900000,292200000,405000000,-22800000,48754000,539879000,499679000,439799000,254643000,375097000,483660000,-49186000,99644000,165592000,33674000,69350000,59072000,-244000000,33000000,-37000000,259000000,275000000,440000000,216000000,417000000,273000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800240/000156459021008074/0001564590-21-008074-index.htm,https://www.sec.gov/Archives/edgar/data/800240/000156459022006232/0001564590-22-006232-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
