,https://roic.ai/company/INTG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-1200000,1000000,-7300000,-4100000,-10084886,-1511545,-7243169,4057000,-19840000,-1641000,-17460000,9530000,-1616000,-30076000,5190000,4602000,-4988000,5783000,-2733000,-3241000,-2476000,826000,-6058000,-4588000,11622000,-6978000,-1682000,-792000,-2400000,-2448000,8193000
90,Debt Repayment,- -,- -,- -,- -,- -,-700000,-900000,-1500000,-1100000,-3530482,-915216,-427492,-1232000,-6749000,-9360000,-4429000,-5335000,-18591000,-8201000,-16002000,-3921000,-17679000,-18943000,-2422000,-3052000,-13222000,-5450000,-37767000,-86448000,-8734000,-4512000,-2420000,-2776000,-6154000,- -,-6931000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,907500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-400000,-400000,- -,-1060643,-440214,-155325,-339000,-1265000,-1356000,-912000,-685000,-2082000,-409000,-1040000,-975000,-238000,-99000,-413000,- -,-735000,-1458000,-56000,-5000,-60000,-204000,-544000,-642000,-1079000,-648000,-2375000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129000,-534000,-127000,-127000,-126000,-114000,-171000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,1200000,-200000,7100000,3100000,10646684,-469015,5263889,697000,23732000,12141000,21305000,2732000,28778000,36656000,8016000,-310000,18825000,12542000,-2346000,725000,13692000,1595000,38656000,91009000,1158000,-403000,-4181000,-2056000,2985000,9704000,8478000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,400000,-1500000,5200000,2000000,7055559,-916945,4681072,-1003000,15184000,1298000,15837000,-3414000,7991000,27875000,-9026000,-5206000,952000,-6500000,-5181000,-2327000,-265000,-5313000,833000,4556000,-7636000,-5119000,-7145000,-5474000,-4248000,9056000,-828000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,400000,-1500000,5200000,2000000,-554023,870645,876871,3502000,-4799000,146000,218000,1005000,-24000,-1082000,91000,-285000,-777000,-252000,-882000,116000,224000,736000,-647000,3252000,3824000,-3125000,-2533000,5182000,7621000,3154000,-12894000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,63291,933936,1810807,5313000,514000,660000,878000,1883000,1859000,777000,868000,583000,2158000,1906000,1024000,1140000,1364000,2100000,1453000,4705000,8529000,5404000,2871000,8053000,25132000,28286000,15392000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,400000,300000,300000,600000,617314,63291,933936,1811000,5313000,514000,660000,878000,1883000,1859000,777000,868000,2935000,2158000,1906000,1024000,1140000,1364000,2100000,1453000,4705000,8529000,5404000,2871000,17511000,25132000,28286000
100,Free Cash Flow,- -,- -,- -,- -,- -,200000,-500000,1600000,1300000,-3023112,1442104,-2587859,-3574000,-3646000,-21965000,-20009000,-12706000,-8130000,-28879000,-460000,-2598000,-16000,465000,7032000,5684000,-4040000,2112000,1092000,-412000,-162000,4908000,5966000,11236000,12872000,-4746000,-21327000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69422/000121430506000015/0001214305-06-000015-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69422/000121430510000016/0001214305-10-000016-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420411054229/0001144204-11-054229-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420412052239/0001144204-12-052239-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420413051363/0001144204-13-051363-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420414058304/0001144204-14-058304-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420415053888/0001144204-15-053888-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420416125824/v449390_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000114420417052400/v475706_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000114420418047626/0001144204-18-047626-index.html,https://www.sec.gov/Archives/edgar/data/69422/000114420419043033/tv527966_10k.htm,https://www.sec.gov/Archives/edgar/data/69422/000149315220017491/0001493152-20-017491-index.htm,https://www.sec.gov/Archives/edgar/data/69422/000149315221022978/0001493152-21-022978-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
