,https://roic.ai/company/SU,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,1963810,2999727,3014938,5003574,4953560,513599537,8998200,14326648,18885741,20610589,40796736,68612629,45433364,62000000,190000000,41000000,81000000,213000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-4958678,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-493160547,- -,- -,- -,- -,- -,- -,-500000000,-1451000000,-1675000000,-1671000000,-43000000,- -,- -,-3053000000,-2274000000,-307000000,-2304000000
93,Dividends Paid,-56967876,-56961221,-57055864,-57932389,-62039815,-70028779,-74052895,-75077399,-111400463,-118476305,-119388730,-121183506,-126239856,-105591553,-102337481,-126980429,-162000000,-180000000,-401000000,-611000000,-664000000,-756000000,-1095000000,-1490000000,-1648000000,-1877000000,-2124000000,-2333000000,-2614000000,-1670000000,-1550000000
94,Other Financing Activites,-93020569,44882391,24093195,4909524,56994819,131012745,383988563,507120743,28935185,824835034,953517988,-478438779,-34780368,-117590592,878009071,-637232059,1664000000,3126000000,2325000000,- -,-1221000000,615000000,250000000,1822000000,95000000,4439000000,1184000000,1146000000,-649000000,4098000000,-834000000
95,Cash Used/Provided by Financing Activities,-149988445,-17037508,-32962669,-51059055,-2045269,63998904,314939242,436996904,431134259,715356929,848455906,-580736544,-140409635,-675545956,844284219,-718779124,1564000000,3135000000,1965000000,-1787000000,-2676000000,-1592000000,-2832000000,-1872000000,-1854000000,869000000,-4223000000,-4426000000,-5537000000,1786000000,-7464000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2576324,-3599712,-2325852,- -,-47000000,84000000,-24000000,-15000000,12000000,-19000000,82000000,92000000,295000000,-75000000,-68000000,92000000,-57000000,-12000000,-3000000
97,Net Change In Cash,-149988445,-17037508,-32962669,-51059055,-2045269,63998904,314939242,436996904,-21701389,16496701,-19102196,14164306,372278758,-299976001,76753111,355312208,48000000,91000000,-155000000,572000000,2726000000,590000000,817000000,293000000,-1446000000,-1033000000,-344000000,-451000000,-261000000,-75000000,320000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,4340278,20995801,1591850,15738118,387736700,87592993,165135481,520736253,569000000,660000000,505000000,1077000000,3803000000,4393000000,5202000000,5495000000,4049000000,3016000000,2672000000,2221000000,1960000000,1885000000,2205000000
99,Cash at the Beginning of Period,27963947,2034329,- -,- -,35996728,2055639,1000715,13003096,26041667,4499100,20694046,1573812,15457942,387568994,88382370,165424045,521000000,569000000,660000000,505000000,1077000000,3803000000,4385000000,5202000000,5495000000,4049000000,3016000000,2672000000,2221000000,1960000000,1885000000
100,Free Cash Flow,116015715,-3941513,236960551,379015290,398963731,474030423,-266047176,-423065015,-512152778,-1090281944,-865966253,579162732,2095839238,356371490,2421211769,951770736,3893000000,4462000000,-1671000000,-347000000,3138000000,1887000000,3323000000,1975000000,217000000,-902000000,2415000000,5174000000,4863000000,-1251000000,7209000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/311337/999999999702020156/9999999997-02-020156-index.html,- -,https://www.sec.gov/Archives/edgar/data/311337/000104746904011799/a2132989zex-1.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/311337/000104746908002205/a2183122z40-f.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746909002147/0001047469-09-002147-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746910001825/0001047469-10-001825-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746911001722/a2202290zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746912001967/0001047469-12-001967-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746913002093/0001047469-13-002093-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746914001603/a2218559zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746915001316/a2223197zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/311337/000104746916010455/0001047469-16-010455-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746917001150/0001047469-17-001150-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746918001219/0001047469-18-001219-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746919000800/0001047469-19-000800-index.html,https://www.sec.gov/Archives/edgar/data/311337/000104746920001091/0001047469-20-001091-index.html,- -,- -
102,Forex Rate,0.8654,0.7867,0.7566,0.7161,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
