,https://roic.ai/company/ATRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,- -,- -,- -,- -,-170000,-40000,30000,- -,-10000,-2000000,200000,200000,6400000,-600000,-7000000,3422000,-143000,-3820000,3482000,-33553000,2463000,516000,4675000,12101000,2335000,4640000,3000,1062000,410000,- -,-45000,5867,-375000,-74364,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5596000,-5547000,-1000000,- -,-60000,- -,-250000,- -,- -,-24000,-143834,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,3200000,3200000,17600000,- -,- -,44000,13016000,7234000,10875000,67860000,27788000,9867000,41969000,7349000,9332000,- -,12433000,1112000,- -,- -,- -,- -,250000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,50000,260000,- -,160000,10000,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-100000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,600000,-10000,100000,350000,- -,- -,-200000,-200000,- -,1400000,- -,- -,- -,351000,1100000,137000,2000000,6082000,-958000,- -,1069000,13479000,3591000,1517000,-2000,5944000,1096000,359946,1410716,13891543,4970000,539000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,650000,250000,100000,510000,10000,4800000,3000000,3000000,17600000,1400000,-500000,44000,13016000,7585000,11975000,67997000,29788000,15949000,41011000,1753000,4854000,12479000,16024000,2569000,-2000,5694000,1096000,359946,1636716,13497709,4870000,539000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,70000,-250000,- -,380000,-70000,4800000,3000000,3000000,17600000,1400000,-12800000,-4396000,5504000,-2739000,7771000,15276000,972000,1712000,-777000,-26620000,-336000,318000,-90000,-760000,693000,915000,-1114000,-156501,1031,3811912,-3868000,-49000
98,Cash at the End of Period,- -,- -,- -,- -,260000,- -,10000,380000,310000,- -,- -,- -,- -,- -,10700000,6256000,11760000,9021000,16792000,25797000,26769000,28481000,27704000,1084000,748000,1066000,976000,216000,909000,1824000,710000,105347,106378,3918290,50000,1000
99,Cash at the Beginning of Period,- -,- -,- -,- -,190000,250000,10000,- -,380000,300000,800000,800000,4500000,25300000,23500000,10652000,6256000,11760000,9021000,10521000,25797000,26769000,28481000,27704000,1084000,748000,1066000,976000,216000,909000,1824000,261848,105347,106378,3918000,50000
100,Free Cash Flow,- -,- -,- -,- -,-480000,-480000,-130000,-140000,-70000,100000,- -,- -,-3800000,-3200000,-8300000,-8455000,-7512000,-8867000,-9915000,-21332000,-36245000,-24952000,-50471000,-40597000,-7619000,-17205000,-16120000,-4391000,285000,-4779000,-2210000,-522314,-1635685,-9685797,-8738000,-588000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737207/000089102003000971/v88030e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012404000952/v96126e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012405001355/v06082e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012406001245/v17782e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095013407005057/v26971e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095013408004908/v37317e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000119312509075591/d10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000119312510064469/0001193125-10-064469-index.html,https://www.sec.gov/Archives/edgar/data/737207/000119312511075247/d10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000114420412055514/v324618_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104914003110/t1401301_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104914003630/t1401389_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104915001227/t1500315_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104916013489/0001571049-16-013489-index.html,https://www.sec.gov/Archives/edgar/data/737207/000149315217003272/0001493152-17-003272-index.html,https://www.sec.gov/Archives/edgar/data/737207/000149315218005372/form10-k.htm,https://www.sec.gov/Archives/edgar/data/737207/000149315219005482/form10-k.htm,https://www.sec.gov/Archives/edgar/data/737207/000073720720000006/atrx-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000149315221008190/0001493152-21-008190-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
