,https://roic.ai/company/ROCC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,-8100000,-8000000,-8100000,-12300000,-8500000,-7700000,-7800000,-7400000,-7500000,-7600000,-7407000,-7930000,-8040000,-8092000,-8248000,-39095000,-8398000,-8499000,-73643000,-88007000,-10271000,-10316000,-5176000,-6862000,-12803000,-18201000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,3400000,6400000,-5500000,-2100000,-7700000,-1600000,24100000,10500000,4000000,40600000,-30269000,-118000,45030000,26857000,14874000,263821000,71521000,238652000,741906000,485792000,152794000,406294000,319305000,1046215000,726607000,232256000,- -,245158000,243011000,73784000,50922000,441750000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-5500000,-3900000,-13600000,-14400000,-16200000,-9800000,400000,-5000000,-1500000,34100000,-38353000,144127000,37412000,21765000,12455000,226974000,180941000,384641000,445604000,74158000,142523000,148015000,42688000,629263000,126548000,116055000,- -,238213000,243011000,38784000,-48078000,-33190000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-5500000,-3900000,-13600000,-14400000,-16800000,-4000000,-1100000,-5000000,-1500000,500000,78000,8886000,3720000,4667000,7463000,442000,-5575000,14189000,-16189000,79993000,41894000,-113399000,10138000,5824000,-17222000,5703000,- -,4256000,6847000,-10066000,5222000,10661000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,3000000,1900000,- -,- -,700000,735000,9621000,13341000,18008000,25471000,25913000,20338000,34527000,18338000,98331000,120911000,7512000,17650000,23474000,6252000,11955000,- -,11017000,17864000,7798000,13020000,23681000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2900000,2700000,4200000,4200000,23900000,7000000,3000000,1900000,800000,200000,657000,735000,9621000,13341000,18008000,25471000,25913000,20338000,34527000,18338000,79017000,120911000,7512000,17650000,23474000,6252000,- -,6761000,11017000,17864000,7798000,13020000
100,Free Cash Flow,- -,- -,- -,- -,- -,4800000,300000,-8800000,1700000,-4700000,13800000,8700000,5900000,2000000,-35500000,-16915000,-151847000,-78953000,-18478000,21124000,47021000,6046000,-108479000,-201565000,36488000,-248396000,-300882000,-129449000,-242691000,-491415000,-195541000,- -,-33977000,-158460000,-42549000,53213000,32682000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77159/000007715921000016/0000077159-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/77159/000007715922000006/0000077159-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
