,https://roic.ai/company/BKH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,48900000,45300000,55400000,56000000,54700000,75700000,74470000,177396000,218774000,170569000,136682000,174849000,259695000,252079000,145641000,270502000,147752000,223704000,316971000,324629000,323457000,428004000,320463000,428261000,488811000,505513000,541863000,-64565000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100700000,-48200000,-24400000,-28300000,-27300000,-104200000,-134855000,-378479000,-233074000,-90353000,-90974000,-138628000,-308450000,-261371000,-328922000,-346872000,-472681000,-440698000,-349129000,-354749000,-398494000,-455481000,-474783000,-326010000,-457524000,-818376000,-767404000,-677492000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28688000,-215677000,-37029000,- -,- -,-65118000,40735000,- -,-102831000,- -,- -,- -,107511000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41900000,-19300000,-40900000,-31900000,-22400000,-7900000,-13646000,-471000,-33815000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24429000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,36900000,36200000,29400000,13700000,23000000,4660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-48900000,5500000,2900000,-1235000,168196000,-1892000,94039000,-382000,1099000,-25299000,77049000,83513000,-6892000,252787000,5471000,-2653000,-20908000,-1113959000,8346000,16104000,2166000,5740000,13262000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95600000,-30600000,-29100000,-30800000,-35900000,-138000000,-167029000,-591727000,-305153000,77843000,-92866000,-109707000,-268097000,-260272000,-457052000,-269823000,-389168000,-447007000,11169000,-349278000,-401147000,-476389000,-1588742000,-317664000,-465849000,-816210000,-761664000,-664230000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1127473000,-829926000,-829682000,-511830000,-978056000,-415950000,-670510000,-1569908000,-105743000,-880423000,-905743000,-8597000,-808436000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,700000,500000,400000,300000,400000,3854000,168843000,5084000,123073000,4031000,12212000,4059000,150787000,2683000,4819000,3246000,123041000,4726000,4354000,3251000,538789000,121619000,4408000,300834000,101358000,99278000,118979000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,-5000000,-1037000,-28517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18900000,-19300000,-19900000,-20500000,-21700000,-22600000,-34427000,-1453000,-31116000,-37025000,-40210000,-42212000,-43960000,-50300000,-53663000,-55151000,-56467000,-59202000,-65262000,-67587000,-69636000,-72604000,-87570000,-96744000,-106591000,-124647000,-135439000,-145023000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,67500000,-100000,-1700000,-1700000,3700000,91200000,132600000,280211000,162266000,-236734000,-115890000,-65450000,51635000,-48569000,449668000,1121495000,1044100000,1015476000,200920000,1058317000,573402000,688027000,2376857000,89384000,669123000,1229242000,261640000,1566346000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,-18700000,-21100000,-21800000,-20800000,64000000,100990000,419084000,136234000,-150686000,-152069000,-95450000,11734000,51918000,398688000,-56310000,160953000,249633000,-371446000,17028000,91067000,483702000,840998000,-108695000,-17057000,300210000,216882000,731866000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,-4000000,5100000,3500000,-2000000,1700000,8431000,4753000,49855000,97726000,-108253000,-30308000,3332000,43725000,87277000,-55631000,-80463000,26330000,-43306000,-7621000,13377000,435317000,-427281000,1902000,5905000,-10487000,-2919000,3071000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,8200000,13300000,16800000,14800000,16500000,24913000,29666000,79811000,172771000,64506000,34198000,37530000,81255000,168532000,112901000,32438000,58768000,15462000,7841000,21218000,456535000,13580000,15420000,24145000,13658000,10739000,13810000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,12200000,8200000,13300000,16800000,14800000,16482000,24913000,29956000,75045000,172759000,64506000,34198000,37530000,81255000,168532000,112901000,32438000,58768000,15462000,7841000,21218000,440861000,13518000,18240000,24145000,13658000,10739000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51800000,-2900000,31000000,27700000,27400000,-28500000,-60385000,-201083000,-14300000,80216000,45708000,36221000,-48755000,-9292000,-183281000,-76370000,-324929000,-216994000,-32158000,-30120000,-75037000,-27477000,-154320000,102251000,31287000,-312863000,-225541000,-742057000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1130464/000113046403000054/0001130464-03-000054-index.html,- -,https://www.sec.gov/Archives/edgar/data/1130464/000113046405000116/form10k_2004.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046406000172/form10k_2005.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046407000082/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046408000105/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046409000099/0001130464-09-000099-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046410000041/0001130464-10-000041-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046411000027/bkh10k123110.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046412000024/0001130464-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046413000071/0001130464-13-000071-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046414000056/bkh10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046415000083/bkh10k122014.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046416000176/0001130464-16-000176-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046417000010/0001130464-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046418000014/0001130464-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046419000012/0001130464-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046420000006/0001130464-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046421000007/0001130464-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046422000004/0001130464-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
