,https://roic.ai/company/DGICB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,- -,-100000,-7100000,-31048603,-22767767,-6679202,-27514775,-21922711,-22379648,-14807559,-21938660,- -,-139957301,-154101574,-26150978,- -,- -,-6526527,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46277141
89,Cash Used for Investing Activites,- -,- -,- -,-9400000,-8300000,-10300000,-10900000,-27100000,-12300000,-22615612,-22257840,-14583393,-28555065,-9876087,-20239309,-8704876,-27445883,-89268996,-38673820,-51208595,-37854246,-14356885,-30972478,-12999386,-43190044,-31109363,-4757930,-28071475,-29184987,-74280566,-51318346,-58443382,-37606007,-43377179,-99675325,-62199311
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19800000,- -,- -,- -,- -,-15464000,- -,- -,-3617371,-6000000,-30965000,-7500000,-9500000,-12000000,-10000000,- -,-25000000,- -,- -
91,Common Stock Issued,- -,- -,- -,100000,100000,100000,100000,16400000,100000,1723014,2512130,1130925,2480747,2514415,2756540,1386746,1727748,61153462,6948287,5550881,6307737,3542579,3856596,1386037,1199422,1460543,2983399,12550066,10700637,15516870,13822228,15511457,3249849,4834514,19292324,14181702
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,-71976,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4308165,-3510689,-393644,-145687,-1537587,-1925673,-376463,-12026,-28124675,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-600000,-700000,-700000,-800000,-1000000,-1400000,-1621631,-1878648,-2251788,-2663795,-2946170,-3126959,-3394352,-3508719,-3868348,-5984731,-6813143,-7782784,-8627232,-10025711,-10997571,-11405268,-11874367,-12208509,-12810471,-13575968,-14455167,-14085934,-14822052,-15658950,-16092643,-16976093,-19099220
94,Other Financing Activites,- -,- -,- -,1900000,1000000,- -,800000,-4600000,- -,5000000,3500000,2000000,27000000,-500000,3000000,-12400000,-7800000,25774000,5155000,- -,2298865,854945,683881,- -,34955088,22500000,3500000,21500000,3000000,37000000,- -,- -,1000000,- -,50000000,-55000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1400000,400000,-600000,100000,10000000,-1300000,5101383,4061506,879137,26816952,-931755,2629581,-14407606,-9580971,63259114,6118556,-1262262,823818,-8537873,-24459923,-10005178,24603555,6931218,-13650783,-10101868,-7387357,437028,-12263706,-9310595,-11409101,-36258129,52316231,-59917518
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-100000,- -,- -,100000,- -,264621,1164550,-286848,4813727,-4304639,1263394,-1107700,-2950684,4783917,1441809,-3539319,-3279255,3757609,-2458411,11092944,3418314,-3096834,6555912,7835126,7942093,-7439365,-3551930,13246221,14761026,-3275531,53775306,-45384861
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1747572,2912122,3413315,8227042,3922403,5185797,4075288,1124604,5908521,7350330,3811011,531756,4289365,1830954,12923898,16342212,13245378,19801290,27636416,35578509,28139144,24587214,37833435,52594461,49318930,103094236,57709375
99,Cash at the Beginning of Period,- -,- -,- -,1200000,500000,800000,600000,300000,1200000,1482951,1747572,3700163,3413315,8227042,3922403,5182988,4075288,1124604,5908521,7350330,3811011,531756,4289365,1830954,12923898,16342212,13245378,19801290,27636416,35578509,28139144,24587214,37833435,52594461,49318930,103094236
100,Free Cash Flow,- -,- -,- -,6100000,7900000,10500000,10500000,17500000,13400000,17443956,19117969,10658557,5901826,6059705,18597140,21843513,33524165,30422322,33475978,48227938,32902454,25288745,51751744,33156488,21353643,20842773,24220543,44753702,42387126,66252637,59645915,79909472,63670609,76210174,101044698,77956774
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800457/000089322005000559/0000893220-05-000559-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322006000518/0000893220-06-000518-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322007000708/0000893220-07-000708-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322008000693/0000893220-08-000693-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000089322009000521/0000893220-09-000521-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000095012310023520/0000950123-10-023520-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000095012311025153/0000950123-11-025153-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312512108324/0001193125-12-108324-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312513103135/0001193125-13-103135-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312514099506/0001193125-14-099506-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312515089251/0001193125-15-089251-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312516510014/0001193125-16-510014-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312517078661/0001193125-17-078661-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312518077161/0001193125-18-077161-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312519074944/0001193125-19-074944-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312520065229/0001193125-20-065229-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000119312521071327/0001193125-21-071327-index.htm,https://www.sec.gov/Archives/edgar/data/800457/000114036122008115/0001140361-22-008115-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
