,https://roic.ai/company/ACUR,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
84,CAPEX,- -,- -,- -,-510000,- -,- -,- -,-2300000,-3600000,-1700000,-200000,-500000,-400000,-100000,-1500000,-918000,-2962000,-1544000,-287000,-410000,-444000,-35000,-85000,-31000,-143000,-220000,-41000,-131000,-147000,-23000,-2135000,-214000,-75000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26039000,- -,- -,- -,-20306000,-7611000,-2203000,-3522000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,5039000,- -,- -,320000,13887000,4336000,3830000,10873000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-50000,- -,- -,- -,-600000,- -,-100000,400000,2000000,- -,1000000,100000,69000,-20000,-61000,16000,- -,4538000,193000,70000,22000,-142000,-220000,-41000,-131000,- -,- -,-2000000,14000,- -,309000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-560000,- -,- -,- -,-2900000,-3600000,-1800000,200000,1500000,-400000,900000,-1400000,-849000,-2982000,-1605000,-271000,-410000,4094000,158000,-15000,-9000,-5181000,4819000,-41000,-131000,-20133000,6253000,-2000,108000,10798000,309000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2540000,-2760000,-2573000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,2400000,1000000,1000000,900000,1800000,400000,- -,49000,252000,96000,- -,- -,- -,5000,98000,14265000,- -,160000,- -,- -,- -,1000,- -,- -,- -,4000000,2000,14000,3000
92,Common Stock Repurchased,- -,- -,- -,10000,- -,- -,- -,- -,-100000,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-130000,- -,- -,- -,-100000,600000,-500000,-800000,5700000,2400000,3800000,28000000,11691000,9369000,3344000,21499000,8226000,7560000,2521000,5267000,-2336000,20000,- -,392000,-541000,-1038000,12288000,-520000,5291000,1000,- -,4350000,1375000,267000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-120000,- -,- -,- -,100000,2900000,500000,200000,5300000,4000000,4200000,28000000,11740000,9621000,3440000,21499000,8226000,7560000,2526000,5365000,11929000,20000,160000,392000,-541000,-1038000,12289000,-520000,5291000,-2539000,1240000,1779000,1389000,270000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-580000,- -,- -,- -,100000,2900000,500000,200000,5300000,4000000,4200000,28000000,-1064000,-89000,-255000,8769000,-8269000,2161000,-2843000,-32000,31140000,-970000,-224000,-6129000,11640000,-28209000,4864000,-11566000,1711000,2696000,-2961000,-2129000,771000,-449000
98,Cash at the End of Period,- -,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,786000,697000,442000,9211000,942000,3103000,260000,228000,31368000,30398000,30174000,24045000,35685000,7476000,12340000,774000,2485000,5181000,2220000,91000,862000,413000
99,Cash at the Beginning of Period,- -,- -,- -,1680000,- -,- -,- -,800000,200000,200000,- -,- -,400000,100000,- -,1850000,786000,697000,442000,9211000,942000,3103000,260000,228000,31368000,30398000,30174000,24045000,35685000,7476000,12340000,774000,2485000,5181000,2220000,91000,862000
100,Free Cash Flow,- -,- -,- -,-400000,- -,- -,- -,-100000,-2900000,-500000,-600000,-7000000,-4200000,-5300000,-26200000,-12873000,-9690000,-3634000,-12746000,-16495000,-9937000,-5562000,-5468000,19189000,4048000,-5423000,-6521000,12181000,-7185000,-13701000,-13179000,-3902000,-5638000,-4510000,-3908000,-618000,-719000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/786947/000100547797001000/0001005477-97-001000-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/786947/000114420406007151/v035705_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420407012867/v068376_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420408013490/v105388_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420409011488/0001144204-09-011488-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420410010996/0001144204-10-010996-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420411011981/v212664_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420412012928/0001144204-12-012928-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420413012648/0001144204-13-012648-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420414012919/v367838_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420415013292/v400005_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420416085018/0001144204-16-085018-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420417018146/0001144204-17-018146-index.html,https://www.sec.gov/Archives/edgar/data/786947/000114420418033269/tv490022_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000114420419044723/tv528338_10k.htm,https://www.sec.gov/Archives/edgar/data/786947/000110465920040632/0001104659-20-040632-index.html,https://www.sec.gov/Archives/edgar/data/786947/000110465921044760/0001104659-21-044760-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
