,https://roic.ai/company/IHT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-9500000,-1900000,-100000,8046986,5544329,9290304,5264268,- -,- -,626249,96825,129193,- -,-113852,17311,258010,-10711,47633,14841,60556,366,-1141853,-861987,-1301795,653883,-903148,5475273,9267982,1558472,502557
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-9500000,-1900000,-1100000,8046986,5544329,9290304,5264268,-3725890,-1516543,-2588495,-2293169,-1555051,10195607,7955278,-64756,-1238705,-988750,-1245035,-861432,-1085964,-969597,-1141853,-861987,-1301795,653883,-903148,4475273,8371756,1304879,502557
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9120000,-2300000,-20682984,-4384391,-3554656,-14302448,-2196610,-12249142,-8636717,-3274807,-3937137,-8505353,-7236824,-6661194,-1536420,-1643995,-4091361,-5881580,-10888689,-7149472,-2761467,-5951817,-1688353,-1277025,-875074
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2999999,- -,400000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000601,-1909352,-110681,-75854,-29432,-566740,-30965,-182635,-167937,-252695,-101830,-87745,-152279,-502836,-54430,-220032,-92424,-77037,-300044,-854837,-171700,-247439
93,Dividends Paid,- -,- -,- -,- -,- -,-1800000,-1800000,-1300000,-900000,-796057,-612372,-408234,-153088,-166781,-52889,-97703,-21479,-20010,-40986,-23220,-91450,-93302,-91657,-90537,-85704,-85472,-84430,-83846,-83449,-82665,-88177,-96630,-197512,-195575,-191924,-191848
94,Other Financing Activites,- -,- -,- -,- -,- -,1400000,10700000,2500000,- -,-7765000,-6015000,625000,- -,23459551,5941249,7547986,16973134,2805670,1947750,612317,2617000,3605616,8247183,8480003,6526155,3562771,2402834,4462277,6063652,12005041,5730051,3319957,7333216,-7660243,1739990,2121429
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-400000,8900000,1200000,- -,-8561057,-6627372,-8903234,-2453088,2609786,503368,1986275,2538526,513196,-10371810,-8614360,-780222,-607458,-517764,899947,-322573,1853134,522130,-215766,44193,813655,1399977,384823,1283843,-10399008,99341,807068
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-400000,8900000,1200000,- -,-11401,-22788,515712,1846401,-1957463,-212826,207281,10874,513196,-10371810,-8614360,32908,168440,97007,841822,-735135,88459,488580,-489471,-98050,111783,1450000,-1389291,4208057,-3826673,451453,502227
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,39073,16285,531997,2378398,420935,208109,415390,426264,88519,- -,1343,34251,202691,299698,1141520,406385,494844,983424,493953,395903,507686,1957686,568396,4776453,749075,1200528,1702755
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,50474,39073,16285,531997,2378398,420935,208109,415390,- -,88519,- -,1343,34251,202691,299698,1141520,406385,494844,983424,493953,395903,507686,1957687,568396,4575748,749075,1200528
100,Free Cash Flow,- -,- -,- -,- -,- -,400000,700000,900000,200000,502670,1060255,128642,-964779,-4567249,-716195,-1880243,-2612946,-553870,-1776209,-647583,-394373,517888,625482,-105758,-427403,-1825231,-33916,868148,719744,599923,-603860,-870966,-1551059,-1799421,-952767,-807398
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82473/000095015296001927/0000950152-96-001927-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82473/000110465902001617/j3797_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465903007875/j0040_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465904012098/a04-5164_110k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465905023903/a05-7650_110k.htm,https://www.sec.gov/Archives/edgar/data/82473/000008247306000015/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000114036107008838/0001140361-07-008838-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247308000004/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000008247309000002/0000082473-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247310000002/0000082473-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247311000002/0000082473-11-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247312000004/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000143774913005054/0001437749-13-005054-index.html,https://www.sec.gov/Archives/edgar/data/82473/000143774914007348/0001437749-14-007348-index.html,https://www.sec.gov/Archives/edgar/data/82473/000143774915008493/0001437749-15-008493-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315216009294/0001493152-16-009294-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315217004575/0001493152-17-004575-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315218007218/form10-k.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315219009454/form10-k.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315220015642/0001493152-20-015642-index.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315221011629/0001493152-21-011629-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
