,https://roic.ai/company/HMC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35475000000,-90495000000,-92638000000,-45839000000,-88173000000,49217000000,-41778000000,9344000000,132702000000,-133788000000
79,Inventory,- -,- -,- -,- -,-29814601896,-106953383100,-21737685784,-37590444276,-38669894772,36227440333,81567428544,-12836064812,-42309326895,-42800999910,-41020138990,-8521363269,10101144040,-146404766020,-51814014350,-79566782120,-109698683400,-96848303040,-100309105040,-262782000000,352994000000,-33676000000,-154222000000,-74662000000,-2901000000,-56285000000,66405000000,-72144000000,-202916000000,-60906000000,-59931000000,68281000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242814000000,-95192000000,70988000000,22246000000,105189000000,12999000000,69429000000,-11816000000,-141159000000,101301000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31100890860,- -,- -,- -,-55790961300,8718703680,48758600760,- -,- -,-154179000000,-38744000000,- -,- -,152579000000,350156000000,-180897000000,-17343000000,9455000000,-20406000000,34356000000
82,Other Non-Cash Items,- -,- -,- -,- -,-33415627125,-10483689135,7161743666,21672217644,-7879670784,-22533070448,-9467647956,-22193890268,-6601266480,13564368085,7562063157,29692293127,27379416740,73497316060,-122602174800,-88574342360,-111111112800,66097199520,89041780120,97956000000,24347000000,-33623000000,-26047000000,10535000000,-111951000000,-52261000000,124495000000,129639000000,-256676000000,-36457000000,84178000000,-16995000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,124227507900,119610003765,234092022092,196623405440,87466397700,288730885058,302000833782,561754223108,478032841590,340847918315,394200979183,517375798536,748016298120,687194006500,712260253600,746984102760,576506600100,904624416960,1123641455960,383641000000,1544212000000,1070837000000,737429000000,800744000000,1229191000000,1020404000000,1390995000000,885073000000,987671000000,775988000000,979415000000,1072379000000
84,CAPEX,- -,- -,- -,- -,-330791121036,-262120448265,-238078150292,-168209485752,-121919437404,-128407397622,-151546627350,-217222855724,-311843296155,-234214598005,-215759757641,-290782268239,-302635591830,-316522149260,-287427037350,-374135448540,-459981174600,-597938124000,-666267832880,-635190000000,-392062000000,-1116963000000,-1080985000000,-1419997000000,-1901846000000,-883120000000,-871959000000,-637452000000,-572490000000,-607807000000,-601258000000,-551137000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1751913038048,-2120532251476,-2892781579350,- -,- -,-2711811796540,-3031308897300,-240235632480,- -,-2303930000000,91921000000,-98576000000,-9559000000,-118133000000,-424253000000,-1971000000,-1000000,12826000000,-2450000000,-2401000000,-17631000000,-95947000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8812424618,- -,- -,-104253550,-1608492900,-87570622800,-165419729280,-203709246120,-54163000000,-46471000000,-191625000000,-50991000000,-45254000000,-110847000000,-108873000000,-173761000000,-222464000000,-280236000000,-506431000000,-282806000000,-433375000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531639160,20763286720,10112594350,13189641780,65324859750,217849771680,213181775920,61484000000,25306000000,242784000000,63719000000,38202000000,76102000000,119897000000,145414000000,177762000000,224302000000,515670000000,265980000000,276808000000
88,Other Investing Activites,- -,- -,- -,- -,7044800448,-22406592660,-160880134152,-132089123012,22818213312,-109753678643,-117563768793,-205290390460,-355816248675,-256079549545,1675730959713,1893861415891,2310636699150,-776381760820,-689115965500,2266152030380,2840866333200,-344977896960,-1024728302680,1163245000000,-666507000000,114447000000,7529000000,-151453000000,-121906000000,-201344000000,-211553000000,-124610000000,-141166000000,-163625000000,-214829000000,-225957000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-323746320588,-284527040925,-398958284444,-300298608764,-99101224092,-238161076265,-269110396143,-422513246184,-667659544830,-490294147550,-291941835976,-526265528443,-884248832870,-1072140623360,-966534662050,-808214065820,-672669501750,-1130721611040,-1681523605760,-1133364000000,-595751000000,-731390000000,-673069000000,-1069756000000,-1708744000000,-840496000000,-875077000000,-650618000000,-615113000000,-577555000000,-619481000000,-796881000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-889483000000,-1613474000000,-870406000000,-1072184000000,-7592599000000,-9603211000000,-9991175000000,-9975610000000,-9751898000000,-9614174000000,-9939795000000,-10794764000000,-11160916000000
91,Common Stock Issued,- -,- -,- -,- -,17517651114,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56627145600,-95183491150,-84177795100,-77095104750,-26745212640,-30611227880,- -,-18000000,-34797000000,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-13209000840,-13616096925,-13632558444,-13621224232,-13635524052,-13607970075,-13730231538,-13603505524,-16689492270,-20209598455,-19808261041,-22811744076,-24322491570,-30083171100,-33465389550,-47825855560,-71092279800,-147982321920,-161830693320,-150565000000,-77974000000,-92170000000,-108138000000,-129765000000,-142381000000,-158601000000,-158601000000,-162205000000,-174221000000,-194271000000,-196795000000,-145090000000
94,Other Financing Activites,- -,- -,- -,- -,167848660674,171054863235,167497106964,67267715284,66761741916,-15958044907,64388574108,-81819082360,180483416805,221495769985,-9175708832,7751841452,331211196680,433197663840,587781514900,229585553260,172198684350,598173764640,878452500400,1570779000000,1132222000000,896957000000,1136208000000,7841931000000,10116147000000,10162264000000,10038912000000,10029526000000,9614061000000,10156990000000,10904148000000,11022026000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,172157310948,157438766310,153864548520,53646491052,53126217864,-29566014982,50658342570,-95422587884,163793924535,201286171530,-28983969874,-15059902624,306888705110,346487347140,459132634200,97581902600,24011299800,423446230080,686010579200,530862000000,-559244000000,-100416000000,-44121000000,119567000000,370555000000,12488000000,-95299000000,115423000000,-174334000000,22924000000,-87411000000,-283980000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,13256175843,-6208375800,-3002883244,-4892615112,-5263373844,-4803829436,13301831178,16017230344,3819684435,-12004287120,-22006678592,10648582869,20866837030,-23476670780,-28044204950,12867943200,45903955500,31575845760,-23132914880,-141672000000,40316000000,-79909000000,-52150000000,108460000000,71784000000,85750000000,-134893000000,-1358000000,-47712000000,16276000000,-94291000000,94149000000
97,Net Change In Cash,- -,- -,- -,- -,172157310948,157438766310,153864548520,53646491052,53126217864,-29566014982,50658342570,-95422587884,163793924535,39835655175,51268494741,-13301049661,191523007390,-61935940500,176814020800,49112649880,-26129943900,228807061440,105095225360,-360533000000,429533000000,159122000000,-31911000000,-40985000000,-37214000000,278146000000,285726000000,348520000000,150512000000,237633000000,178232000000,85667000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373049894875,416810617074,424965459605,607929379460,546687901480,723728144100,773899550620,747292855050,945625888320,1047861217560,690369000000,1119902000000,1279024000000,1247113000000,1206128000000,1168914000000,1471730000000,1757456000000,2105976000000,2256488000000,2494121000000,2672353000000,2758020000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,245813215632,233914668210,219662238008,205466864680,150657663792,186424870037,204421941783,298398278132,361845227940,333214239700,365542122333,438266509266,416406372070,608623841980,546914123300,724786900740,773422798950,716818826880,942765992200,1050902000000,690369000000,1119902000000,1279024000000,1247113000000,1206128000000,1193584000000,1471730000000,1757456000000,2105976000000,2256488000000,2494121000000,2672353000000
100,Free Cash Flow,- -,- -,- -,- -,-206563613136,-142510444500,-3986128200,28413919688,-34453039704,160323487436,150454206432,344531367384,166189545435,106633320310,178441221542,226593530297,445380706290,370671857240,424833216250,372848654220,116525425500,306686292960,457373623080,-251549000000,1152150000000,-46126000000,-343556000000,-619253000000,-672655000000,137284000000,519036000000,247621000000,415181000000,168181000000,378157000000,521242000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.07,1.2019,1.2071,1.061,0.9686,0.8323,0.8882,0.8976,0.9408,0.902,0.9297,0.9031
