,https://roic.ai/company/SYNL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-3000000,-3400000,-2700000,-2700000,-3300000,-4600000,-6500000,-3800000,- -,-2900000,-7100000,-3382523,-6436972,-2152086,- -,-2008506,-3245588,-3092242,-4485928,- -,-4037239,-1892195,-3185129,-4739728,-5766091,- -,-10905230,-3044411,-5278608,-17733019,-4537000,-3748000,-1497000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2818399,- -,- -,-200000,- -,- -,- -,- -,- -,-5707773,- -,-26506155,-4527762,- -,- -,- -,-11953513,- -,-21895000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-376231,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4382865,-4970470,-544000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,245418,931179,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4141564,- -,1092000,4430000,- -
88,Other Investing Activites,- -,- -,- -,- -,300000,200000,100000,100000,400000,100000,200000,-4000000,- -,100000,-300000,-267206,858372,1314564,- -,834070,32650,1246980,1300,- -,1200,12467536,31490,888056,844977,- -,1961066,20717645,72789,- -,189000,312000,-31164000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2700000,-3200000,-2600000,-2600000,-2900000,-4500000,-6300000,-7000000,- -,-2800000,-7400000,-4025960,-8151581,93657,- -,-1124436,-3212938,-1845262,-4484628,- -,-4036039,4867568,-3153639,-30357827,-9448876,- -,-8944164,17673234,-17400633,-22703489,-25695000,994000,-32661000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-287034,-10425649,- -,-759962,-20461997,- -,-4713925,-26134194,-124999,-336711,-3772000,-14497000,-206597000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,400000,200000,200000,100000,100000,200000,- -,100000,- -,- -,- -,- -,- -,- -,145554,65810,550465,- -,- -,- -,- -,- -,34232625,- -,- -,- -,- -,982519,- -,- -,132000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5100000,-3500000,-100000,- -,- -,-1400000,-5600000,- -,-1600000,-2000000,-1951216,-358,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-820460,-253889,- -,- -,- -,-635000,- -
93,Dividends Paid,- -,- -,- -,- -,-1200000,-1400000,-1300000,-1400000,-1600000,-1800000,-2100000,-2400000,- -,-2600000,-2700000,-1233759,-894651,- -,- -,- -,- -,- -,-927189,- -,-1566294,-631108,-1580404,-1596302,-2259728,- -,-2617513,- -,-1148513,-2215215,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,2900000,- -,400000,2500000,400000,1200000,5000000,-4200000,- -,-4800000,500000,5146000,-1044000,-3322912,- -,4898327,-16647845,9640877,-7465076,- -,18370,- -,8593059,32054351,4171276,- -,999231,6928640,16390528,47699958,-767000,-4230000,221856000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1700000,-6300000,-4000000,1200000,-1000000,-500000,1600000,-12000000,- -,-8900000,-4200000,1961025,-1939009,-3322912,- -,4898327,-16502291,9706687,-7841800,- -,-1834958,-11056757,7012655,29698087,15682176,- -,-7152667,-19459443,15117016,46130551,-4539000,-19362000,15391000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,1700000,-6300000,-4000000,1200000,-1000000,-500000,1600000,-12000000,- -,-8900000,-4200000,-120082,4522,43667,- -,-46546,-289971,19034,6856,- -,68946,13999342,1236,975123,691502,- -,364801,-328551,-48167,2205566,-1594000,-390000,1785000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467,4989,48656,- -,2110,2379,21413,28269,- -,97215,14096557,110138,1085261,1776763,- -,391424,62873,14706,2220272,626000,236000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,200000,200000,400000,100000,100000,500000,- -,300000,- -,100000,1600000,120549,467,4989,- -,48656,292350,2379,21413,- -,28269,97215,108902,110138,1085261,- -,26623,391424,62873,14706,2220000,626000,236000
100,Free Cash Flow,- -,- -,- -,- -,-2000000,6300000,3700000,-1300000,1000000,- -,-1500000,15100000,- -,10300000,3000000,-1437670,3658140,1120836,- -,-5828943,12179670,-10934633,7847356,- -,1902704,18296336,-7042909,-3104865,-11307889,- -,5556402,-1586753,-3043158,-38954515,24103000,14230000,17558000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595399000008/0000095953-99-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595302000008/edgar2001-10ktest1.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595303000003/edgar2002-10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595304000007/edgar2003-10k.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595306000009/synl10-k2005.htm,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595308000010/body.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595309000008/0000095953-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595310000005/0000095953-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595312000007/0000095953-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595313000008/0000095953-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595314000014/syn-20131228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595316000165/0000095953-16-000165-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595317000027/0000095953-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595318000031/0000095953-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595319000043/0000095953-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595320000021/0000095953-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595321000032/0000095953-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595322000037/0000095953-22-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
