,https://roic.ai/company/IIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,300000,-2300000,5400000,6200000,-2300000,-2400000,1600000,-2400000,-300000,1000000,-1222727,12751870,21693476,3258548,-3215531,-8443142,-1734998,-1392316,-2840195,4859232,-1970940,-473000,-1945000,8769000,-3792000,-7350000,4303000,-364000,-64395000,9632000,3874000,-21549000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-100000,3600000,-1400000,1800000,6400000,500000,11800000,3600000,3700000,3400000,7355613,3388291,-440101,533865,251202,1277452,1578399,3533313,2451827,1844754,1616000,-3000,2007000,2674000,2921000,711000,-405000,4230000,177000,1470000,5616000,438000
84,CAPEX,- -,- -,- -,- -,- -,-500000,-6400000,-500000,-800000,-2000000,-2300000,-2900000,-3700000,-6300000,-3900000,-3686546,-2332113,-1902191,-1403116,-1093810,-794192,-3180322,-2763217,-1473563,-1466700,-1811000,-2582000,-1735000,-969000,-1524000,-4179000,-1766000,-2313000,-5507000,-4593000,-3629000,-2504000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65155,- -,- -,- -,- -,-3141,-4606251,- -,-1342171,775000,- -,- -,- -,- -,- -,-536000,-2426000,-1397000,-609000,-7128000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-247410,- -,- -,-378365,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38093000,-43797000,-19941000,-24763000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -,626000,- -,- -,- -,- -,- -,- -,49590000,27194000,25422000
88,Other Investing Activites,- -,- -,- -,- -,- -,1300000,- -,-600000,-18600000,-200000,400000,700000,-5100000,- -,100000,389736,11847,16362,500,3653603,7600,2618363,309169,1300091,324910,-7000,- -,- -,39000,566000,-45000,- -,19000,- -,-818000,- -,-379000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,800000,-6400000,-1100000,-19400000,-2200000,-1900000,-2200000,-8800000,-6300000,-3800000,-3296810,-2385421,-2133239,-1402616,2559793,-1164957,-565100,-7060299,-98472,-2483961,-1043000,-2582000,-1109000,-930000,-958000,-4224000,-2302000,-4720000,-44997000,-227000,-3504000,-2224000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17294826,-17179618,-13334000,-14145000,-18211000,-16863000,-15221000,-16284000,-19525000,-19373000,-25868000,-111000,-96000,-23000
91,Common Stock Issued,- -,- -,- -,- -,- -,11800000,- -,- -,100000,100000,- -,- -,200000,- -,100000,- -,- -,- -,23249,- -,- -,113534,872221,- -,- -,- -,- -,- -,- -,- -,- -,3678000,- -,88967000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-62308,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25907000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-400000,-600000,-600000,-600000,-700000,-800000,-800000,-900000,-900000,-900000,-922053,-691351,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-4100000,3100000,200000,12200000,-5000000,200000,-4200000,1200000,3100000,1200000,-315030,-204917,952145,-7001765,-2677858,778196,-1681971,3666259,14815231,17962930,12666000,16565000,17412000,15100000,13523000,20015000,19378000,19270000,14808000,2000,-1896000,-1129000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,7300000,2500000,-400000,11700000,-5600000,-600000,-5000000,500000,2200000,-400000,-1299391,-896268,952145,-6978516,-2677858,778196,-1568437,4538480,-2479595,783312,-668000,2420000,-799000,-1763000,-1698000,3731000,3531000,-103000,52000000,-109000,-1992000,-1152000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,800000,-400000,-100000,- -,100000,100000,-200000,-700000,200000,-300000,-460196,-252288,221471,246732,-38627,-27719,45195,40192,-5611,-8536,-9000,3000,8000,11000,-154000,-177000,-524000,299000,-150000,-4000,-2000,-113000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,2299216,-145686,-1597129,-1025039,52619,862972,-509943,1051686,-131851,135659,-104000,-162000,107000,-8000,111000,41000,300000,-294000,7030000,1115000,118000,-3051000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,4055224,3636673,2039044,294168,246430,1109402,599459,1651145,249396,385055,281000,119000,226000,217000,328000,369000,667000,373000,8047000,9162000,9280000,6229000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,7900000,16800000,16100000,13100000,7100000,5800000,3900000,8300000,3000000,2800000,1756008,3782359,3636173,1319207,193811,246430,1109402,599459,381247,249396,385000,281000,119000,225000,217000,328000,367000,667000,1017000,8047000,9162000,9280000
100,Free Cash Flow,- -,- -,- -,- -,- -,-600000,-2800000,-1900000,1000000,4400000,-1800000,8900000,-100000,-2600000,-500000,3669067,1056178,-2342292,-869251,-842608,483260,-1601923,770096,978264,378054,-195000,-2585000,272000,1705000,1397000,-3468000,-2171000,1917000,-5330000,-3123000,1987000,-2066000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88790/000008879096000004/0000088790-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88790/000089710105000850/0000897101-05-000850-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710106000606/0000897101-06-000606-index.htm,- -,https://www.sec.gov/Archives/edgar/data/88790/000089710108000593/0000897101-08-000593-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710109000465/0000897101-09-000465-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710110000562/0000897101-10-000562-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710111000364/0000897101-11-000364-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710112000440/0000897101-12-000440-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710113000348/0000897101-13-000348-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710114000317/0000897101-14-000317-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710115000290/0000897101-15-000290-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710116001998/0000897101-16-001998-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710117000321/0000897101-17-000321-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710118000246/0000897101-18-000246-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710119000223/0000897101-19-000223-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710120000158/0000897101-20-000158-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710121000183/0000897101-21-000183-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000143774922005395/0001437749-22-005395-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
