,https://roic.ai/company/DXC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1515100000,-603700000,-523200000,-1058400000,-485800000,-605200000,-1757300000,-852400000,-674000000,-1691000000,-605000000,-1407000000,-492000000,-274000000,-3957000000,-3188000000,-5641000000,-6409000000,-6980000000,-10334000000
91,Common Stock Issued,- -,- -,- -,- -,2900000,4600000,15800000,11200000,17200000,17400000,12800000,42900000,61500000,45100000,57079000,36400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227700000,-1000000000,-1013200000,-3800000,-3000000,-65000000,- -,-283000000,-521000000,-842000000,-73000000,- -,-132000000,-1344000000,-736000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77000000,-124000000,-124000000,-119000000,-128000000,-430000000,-78000000,-174000000,-210000000,-214000000,-53000000
94,Other Financing Activites,- -,- -,- -,- -,24700000,1800000,244100000,-79300000,116100000,186600000,37000000,132200000,101200000,174100000,-168429000,1285100000,1381200000,583500000,439200000,157800000,562800000,649700000,3768400000,1598300000,190000000,157000000,148000000,1225000000,533000000,206000000,3975000000,3359000000,4057000000,6300000000,8587000000,4911000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,27600000,6400000,259900000,-68100000,133300000,204000000,49800000,175100000,162700000,219200000,-111350000,1321500000,-133900000,-20200000,-84000000,-900600000,-150700000,-955500000,997900000,742100000,-487000000,-1676000000,-581000000,-589000000,-599000000,-1038000000,-485000000,93000000,-1890000000,-1663000000,657000000,-5476000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-3717000,-8000000,-1400000,16500000,-5000000,2000000,3800000,9000000,26700000,-92100000,121000000,57000000,-31000000,-25000000,-6000000,-204000000,-57000000,-60000000,65000000,-19000000,-90000000,39000000
97,Net Change In Cash,- -,- -,- -,- -,27600000,6400000,259900000,-68100000,133300000,204000000,49800000,175100000,162700000,219200000,-345355000,-75700000,-35600000,150500000,310100000,447500000,280400000,-240600000,-351200000,1598400000,487000000,-947000000,-744000000,961000000,389000000,-345000000,-920000000,85000000,1385000000,170000000,780000000,-711000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260403000,184700000,149100000,299600000,609700000,1010300000,1290700000,1050100000,698900000,2297300000,2784000000,1837000000,1093000000,2054000000,2443000000,2098000000,1178000000,1263000000,2648000000,2899000000,3679000000,2968000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,76400000,119200000,73300000,115700000,111500000,126800000,155300000,113900000,110700000,274700000,605758000,260400000,184700000,149100000,299600000,562800000,1010300000,1290700000,1050100000,698900000,2297000000,2784000000,1837000000,1093000000,2054000000,2443000000,2098000000,1178000000,1263000000,2729000000,2899000000,3679000000
100,Free Cash Flow,- -,- -,- -,- -,35300000,49200000,52500000,98400000,73200000,124100000,105400000,178000000,130700000,231400000,360675000,-43000000,103400000,262000000,330400000,464700000,330800000,625800000,129300000,959500000,716000000,599000000,201000000,447000000,872000000,785000000,161000000,491000000,2480000000,1225000000,1765000000,-391000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1688568/000168856818000036/0001688568-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856819000055/0001688568-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856820000032/0001688568-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856821000029/0001688568-21-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
