,https://roic.ai/company/LH,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,-1100000,- -,-11200000,- -,-62100000,-244700000,-39600000,-5000000,1600000,20600000,-7600000,400000,-800000,-32700000,-29800000,-4900000,-3900000,900000,1400000,-157000000,-113800000,-121700000,-142000000,-173100000,-201100000,-202100000,-255200000,-248100000,-309900000,324800000,-392500000,-339600000,-373100000
89,Cash Used for Investing Activites,- -,-24800000,-14900000,-37800000,-36300000,-95700000,-293600000,-115000000,-59100000,-32900000,-61800000,-77000000,-150000000,-230000000,-368900000,-710500000,-139900000,-298600000,-273300000,-341500000,-396000000,-334000000,-1317500000,-280300000,-534200000,-359600000,-350100000,-3994900000,-795700000,-2228700000,206700000,-1283100000,-643200000,-884600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101700000,-344500000,-296500000,-851000000,-873200000,-783900000,-20300000,-1250600000,-806300000,-2426900000,-1171800000,-2184900000,-563900000,-1375000000
91,Common Stock Issued,- -,- -,- -,1700000,500000,400000,100000,186900000,- -,488700000,2900000,3800000,17800000,14900000,18200000,21000000,56300000,62100000,82000000,77600000,64400000,24800000,83400000,118400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-131900000,-154200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154900000,-368100000,-583700000,-476500000,-921200000,-333600000,-273000000,-338100000,-643900000,-516500000,-1015600000,-269000000,- -,-43900000,-338100000,-700000000,-450000000,-100000000,-1668500000
93,Dividends Paid,- -,- -,-150600000,-25600000,-28600000,-29000000,-13600000,-474700000,- -,-9700000,-18500000,-18500000,-9500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-27600000,66900000,-66800000,77600000,200200000,306900000,345400000,258800000,-596500000,-48300000,-71100000,-96200000,100000,-189300000,346200000,-1900000,244400000,41000000,479900000,152400000,-8200000,1066500000,731500000,1388900000,1281200000,88700000,4435200000,200400000,3396900000,481900000,2382200000,146500000,977700000
95,Cash Used/Provided by Financing Activities,- -,-27600000,-83700000,-90700000,-82400000,17400000,293400000,57600000,258800000,-117500000,-63900000,-85800000,-87900000,15000000,-171100000,212300000,-313700000,-277200000,-353500000,-363700000,-218500000,-600900000,515300000,-645000000,-800000,-518300000,-200600000,3184600000,-649800000,631900000,-1389900000,-252700000,-517400000,-2065800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-300000,-600000,2300000,500000,-700000,-600000,600000,400000,-3100000,1300000,800000,-1700000,1100000,-3600000,-12300000,-35700000,-13200000,20500000,-12000000,1800000,8600000,-7300000
97,Net Change In Cash,- -,-27600000,-83700000,-90700000,-82400000,17400000,293400000,57600000,258800000,-117500000,-63900000,17600000,8500000,100400000,-92800000,66600000,83800000,-2200000,6100000,4900000,163300000,-71200000,82200000,-71400000,307500000,-62800000,176000000,136400000,-282800000,-116900000,110200000,-89300000,983300000,151900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40300000,48800000,149200000,56400000,123000000,186800000,45400000,51500000,56400000,219700000,148500000,230700000,159300000,466800000,404000000,580000000,716400000,433600000,316700000,426800000,337500000,1320800000,1472700000
99,Cash at the Beginning of Period,- -,12600000,32000000,45800000,51300000,33400000,12300000,26800000,16400000,29300000,23300000,22700000,40300000,48800000,149200000,56400000,103000000,47600000,45400000,51500000,56400000,219700000,148500000,230700000,159300000,466800000,404000000,580000000,716400000,433600000,316600000,426800000,337500000,1320800000
100,Free Cash Flow,- -,48100000,97500000,107400000,63600000,23600000,-34200000,-28400000,-240900000,109900000,42700000,111100000,191200000,227900000,370600000,480700000,443100000,480600000,515800000,566400000,623400000,747700000,757100000,709900000,665100000,616500000,535500000,726600000,897000000,1144000000,925600000,1044500000,1753600000,2649200000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920148/000092014811000021/labcorp10k.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014812000039/0000920148-12-000039-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014813000022/0000920148-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014814000021/lh10-k2013.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014815000020/lh10-k2014.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014816000162/0000920148-16-000162-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014817000018/0000920148-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014818000024/0000920148-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014819000033/0000920148-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014820000011/0000920148-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014821000018/0000920148-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014822000015/0000920148-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
