,https://roic.ai/company/MGA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,93700000,182500000,235500000,242100000,316000000,216100000,496400000,184000000,750000000,655000000,1029000000,1460000000,1216000000,1406000000,1698000000,1596000000,1593000000,1054000000,527000000,1872000000,1210000000,2206000000,2567000000,2792000000,2332000000,3386000000,3329000000,3718000000,3718000000,3278000000,2940000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-24200000,-24200000,-49300000,-147000000,-283500000,-240700000,-524200000,-528000000,-873000000,-653000000,-525000000,-898000000,-801000000,-859000000,-848000000,-793000000,-741000000,-739000000,-629000000,-784000000,-1236000000,-1274000000,-1169000000,-1586000000,-1591000000,-1807000000,-1858000000,-1650000000,-1650000000,-1145000000,-1372000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211000000,-68000000,-40000000,-135000000,-41000000,-338000000,-187000000,-284000000,-46000000,-158000000,-20000000,181000000,48000000,-419000000,154000000,144000000,524000000,-1792000000,381000000,-145000000,75000000,76000000,-490000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-10200000,- -,- -,- -,- -,- -,-36000000,-43000000,-49000000,-28000000,-46000000,-1000000,- -,- -,- -,-99000000,- -,- -,- -,- -,- -,-122000000,-192000000,-175000000,-221000000,-478000000,-651000000,-481000000,-701000000,-331000000,-471000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67800000,14500000,291400000,24000000,146000000,346000000,97000000,39000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,194400000,5500000,-37800000,-113700000,-32300000,-124100000,-338600000,- -,- -,- -,- -,-184000000,-160000000,-77000000,-16000000,65000000,-81000000,-166000000,-227000000,-141000000,-84000000,- -,- -,- -,- -,-194000000,- -,- -,-231000000,- -,50000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,160000000,-18700000,-87100000,-260700000,-248000000,-350300000,-607400000,-547000000,-987000000,-403000000,-514000000,-1179000000,-1002000000,-1274000000,-1051000000,-1111000000,-868000000,-1063000000,-876000000,-744000000,-1272000000,-1815000000,-1207000000,-1617000000,-1288000000,-4271000000,-2128000000,-2276000000,-2276000000,-1400000000,-2283000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000000,-147000000,-288000000,-130000000,- -,-110000000,- -,- -,- -,- -,-1149000000,-71000000,-24000000,-309000000,-191000000,-189000000,-99000000,-417000000,-110000000,-171000000,-171000000,-140000000,-121000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,194800000,95900000,195200000,37000000,368400000,126000000,- -,1000000,4000000,211000000,227000000,58000000,51000000,21000000,28000000,1560000000,- -,2000000,49000000,59000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-43500000,-80600000,-19600000,-14300000,-100000,- -,- -,- -,- -,- -,-2000000,- -,-300000000,- -,- -,-1334000000,-247000000,- -,-323000000,-407000000,-40000000,-1020000000,-1783000000,-515000000,-913000000,-1282000000,-1847000000,-1847000000,-216000000,-530000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-11700000,-8000000,-23300000,-33100000,-47800000,-50800000,-65000000,-18000000,-90000000,-123000000,-137000000,-143000000,-147000000,-161000000,-166000000,-163000000,-131000000,-140000000,-21000000,-100000000,-236000000,-252000000,-284000000,-316000000,-354000000,-385000000,-400000000,-448000000,-448000000,-467000000,-514000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-276600000,-313900000,-98800000,-51800000,103100000,308500000,-103100000,182000000,562000000,26000000,-8000000,81000000,91000000,265000000,-281000000,-251000000,-51000000,476000000,4000000,90000000,151000000,385000000,195000000,910000000,1709000000,695000000,238000000,1023000000,1023000000,904000000,59000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-288300000,-170600000,-106800000,90700000,78000000,626000000,-42100000,164000000,400000000,-240000000,-222000000,33000000,2000000,-255000000,-426000000,-386000000,44000000,89000000,-1164000000,-355000000,-457000000,-216000000,-1300000000,-1378000000,741000000,-1020000000,-1554000000,-1443000000,-1443000000,81000000,-1106000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,-15000000,-24000000,-23000000,23000000,191000000,114000000,-58000000,104000000,300000000,-277000000,90000000,-2000000,-37000000,22000000,-28000000,-98000000,-171000000,16000000,24000000,-36000000,-36000000,23000000,23000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-288300000,-170600000,-106800000,90700000,78000000,626000000,-42100000,164000000,148000000,-12000000,270000000,337000000,407000000,-9000000,163000000,203000000,1069000000,-197000000,-1423000000,771000000,-556000000,197000000,32000000,-301000000,1614000000,-1889000000,-329000000,-37000000,-37000000,1982000000,-426000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,632000000,620000000,890000000,1227000000,1528000000,1519000000,1682000000,1885000000,2954000000,2757000000,1334000000,2105000000,1325000000,1522000000,1554000000,1253000000,2863000000,974000000,839000000,802000000,802000000,3374000000,2948000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,86900000,47400000,40100000,75700000,150300000,301200000,790700000,667000000,484000000,632000000,620000000,890000000,1121000000,1528000000,1519000000,1682000000,1885000000,2954000000,2757000000,1334000000,1881000000,1325000000,1522000000,1554000000,1249000000,2863000000,1168000000,839000000,839000000,1392000000,3374000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,69500000,158300000,186200000,95100000,32500000,-24600000,-27800000,-344000000,-123000000,2000000,504000000,562000000,415000000,547000000,850000000,803000000,852000000,315000000,-102000000,1088000000,-26000000,932000000,1398000000,1206000000,741000000,1579000000,1471000000,2068000000,2068000000,2133000000,1568000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749098/000110465909021369/0001104659-09-021369-index.html,https://www.sec.gov/Archives/edgar/data/749098/000110465910017713/0001104659-10-017713-index.html,- -,https://www.sec.gov/Archives/edgar/data/749098/000119312512143610/0001193125-12-143610-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312513131919/0001193125-13-131919-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/749098/000119312516521370/0001193125-16-521370-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312517102145/0001193125-17-102145-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312518099856/0001193125-18-099856-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312519092912/0001193125-19-092912-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312520088979/0001193125-20-088979-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
