,https://roic.ai/company/UNAM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-4700000,-1600000,-1900000,5900000,-9900000,-11000000,-9064254,-12259719,-11458691,-2498581,6399776,2939105,-8542839,-16257164,-13854584,-9312326,-6793089,-58892,2011032,7161938,7611901,1479571,7497858,4324186,-2535412,8248609,6736530,-5699921,-2318706,4029383,623473
90,Debt Repayment,- -,- -,- -,- -,- -,-600000,-1000000,-1900000,- -,-1300000,-600000,-2475000,-750001,- -,- -,- -,- -,- -,-750000,-1000000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,800000,- -,- -,1000000,- -,- -,- -,1636,57644,202687,13,37,28857,- -,7775,12440,313132,301336,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4130068,-1387397,- -,- -,- -,- -,- -,-115261,-416583,-2447948,- -,-10959,-243469,- -,- -,-242314,-89582,- -,-216,-2296,-10733
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-300000,-300000,-400000,-400000,-417035,-430724,-435456,-1576237,-945580,-272609,-274477,- -,- -,- -,- -,- -,- -,-1959629,-1917209,- -,-6409445,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,500000,600000,100000,5000000,- -,100000,- -,- -,- -,- -,- -,- -,750000,1500000,- -,- -,203126,60786,- -,- -,117630,26365,62634,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,700000,-400000,-2100000,5700000,- -,-900000,-2892035,-1179089,-377812,-1373550,-5075635,-1659969,504380,750000,-992225,-487560,516258,246861,-416583,-4407577,-1799579,15406,-6590280,- -,- -,-242314,-89582,- -,-216,-2296,-10733
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,700000,-400000,-2100000,5700000,- -,-900000,-18886,-26869,221776,-172105,-50633,-9805,-25235,18222,-22972,-1544,21063,74329,-81154,90802,-73302,421877,-306581,215882,-67226,25333,5237706,-12722153,-4449182,863877,-1823659
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154346,55768,277544,105439,54806,45001,19766,37988,15016,13472,34535,108864,27710,118512,45210,467087,160506,376388,309162,334495,13496379,774226,4917762,5781639,3957980
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,100000,100000,400000,200000,200000,200000,173232,82637,55768,277544,105439,54806,45001,19766,37988,15016,13472,34535,108864,27710,118512,45210,467087,160506,376388,309162,8258673,13496379,9366944,4917762,5781639
100,Free Cash Flow,- -,- -,- -,- -,- -,4000000,2200000,3700000,-11600000,9900000,11600000,11851975,13334173,11958034,3659641,-1408846,-1513465,7841505,15466669,14773439,9091671,6144484,-170670,-1689950,-2721301,-5990397,-1164707,-1979521,-13728631,1588212,-9320100,-1954634,-7271768,-2227394,-4263356,-3257131
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100716/000010071698000004/0000100716-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071699000006/0000100716-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071600000002/0000100716-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071601000002/0000100716-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071602000002/0000100716-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071603000003/0000100716-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071604000002/0000100716-04-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071605000003/0000100716-05-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/100716/000010071608000003/form10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071609000002/0000100716-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071610000002/0000100716-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071611000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071612000004/0000100716-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071613000005/0000100716-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071614000005/form-10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071615000009/form-10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071616000037/0000100716-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071617000004/0000100716-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071618000013/0000100716-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071619000017/0000100716-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071620000021/0000100716-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071621000020/0000100716-21-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
