,https://roic.ai/company/TELL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,-955751,- -,-2426263,-2564501,-6750171,-5639435,-5998081,-5694201,-1765775,-2958545,-13455866,-6999735,-5687000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,1250602,2540151,2165021,5760239,5599328,5044574,1855609,4435820,3109611,17274309,6999735,5687000,- -,- -,21000,2595000,4592000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,3600000,2200000,- -,- -,900000,- -,-2200000,- -,- -,- -,-411231,- -,- -,-3225066,-3200816,-508287,-4861519,35235,27728,7204958,-8532328,35089000,- -,- -,-276000,2514000,-9000000,-9833000,-17857000,- -,-15208000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-3300000,-3100000,-4400000,-3900000,-6400000,-5600000,-7500000,-3300000,-4300000,-3468234,-1506206,-1637755,-3844639,-10713241,-8395477,-9531320,-18019572,-2150396,-2742880,-16656476,-13479952,35629000,-2925000,-2369000,-9328000,5108000,-95565000,-21687000,-65943000,-1307000,-57865000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-845147,-4589053,-6577000,-2479000,-1441000,- -,-195000,- -,- -,-2224000,-61877000,-121651000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,100000,200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,43500,35000,- -,201000,115000,- -,318204000,133800000,- -,103664000,421809000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94542,- -,- -,- -,- -,- -,- -,-259879,- -,- -,- -,-9333000,-11000,-566000,-11000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-800000,-700000,-1400000,-1700000,-1600000,-1800000,-1500000,-700000,-730709,-593034,-586379,-628209,-744971,-821732,- -,- -,- -,- -,- -,- -,- -,- -,-429000,-859000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-3200000,-100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,-179900,- -,- -,-765641,- -,- -,- -,570000,5107323,2614000,24169000,1000000,4514000,591000,-6535000,46955000,66068000,42740000,44804000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-3200000,-800000,-700000,-1400000,-1500000,-1500000,-1600000,-1400000,-600000,-730709,-593034,-680921,-808109,-744971,-821732,-765641,- -,- -,-259879,9724853,561770,-3928000,12357000,-680000,3204000,385000,311669000,180755000,63844000,84527000,344962000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,100000,-100000,-800000,300000,- -,- -,-400000,-2400000,900000,-1440130,- -,1298036,2755601,320046,1767769,-1319457,3333325,4083911,-6162679,2613893,4239819,-462000,-148000,113000,-661000,-116000,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,-600000,600000,2300000,- -,-500000,1000000,510135,945217,2992660,4256613,365156,1326755,149507,6587566,6144780,73614,-1097308,-13174909,20798000,-8746000,-16047000,-15371000,911000,106875000,55316000,-115107000,13255000,225537000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,8400000,9000000,11300000,- -,12400000,13400000,13890834,12792191,15784851,20041464,20406620,21733375,21882882,28470448,34615228,34688842,33591534,20416625,41215000,32469000,16422000,1051000,1680000,128273000,183589000,68482000,81737000,307274000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4200000,4800000,8000000,9000000,8400000,9000000,11300000,12900000,12400000,13380699,11846974,12792191,15784851,20041464,20406620,21733375,21882882,28470448,34615228,34688842,33591534,20417000,41215000,32469000,16422000,769000,21398000,128273000,183589000,68482000,81737000
100,Free Cash Flow,- -,- -,- -,- -,- -,100000,1800000,2600000,500000,1300000,3600000,5900000,3500000,300000,3636725,698880,2261657,2708601,5005079,3621641,3696399,12042784,-644411,6317378,-3713219,-9444170,-20018000,-20955000,-32622000,-17659000,-4287000,-200442000,-115606000,-161094000,-71272000,-104217000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139895000005/0000061398-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139896000007/0000061398-96-000007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139802000010/0000061398-02-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000095012306012065/y25454e10vk.htm,https://www.sec.gov/Archives/edgar/data/61398/000095012307013563/y40156e10vk.htm,https://www.sec.gov/Archives/edgar/data/61398/000095012308011411/0000950123-08-011411-index.html,- -,https://www.sec.gov/Archives/edgar/data/61398/000119312510218768/0001193125-10-218768-index.html,https://www.sec.gov/Archives/edgar/data/61398/000119312511252439/0001193125-11-252439-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139812000037/0000061398-12-000037-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139813000062/0000061398-13-000062-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139814000039/0000061398-14-000039-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139815000033/mpet2015-06x30doc10k.htm,https://www.sec.gov/Archives/edgar/data/61398/000006139816000098/0000061398-16-000098-index.html,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139819000009/0000061398-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139820000002/0000061398-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139821000010/0000061398-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/61398/000006139822000021/0000061398-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
