,https://roic.ai/company/BSX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,-3500000,1700000,-12800000,-21700000,-157000000,-281500000,-38900000,-2400000,18000000,-46000000,5000000,-200000000,-502000000,-356000000,-137000000,18000000,-91000000,151000000,-45000000,-1000000,16000000,16000000,53000000,- -,- -,29000000,- -,15000000,60000000,99000000,95000000
89,Cash Used for Investing Activites,-10800000,-50500000,-49000000,-43500000,-164000000,-398200000,-251000000,-2224800000,-185000000,-107000000,-800000000,-468000000,-871000000,-1622000000,-551000000,-9312000000,-474000000,324000000,-793000000,-480000000,769000000,-579000000,-475000000,-745000000,-2186000000,-887000000,-1010000000,-1921000000,-5041000000,-411000000,-1597000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1425000000,-2825000000,-1700000000,-1815000000,-390000000,-1790000000,-810000000,-1715000000,-820000000,-3216000000,-1171000000,-4560000000,-6843000000,- -
91,Common Stock Issued,- -,121900000,400000,16000000,32000000,71600000,96200000,99800000,704000000,29000000,42000000,107000000,260000000,225000000,94000000,1545000000,132000000,71000000,33000000,31000000,21000000,21000000,74000000,60000000,114000000,111000000,85000000,101000000,123000000,975000000,- -
92,Common Stock Repurchased,- -,- -,-57400000,- -,- -,-49800000,-186700000,- -,-127000000,-222000000,- -,- -,-570000000,-360000000,-734000000,- -,-60000000,- -,- -,- -,-492000000,-600000000,-500000000,-125000000,- -,- -,- -,- -,- -,-535000000,- -
93,Dividends Paid,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000,-55000000
94,Other Financing Activites,-13200000,-4000000,6000000,-10900000,-26000000,185900000,252400000,1877600000,-1121000000,-445000000,395000000,-282000000,797000000,574000000,-314000000,6894000000,-752000000,4000000,1972000000,1173000000,565000000,225000000,1620000000,725000000,2923000000,503000000,3241000000,2502000000,7410000000,6724000000,-40000000
95,Cash Used/Provided by Financing Activities,-13200000,97900000,-51000000,5100000,6000000,207700000,161900000,1977400000,-544000000,-638000000,437000000,-175000000,487000000,439000000,-954000000,8439000000,-680000000,-1350000000,-820000000,-496000000,-1721000000,-744000000,-596000000,-150000000,1322000000,-206000000,110000000,1432000000,2973000000,293000000,-95000000
96,Effect of Forex Changes on Cash,- -,-500000,-300000,-100000,-5000000,-2600000,-5600000,1300000,-4000000,-4000000,-1000000,4000000,8000000,4000000,-5000000,7000000,4000000,-1000000,1000000,- -,-2000000,3000000,-1000000,-4000000,-4000000,-2000000,4000000,-8000000,10000000,-2000000,-6000000
97,Net Change In Cash,- -,- -,- -,- -,-139000000,- -,- -,- -,-6000000,-10000000,126000000,97000000,411000000,625000000,-607000000,979000000,-216000000,189000000,-777000000,-651000000,54000000,-60000000,10000000,370000000,-268000000,-123000000,530000000,-188000000,-222000000,1388000000,173000000
98,Cash at the End of Period,- -,- -,- -,- -,115000000,- -,- -,- -,64000000,54000000,180000000,277000000,671000000,1296000000,689000000,1668000000,1452000000,1641000000,864000000,213000000,267000000,207000000,217000000,587000000,319000000,196000000,1017000000,829000000,607000000,1995000000,2168000000
99,Cash at the Beginning of Period,300000,5900000,95400000,60800000,254000000,117300000,72200000,58000000,70000000,64000000,54000000,180000000,260000000,671000000,1296000000,689000000,1668000000,1452000000,1641000000,864000000,213000000,267000000,207000000,217000000,587000000,319000000,487000000,1017000000,829000000,607000000,1995000000
100,Free Cash Flow,22300000,32100000,30000000,32000000,-44000000,-1000000,-157700000,-1975500000,647000000,663000000,369000000,624000000,599000000,1530000000,562000000,1504000000,571000000,854000000,473000000,47000000,704000000,1034000000,837000000,1010000000,353000000,596000000,1107000000,-6000000,1375000000,1132000000,1316000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885725/000104746906002665/a2167817z10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261307000570/form10-k_14949.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261308000584/form10-k_15759.htm,https://www.sec.gov/Archives/edgar/data/885725/000107261309000419/0001072613-09-000419-index.html,https://www.sec.gov/Archives/edgar/data/885725/000095012310017254/0000950123-10-017254-index.html,https://www.sec.gov/Archives/edgar/data/885725/000095012311015112/b83548e10vk.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572512000006/0000885725-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572513000007/0000885725-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572514000005/a2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572515000006/a2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/0000885725-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572517000006/0000885725-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572518000010/0000885725-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572519000011/0000885725-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572520000012/0000885725-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/885725/000088572521000008/0000885725-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/885725/000088572522000006/0000885725-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
