,https://roic.ai/company/GPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8578000,7016000,7547000,10747000,12648000,16239000,17717000,19719000,16892000,20716000,32050000,22621000,25597000
77,Change in Working Capital,- -,- -,- -,- -,-34400000,- -,- -,- -,- -,1173400000,115100000,80700000,167500000,328300000,114200000,51968000,195863000,39026000,134638000,100074000,57009000,78581000,-131323000,79281000,40227000,-181471000,321450000,-432030000,-294046000,-30037000,-393748000,89619000,134587000,-163911000,-130461000,-324817000,-11324000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69258000,-140562000,-85011000,13365000,-116080000,-225178000,1974000,-53544000,-19273000,-72041000,-116145000,957514000,-258994000
79,Inventory,- -,- -,- -,- -,-37400000,-54300000,-25900000,-63700000,-91500000,-125400000,-122900000,-106400000,-87800000,-107300000,-28700000,-84508000,-45063000,-243005000,20232000,-28406000,-19869000,-7240000,-42087000,-20709000,194743000,44865000,-19624000,-25845000,-79253000,-100820000,-21821000,-64214000,-9923000,-73173000,-66202000,58462000,-329237000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49947000,280739000,85766000,220694000,473424000,292257000,331419000,240717000,61474000,364639000,70679000,89350000,777318000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1173400000,1288500000,1369200000,1536700000,1865000000,1979200000,2031168000,2227031000,2266057000,2400695000,2500769000,2557778000,2636359000,2505036000,2584317000,2624544000,2443073000,2764523000,2332493000,2038447000,2008410000,1614662000,1704281000,1838868000,1674957000,1544496000,1219679000,-200411000
82,Other Non-Cash Items,- -,- -,- -,- -,-2800000,-85600000,-23700000,-86100000,-97600000,-1307000000,-321100000,-147100000,-332000000,-479500000,-227900000,-208455000,-223947000,146826000,-162921000,-22267000,-163390000,-188428000,186819000,-73064000,278608000,276281000,-355785000,566546000,540835000,-109975000,652513000,-31213000,-186874000,232359000,169980000,2105739000,22575000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,185900000,158700000,218100000,168600000,200600000,199000000,158700000,328000000,250600000,284300000,366200000,314425000,333152000,272408000,402185000,555236000,440517000,433500000,641471000,530309000,845298000,678663000,624927000,906438000,1056731000,790145000,1159373000,946078000,815043000,1145164000,892010000,2019561000,1258285000
84,CAPEX,- -,- -,- -,- -,-53200000,-44500000,-27900000,-31200000,-57500000,-66000000,-90800000,-95200000,-90400000,-399200000,-177600000,-71129000,-41944000,-64758000,-73904000,-72077000,-85714000,-126044000,-115648000,-105026000,-142259000,-85379000,-103469000,-101987000,-124063000,-107681000,-109544000,-160643000,-156760000,-232422000,-297869000,-153502000,-266136000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46226000,-16358000,-6042000,-14990000,-3018000,-27518000,-29007000,-39606000,-121029000,-134203000,-90645000,-136936000,-558384000,-712173000,-287900000,-162701000,-462167000,-1494795000,-278367000,-290109000,318206000,-266577000
86,Purchases of Investments,- -,- -,- -,- -,-18000000,-8000000,-10600000,-12000000,-64600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2600000,24000000,5900000,17700000,12000000,64600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-22700000,2400000,-10100000,-34300000,-8100000,-32200000,-13300000,-18900000,-12400000,73600000,15100000,10605000,5261000,10137000,13619000,7140000,43058000,9452000,67656000,11721000,12042000,3676000,8908000,8504000,10657000,8866000,8618000,28811000,21275000,14665000,24772000,6933000,26549000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-91300000,-26100000,-42700000,-59800000,-118200000,-33600000,-104100000,-114100000,-102800000,-325600000,-162500000,-106750000,-53041000,-60663000,-75275000,-67955000,-70174000,-145599000,-87598000,-214334000,-264420000,-172348000,-231497000,-651867000,-825579000,-386715000,-263627000,-593999000,-1630280000,-496124000,-563206000,171637000,-506164000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-847000000,- -,-250000000,-750000000,-2995335000,-2735862000,-4005191000,-4100000000,-5183997000,-5124265000,-4897769000,-3533017000,-1053423000
91,Common Stock Issued,- -,- -,- -,- -,2100000,300000,900000,3400000,2800000,4400000,4100000,7900000,12900000,5700000,6500000,8000,14401000,36009000,4601000,37523000,17725000,8677000,10530000,821000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-39200000,-4400000,- -,- -,-70300000,-40200000,-94700000,-76800000,-76300000,-111100000,-117815000,-12658000,-11615000,-17709000,-21475000,-119239000,-123478000,-241220000,-273000000,-26019000,-75007000,-122078000,-81826000,-120673000,-95946000,-292275000,-181417000,-173524000,-91983000,-74187000,-96215000,-333599000
93,Dividends Paid,- -,- -,- -,- -,-89800000,-103200000,-109300000,-113500000,-129800000,-140300000,-151300000,-160200000,-169200000,-178000000,-184200000,-189995000,-195022000,-201150000,-204556000,-208575000,-215868000,-228052000,-243244000,-251808000,-253558000,-257898000,-276369000,-300983000,-326217000,-347271000,-368284000,-386863000,-395475000,-415983000,-438890000,-453277000,-465649000
94,Other Financing Activites,- -,- -,- -,- -,24900000,-100000,-26600000,-5200000,-100000,- -,94700000,56200000,90700000,302100000,45800000,82219000,-28303000,-101069000,-112976000,-176801000,-87000,2124000,4438000,51414000,796194000,12336000,254307000,753975000,3017108000,2723639000,3859676000,4345874000,6625055000,5023401000,5024884000,2568744000,863139000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-62800000,-142200000,-139400000,-115300000,-127100000,-206200000,-92700000,-190800000,-142400000,53500000,-243000000,-225583000,-221582000,-277825000,-330640000,-369328000,-317469000,-340729000,-469496000,-472573000,-330383000,-320569000,-394140000,-378834000,-425117000,-455440000,-806074000,-322406000,872059000,-608830000,-385962000,-1513765000,-989532000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-89000,-497000,305000,-872000,1594000,1097000,-110000,11487000,-7462000,18531000,7419000,-4204000,2304000,-12237000,-7153000,-15771000,1575000,15198000,-21562000,603000,35741000,-38054000
97,Net Change In Cash,- -,- -,- -,- -,-62800000,-142200000,-139400000,-115300000,-127100000,- -,- -,- -,- -,- -,-39300000,-17997000,58032000,-65775000,-4602000,119547000,53971000,-52938000,95864000,-164060000,269026000,193165000,-4914000,-121959000,-206202000,-59163000,73901000,31248000,72020000,18648000,-56555000,713174000,-275465000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45700000,27738000,85770000,19995000,15393000,134940000,188911000,135973000,231837000,67777000,336803000,529968000,525054000,403095000,196893000,137730000,211631000,242879000,314899000,333547000,276992000,990166000,714701000
99,Cash at the Beginning of Period,- -,- -,- -,- -,109600000,141400000,131800000,167800000,168000000,123200000,82400000,44300000,67400000,72800000,85000000,45735000,27738000,85770000,19995000,15393000,134940000,188911000,135973000,231837000,67777000,336803000,529968000,525054000,403095000,196893000,137730000,211631000,242879000,314899000,333547000,276992000,990166000
100,Free Cash Flow,- -,- -,- -,- -,132700000,114200000,190200000,137400000,143100000,133000000,67900000,232800000,160200000,-114900000,188600000,243296000,291208000,207650000,328281000,483159000,354803000,307456000,525823000,425283000,703039000,593284000,521458000,804451000,932668000,682464000,1049829000,785435000,658283000,912742000,594141000,1866059000,992149000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014495000710/0000950144-95-000710-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014496001008/0000950144-96-001008-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014401003447/0000950144-01-003447-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014402002108/0000950144-02-002108-index.html,https://www.sec.gov/Archives/edgar/data/40987/000095014403003508/0000950144-03-003508-index.htm,- -,https://www.sec.gov/Archives/edgar/data/40987/000095014405002175/0000950144-05-002175-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014406001772/0000950144-06-001772-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014407001699/0000950144-07-001699-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014408001503/0000950144-08-001503-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095014409001684/0000950144-09-001684-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095012310017728/0000950123-10-017728-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000095012311018264/0000950123-11-018264-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312512079802/0001193125-12-079802-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312513076665/0001193125-13-076665-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312514071170/0001193125-14-071170-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312515064165/0001193125-15-064165-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000119312516479829/0001193125-16-479829-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098717000007/0000040987-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098718000002/0000040987-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098719000015/0000040987-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098720000010/0000040987-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098721000009/0000040987-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/40987/000004098722000013/0000040987-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
