,https://roic.ai/company/CAG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,231700000,311200000,372400000,270300000,437000000,496000000,189000000,615000000,613200000,358000000,382000000,639000000,783000000,775000000,811000000,642000000,534000000,765000000,931000000,978400000,726000000,817000000,468000000,774000000,721000000,-252600000,-677000000,639300000,808400000,678300000,840100000,1298800000
74,Depreciation and Amortization,- -,- -,- -,- -,129700000,250800000,319300000,277000000,294800000,375800000,407900000,413800000,446300000,499800000,536500000,592900000,623200000,396700000,352300000,350900000,311200000,346000000,296700000,318900000,326800000,360900000,371800000,445200000,602900000,592300000,373900000,268000000,257000000,333000000,388900000,387700000
75,Deferred Income Tax,- -,- -,- -,- -,-5200000,102700000,29500000,4800000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46200000,55800000,44800000,41800000,67400000,60200000,68300000,45100000,36100000,37900000,33700000,59200000,63900000
77,Change in Working Capital,- -,- -,- -,- -,-61400000,-124800000,34400000,-75800000,175900000,785000000,-802000000,-158000000,202200000,-147200000,208000000,-51000000,1694000000,136000000,-113000000,-9000000,-310000000,500000000,106000000,-669100000,162100000,-151000000,-779000000,-15000000,610000000,-1231500000,686800000,-751600000,-690000000,988500000,-992700000,-202600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75400000,-85600000,2800000,-4300000,-73100000,63300000,93800000,-171900000,104700000,-4700000,-69100000,-43800000,- -
79,Inventory,- -,- -,- -,- -,-187200000,252500000,-222800000,13700000,-362000000,-235100000,-537900000,326800000,-273600000,-68000000,-325300000,-597300000,658400000,-127100000,-173500000,-105000000,3600000,-223300000,-256500000,-89500000,202300000,-190700000,14900000,21100000,49400000,-119800000,55400000,123300000,-62800000,78000000,163500000,-364300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,73800000,185000000,82100000,6900000,-5200000,-15900000,-111000000,71000000,144900000,38200000,234400000,141400000
81,Other Working Capital,- -,- -,- -,- -,380300000,255500000,289900000,214100000,390000000,1175000000,373000000,215000000,417200000,270000000,478000000,427000000,2121000000,2257000000,2144000000,2135000000,1825000000,2325000000,2431000000,1761900000,1924000000,1773000000,994000000,979000000,1589000000,357500000,1044300000,292700000,-397300000,591200000,-401500000,-604100000
82,Other Non-Cash Items,- -,- -,- -,- -,21800000,151900000,23100000,345800000,-217200000,-1021700000,1367000000,67400000,-685600000,468900000,-435500000,-1056300000,-750700000,-574800000,-481100000,281000000,532100000,-667600000,-1231600000,-550400000,202000000,280600000,949400000,140600000,-442900000,2304100000,778600000,983700000,540900000,-908000000,1547100000,-79700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,316600000,691800000,778700000,822100000,691000000,635100000,1161900000,938200000,576100000,1179500000,691000000,124600000,2349500000,732900000,569200000,1264900000,1067300000,943400000,102100000,124000000,1472700000,1352300000,1052000000,1412200000,1551200000,1480600000,1207400000,1175500000,954200000,1125500000,1842600000,1468100000
84,CAPEX,- -,- -,- -,- -,-196300000,-331800000,-369600000,-341000000,-395000000,-427800000,-668500000,-670000000,-602800000,-1084200000,-539300000,-559700000,-530600000,-390400000,-352100000,-453400000,-263400000,-518200000,-489800000,-441900000,-482900000,-466200000,-399200000,-463500000,-603400000,-471900000,-440200000,-242100000,-251600000,-353100000,-369500000,-506400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-390100000,-1107200000,-110000000,- -,- -,- -,500700000,73600000,-255200000,-84200000,-84800000,-149100000,-635200000,-5020300000,-39900000,295700000,- -,163300000,-337100000,-4837700000,194600000,160900000
86,Purchases of Investments,- -,- -,- -,- -,-24700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3958100000,-1351000000,- -,- -,- -,-39600000,- -,- -,- -,- -,- -,- -,-61000000,-46800000,-11800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229500000,12200000,4078400000,1352000000,29700000,91900000,412500000,- -,- -,- -,- -,- -,- -,- -,52200000,53800000,14500000
88,Other Investing Activites,- -,- -,- -,- -,-15500000,-724700000,73200000,-209400000,-24400000,-267400000,65100000,-210700000,219300000,74000000,118000000,98800000,54800000,957500000,1068500000,368700000,447300000,847200000,100200000,2287600000,120500000,291700000,-52800000,13200000,128200000,134600000,2557200000,-110500000,12500000,33600000,14100000,2500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-236500000,-1056500000,-296400000,-550400000,-419400000,-695200000,-603400000,-880700000,-383500000,-1010200000,-811400000,-1568100000,-585800000,567100000,716400000,144800000,696800000,522900000,-643800000,1791200000,-355300000,88900000,-1064300000,-5465800000,-514100000,-41600000,2127400000,-189300000,-576200000,-5166000000,-153800000,-340300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1593900000,-15800000,-294300000,-363600000,-2074000000,-569200000,-1495200000,-2525000000,-1064500000,-242300000,-3972700000,-947500000,-2813100000
91,Common Stock Issued,- -,- -,- -,- -,6600000,160000000,22000000,16100000,109000000,457900000,21800000,17300000,43600000,7100000,- -,- -,- -,- -,118000000,103800000,18900000,63800000,37500000,- -,- -,- -,- -,269200000,- -,- -,8600000,- -,- -,555700000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-68000000,-3700000,-2000000,- -,-105400000,-117700000,-664000000,-259700000,-148300000,-31000000,- -,- -,- -,- -,-418600000,-181400000,-197100000,-614800000,-188000000,-900000000,-100000000,-825000000,-352400000,-245000000,-100000000,-50000000,- -,-1000000000,-967300000,- -,- -,-298100000
93,Dividends Paid,- -,- -,- -,- -,-69800000,-99300000,-135500000,-158600000,-176000000,-199600000,-215500000,-229900000,-263200000,-312400000,-375000000,-452400000,-482900000,-509200000,-536700000,-550300000,-565300000,-366700000,-362300000,-348200000,-346700000,-374500000,-388600000,-400700000,-420900000,-425200000,-432500000,-415000000,-342300000,-356200000,-413600000,-474600000
94,Other Financing Activites,- -,- -,- -,- -,-208800000,902900000,-733900000,-227000000,-189800000,-186900000,352900000,406900000,164700000,121400000,590200000,1936400000,-1321000000,-320100000,-488200000,-1182800000,-896600000,-145000000,491000000,1015100000,58000000,61700000,255000000,6583500000,56000000,540200000,267500000,910400000,1045000000,7923000000,-9300000,1976200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-340000000,959900000,-849400000,-369500000,-362200000,-46300000,-504800000,-65400000,-203200000,-214900000,215200000,1484000000,-1803900000,-829300000,-1325500000,-1810700000,-1640100000,-1062700000,-21800000,-1827000000,-404500000,-1432100000,-849600000,4133000000,-1034100000,-1430200000,-2681400000,-1569100000,-506900000,4149800000,-1370400000,-1609600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16700000,-2900000,10100000,-7500000,1500000,-3800000,-8800000,-2000000,-200000,5500000,-700000,-1700000,7700000
97,Net Change In Cash,- -,- -,- -,- -,-340000000,959900000,-849400000,-369500000,-362200000,-46300000,53700000,-7900000,-10600000,-45600000,94800000,40500000,-40200000,470700000,-39900000,-401000000,124000000,403600000,-563500000,71500000,710000000,19200000,-869400000,80900000,-800000,41800000,669800000,-546700000,-123400000,108600000,316700000,-474100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113700000,105800000,95200000,62800000,157600000,198100000,157900000,628600000,588700000,207600000,331600000,735200000,140900000,243200000,953200000,972400000,103000000,183900000,183100000,183100000,834500000,251400000,128000000,237600000,554300000,80200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,380400000,120500000,721900000,354800000,257000000,166400000,60000000,113700000,105800000,108400000,62800000,157600000,198100000,157900000,628600000,608600000,207600000,331600000,704400000,171700000,243200000,953200000,972400000,103000000,183900000,141300000,164700000,798100000,251400000,129000000,237600000,554300000
100,Free Cash Flow,- -,- -,- -,- -,120300000,360000000,409100000,481100000,296000000,207300000,493400000,268200000,-26700000,95300000,151700000,-435100000,1818900000,342500000,217100000,811500000,803900000,425200000,-387700000,-317900000,989800000,886100000,652800000,948700000,947800000,1008700000,767200000,933400000,702600000,772400000,1473100000,961700000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23217/000002321794000020/0000023217-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/23217/000002321795000021/0000023217-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/23217/000002321796000029/0000023217-96-000029-index.html,https://www.sec.gov/Archives/edgar/data/23217/000091205797028887/0000912057-97-028887-index.html,https://www.sec.gov/Archives/edgar/data/23217/000104746998033094/0001047469-98-033094-index.html,- -,https://www.sec.gov/Archives/edgar/data/23217/000091205700039144/0000912057-00-039144-index.html,- -,https://www.sec.gov/Archives/edgar/data/23217/000091205702033303/0000912057-02-033303-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465903017219/0001104659-03-017219-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465904022554/0001104659-04-022554-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465905038863/0001104659-05-038863-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000110465906049523/0001104659-06-049523-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312507161690/0001193125-07-161690-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312508156175/0001193125-08-156175-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012309025102/0000950123-09-025102-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012310067148/0000950123-10-067148-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012311066520/0000950123-11-066520-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312512308387/0001193125-12-308387-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000144530513001653/0001445305-13-001653-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321714000009/0000023217-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828015005333/0001628280-15-005333-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/0001628280-16-017613-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/0001628280-17-007184-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/0000023217-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/0000023217-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/0001564590-20-033366-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459021037738/0001564590-21-037738-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
