,https://roic.ai/company/WFRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,1600000,49800000,-15600000,-11100000,3300000,-14000000,-4700000,220300000,-382600000,147300000,186900000,202510000,-176768000,-24346000,-12986000,20739000,-13973000,39860000,35397000,284206000,-34210000,17863000,-23000000,-9000000,-1584000000,-1452000000,-690000000,-126000000,-484000000,-139000000,-179000000,-136000000,-83000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10300000,12900000,-40000000,-33500000,-11600000,-33600000,-37400000,131300000,-421800000,-218100000,-90400000,-215074000,-939354000,-404787000,-377015000,-105289000,-1254908000,-1242499000,-2233048000,-3010055000,-1516936000,-907715000,-1674000000,-2306000000,-1104000000,330000000,-659000000,-137000000,-62000000,122000000,149000000,-75000000,-83000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20541000,-406634000,-721005000,-216000000,-310000000,-603000000,-259000000,-474000000,-1963000000,-69000000,-502000000,-2194000000,-36000000,-2448000000
91,Common Stock Issued,- -,- -,- -,- -,400000,200000,17400000,- -,200000,- -,72900000,103100000,- -,3900000,1300000,6663000,13227000,34410000,413972000,129549000,191127000,55438000,34192000,- -,- -,- -,- -,- -,- -,22000000,- -,1071000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-400000,- -,- -,- -,-40400000,-4200000,-2121000,-2000000,-2703000,-2619000,-1236000,- -,-548575000,-246190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-300000,10400000,4800000,28900000,18800000,37400000,-12400000,-16100000,243000000,93900000,41300000,188639000,611686000,62249000,-316715000,-267922000,378982000,638249000,1613627000,1998072000,1312789000,683157000,1012000000,1322000000,609000000,-943000000,486000000,1963000000,89000000,670000000,2943000000,384000000,2045000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,100000,7900000,22200000,28900000,18400000,37000000,60500000,87000000,243000000,57400000,38400000,193181000,622913000,93956000,94638000,-139609000,570109000,145112000,1401629000,1977531000,906155000,-37848000,796000000,1012000000,6000000,-1180000000,12000000,1071000000,20000000,168000000,749000000,348000000,-403000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,200000,-500000,-300000,100000,- -,- -,-1200000,-900000,-1163000,2497000,1019000,4220000,2776000,-1489000,2410000,3340000,-4360000,10580000,-19197000,- -,2000000,4000000,-74000000,-66000000,-50000000,6000000,-59000000,1000000,2000000,-8000000
97,Net Change In Cash,- -,- -,- -,- -,100000,7900000,22200000,28900000,18400000,-1700000,1400000,87000000,243000000,57400000,10300000,109447000,-64976000,-39995000,7245000,261357000,-183194000,-7958000,44427000,67684000,14121000,163253000,-45000000,-71000000,135000000,39000000,-7000000,570000000,-424000000,-11000000,152000000,485000000,-172000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,4500000,- -,- -,- -,44400000,153808000,88832000,48837000,56082000,317439000,134245000,126287000,170714000,238398000,252519000,415772000,371000000,300000000,435000000,474000000,467000000,1037000000,613000000,602000000,754000000,1285000000,1113000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,17600000,11900000,33200000,6700000,4000000,4800000,3100000,2900000,224000000,74200000,34100000,44361000,153808000,88832000,48837000,56082000,317439000,134245000,126287000,170714000,238398000,252519000,416000000,371000000,300000000,435000000,474000000,467000000,1037000000,613000000,602000000,800000000,1285000000
100,Free Cash Flow,- -,- -,- -,- -,-10600000,-38800000,-33200000,-20600000,-20500000,-24400000,-54600000,-86200000,-75900000,-216800000,-214300000,-134057000,-90457000,1130000,-17100000,192611000,-23524000,-15266000,-785570000,-1403674000,-989365000,127492000,-699000000,-973000000,-355000000,-492000000,16000000,-528000000,-628000000,-456000000,-1010000000,52000000,237000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1603923/000160392321000013/0001603923-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1603923/000160392322000051/0001603923-22-000051-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
