,https://roic.ai/company/AGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,270700000,- -,-3773000,68851000,2733000,70152000,-8317000,151428000,15039000,-262142000,-188367000,-8567000,-4772000,6433000,7613000,-14708000,-1027000000,-1582000000,-2343000000,-1660000000,-2643000000,-2723000000,-2667000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000000,-59400000,-118300000,-68000000,-29500000,152800000,-98784000,-75300000,58534000,-49576000,1547000,-62936000,56164000,-233163000,-261969000,-187382000,-1075049000,-326033000,-306259000,-299201000,-335298000,-1518000000,-1527000000,-2341000000,-1564000000,-2713000000,-2858000000,-2440000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129286000,-203286000,-59826000,-146573000,-109955000,-41455000,-11455000,-153000000,-367000000,-338000000,-230000000,-373000000,-1020000000,-3310000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,400000,- -,- -,4900000,1200000,517000,1711000,6132000,2099000,7684000,3051000,16457000,1324000,2652000,92225000,502220000,200000,1943000,206516000,- -,- -,- -,- -,- -,- -,- -,3998000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15900000,-34200000,-6100000,-6500000,-100000,-4400000,-40517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-4000000,-6000000,- -,-3000000,-33000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42200000,-41500000,-40800000,-40600000,-40500000,-40600000,- -,-40576000,-40917000,-41137000,-41347000,-41894000,-52922000,-32457000,-43463000,-47678000,-51836000,-87274000,-87490000,-87602000,-97708000,- -,-401000000,-535000000,-537000000,-545000000,-545000000,-613000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52700000,-33200000,21700000,-27700000,24600000,-263600000,16583000,-4126000,-175165000,10183000,-59066000,9998000,-32122000,111083000,282723000,181553000,551404000,277536000,154678000,-52170000,88705000,255000000,403000000,1405000000,543000000,2179000000,4421000000,847000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110700000,-108500000,-25200000,-74800000,-11100000,-307400000,-23417000,-42991000,-209950000,-28855000,-92729000,-28845000,-68587000,79950000,112626000,22814000,941962000,43889000,-40824000,25289000,-20458000,102000000,-372000000,528000000,-230000000,1261000000,2853000000,889000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36800000,-6300000,1300000,25600000,69400000,-56200000,-20883000,38657000,-19098000,9704000,11551000,-11305000,34710000,-48594000,-7040000,7539000,75012000,-59282000,-13142000,51296000,46426000,-55000000,-338000000,-50000000,-3000000,141000000,1283000000,10000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,5100000,6400000,32000000,101400000,68300000,47439000,86096000,66998000,28614000,40165000,28860000,63364000,14770000,7730000,15269000,90281000,30999000,17857000,69153000,115579000,427000000,96000000,46000000,43000000,184000000,1467000000,1477000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,48200000,11400000,5100000,6400000,32000000,124500000,68322000,47439000,86096000,18910000,28614000,40165000,28654000,63364000,14770000,7730000,15269000,90281000,30999000,17857000,69153000,482000000,434000000,96000000,46000000,43000000,184000000,1467000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,102100000,97600000,135000000,72100000,63700000,47127000,109578000,75013000,35826000,53781000,25857000,-29641000,-143583000,-73425000,48533000,4569000,-105217000,45308000,20030000,90029000,279000000,-146000000,-653000000,4000000,-1147000000,-1493000000,-1415000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1634997/000156459016015808/0001564590-16-015808-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000156459017004016/0001564590-17-004016-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000156459018006767/0001564590-18-006767-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499719000009/0001634997-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499720000017/0001634997-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1634997/000163499721000024/0001634997-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1634997/000163499722000013/0001634997-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
