,https://roic.ai/company/ASH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,17700000,-134100000,89900000,809500000,-515800000,-181900000,64000000,180000000,161000000,134000000,-426000000,257000000,-193000000,294000000,-8000000,-392000000,-3377000000,-169000000,-105000000,436000000,1499000000,-381000000,-929000000,376000000,-449000000,-451000000,-215000000,498000000,788000000,238000000,-633000000,435000000,27000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,84900000,371100000,473200000,398200000,249600000,454000000,500000000,767000000,1288000000,311000000,390000000,444000000,915000000,210000000,529000000,190000000,10000000,345000000,195000000,470000000,1025000000,517000000,245000000,354000000,733000000,643000000,334000000,663000000,365000000,297000000,241000000,203000000,560000000
84,CAPEX,- -,- -,- -,- -,-457300000,-554700000,-445400000,-504400000,-432300000,-376000000,-444000000,-510000000,-431000000,-468000000,-320000000,-232000000,-205000000,-185000000,-110000000,-210000000,-380000000,-175000000,-154000000,-205000000,-174000000,-206000000,-201000000,-298000000,-314000000,-248000000,-265000000,-300000000,-199000000,-185000000,-154000000,-138000000,-105000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-590000000,-91000000,-15000000,-5000000,-5000000,-156000000,-183000000,-75000000,-103000000,-1966000000,41000000,-1926000000,41000000,-11000000,92000000,148000000,-67000000,-662000000,-5000000,-2000000,9000000,-295000000
86,Purchases of Investments,- -,- -,- -,- -,-33600000,-174400000,-327400000,-465300000,-451400000,-335000000,-725000000,-455000000,-248000000,-215000000,-235000000,- -,- -,- -,- -,- -,-402000000,-824000000,-484000000,-435000000,- -,- -,- -,- -,- -,-15000000,-322000000,-15000000,-22000000,-29000000,-350000000,-27000000,-149000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,164700000,306000000,433200000,440200000,335000000,704000000,491000000,216000000,308000000,311000000,- -,- -,- -,- -,- -,1000000,876000000,680000000,315000000,73000000,150000000,11000000,10000000,- -,- -,333000000,19000000,24000000,27000000,354000000,29000000,150000000
88,Other Investing Activites,- -,- -,- -,- -,71700000,99600000,-39600000,-39900000,137600000,20000000,-316000000,-89000000,-96000000,-210000000,46000000,121000000,22000000,26000000,18000000,74000000,3325000000,20000000,23000000,10000000,-48000000,18000000,14000000,6000000,5000000,3000000,-311000000,31000000,30000000,-10000000,34000000,37000000,18000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-419200000,-464800000,-506400000,-576400000,-305900000,-356000000,-781000000,-563000000,-559000000,-585000000,-198000000,-701000000,-274000000,-174000000,-97000000,-141000000,2388000000,-286000000,-10000000,-418000000,-2115000000,3000000,-2102000000,-241000000,-320000000,-168000000,-417000000,-332000000,-829000000,-202000000,-118000000,-90000000,-381000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1881000000,-793000000,-1513000000,-762000000,-2649000000,-11000000,-635000000,-1595000000,-932000000,-311000000,-797000000,-826000000,-427000000
91,Common Stock Issued,- -,- -,- -,- -,900000,500000,400000,1800000,294700000,17000000,55000000,16000000,35000000,10000000,154000000,5000000,15000000,11000000,2000000,108000000,115000000,18000000,19000000,3000000,- -,- -,- -,- -,- -,- -,- -,712000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-28700000,-12800000,-4400000,- -,- -,- -,- -,- -,- -,-46000000,-228000000,-89000000,-49000000,-42000000,- -,- -,-100000000,-405000000,-288000000,- -,- -,- -,-71000000,- -,-150000000,-954000000,-397000000,-500000000,- -,- -,-200000000,- -,-450000000
93,Dividends Paid,- -,- -,- -,- -,-58400000,-58100000,-58200000,-59900000,-65900000,-79000000,-92000000,-93000000,-97000000,-84000000,-81000000,-78000000,-76000000,-76000000,-75000000,-77000000,-79000000,-78000000,-743000000,-69000000,-22000000,-35000000,-51000000,-63000000,-88000000,-103000000,-98000000,-97000000,-77000000,-60000000,-64000000,-66000000,-70000000
94,Other Financing Activites,- -,- -,- -,- -,350800000,174600000,85600000,218800000,-184800000,-37000000,330000000,-102000000,-503000000,178000000,39000000,376000000,-362000000,-75000000,-226000000,-60000000,-1592000000,-7000000,-4000000,-4000000,2476000000,393000000,2847000000,508000000,2295000000,34000000,1100000000,1086000000,1146000000,3000000,-88000000,901000000,521000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,264600000,104200000,23400000,160700000,44000000,-99000000,293000000,-179000000,-565000000,58000000,-116000000,214000000,-472000000,-182000000,-299000000,-29000000,-1656000000,-472000000,-1016000000,-70000000,573000000,-435000000,1212000000,-317000000,-592000000,-1034000000,-30000000,-394000000,137000000,-368000000,-1149000000,9000000,-426000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,-17000000,-10000000,10000000,-9000000,2000000,-2000000,-47000000,-6000000,-5000000,1000000,-3000000,2000000,3000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,-43000000,169000000,-146000000,133000000,20000000,742000000,835000000,-923000000,-11000000,-534000000,65000000,320000000,-214000000,-177000000,1047000000,-136000000,-69000000,-451000000,-272000000,-62000000,222000000,-244000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,67000000,236000000,90000000,223000000,243000000,985000000,1820000000,897000000,886000000,352000000,417000000,737000000,523000000,346000000,1393000000,1257000000,1188000000,566000000,294000000,232000000,454000000,210000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,139700000,70200000,80600000,70700000,53300000,41000000,40000000,52000000,104000000,250000000,34000000,110000000,67000000,236000000,90000000,223000000,243000000,985000000,1820000000,897000000,886000000,352000000,417000000,737000000,523000000,346000000,1393000000,1257000000,1017000000,566000000,294000000,232000000,454000000
100,Free Cash Flow,- -,- -,- -,- -,-372400000,-183600000,27800000,-106200000,-182700000,78000000,56000000,257000000,857000000,-157000000,70000000,212000000,710000000,25000000,419000000,-20000000,-370000000,170000000,41000000,265000000,851000000,311000000,44000000,56000000,419000000,395000000,69000000,363000000,166000000,112000000,87000000,65000000,455000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674862/000167486216000008/0001674862-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1674862/000167486217000090/0001674862-17-000090-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459018029786/0001564590-18-029786-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459019044315/0001564590-19-044315-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459020054890/0001564590-20-054890-index.htm,https://www.sec.gov/Archives/edgar/data/1674862/000095017021004843/0000950170-21-004843-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
