,https://roic.ai/company/KT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,-3401067614502,-505000000000,-147000000000,-13190766468,-361039651170,-348191948304,-73807000000,-528143000000,-300000000,- -,- -,- -,- -,- -,- -,- -,-24415000000,- -,-114683000000,-193626000000
93,Dividends Paid,-81316098596,-67723669234,-94816687500,-161629435350,-224911031952,-223750000000,-660000000000,-675826921387,-406457907042,-473041199505,-409270000000,-229360000000,-502185000000,-586150000000,-486602000000,-511275000000,-222773000000,-41575000000,-184099000000,-243140000000,-298632000000,-305159000000,-310567000000,-350334000000
94,Other Financing Activites,1120329023142,-912231029565,2959544872500,917214194100,2781850532862,-1447500000000,704000000000,-3554611772979,-1537745049885,-547786518015,4124257000000,2763435000000,373505000000,7427377000000,3976682000000,6162662000000,10069794000000,5671931000000,1085359000000,731550000000,1477988000000,1918249000000,1852803000000,2896418000000
95,Cash Used/Provided by Financing Activities,1042068153684,578142694715,2864728185000,755584758750,-844128113592,-2135000000000,-103000000000,-3685819927316,-2305242608097,-1369019665824,1051350000000,-930446000000,-128980000000,768472000000,-1266474000000,-311794000000,1071691000000,-1163996000000,-943271000000,-1363499000000,-531675000000,-249748000000,-647585000000,-41282000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1314060450,-118623962,- -,- -,- -,- -,109515917835,18721000000,-9167000000,-24336000000,12744000000,-1016000000,-3440000000,648000000,6700000000,-1674000000,-3134000000,581000000,-5481000000,-2042000000,1890000000
97,Net Change In Cash,-371680375519,150962627239,29077117500,467805520200,-82325029628,-342500000000,961000000000,-207055061528,268872526461,-443835206933,505933000000,-352796000000,-344774000000,283528000000,609527000000,13256000000,-182206000000,670801000000,340847000000,-972129000000,775240000000,-397528000000,328730000000,384968000000
98,Cash at the End of Period,644535839305,670668175926,701643487500,1169513800500,1086595491920,797500000000,1696000000000,1530228840337,1744167474522,1385768729530,1890918000000,1538122000000,1193348000000,1445169000000,2054696000000,2070869000000,1888663000000,2559464000000,2900311000000,1928182000000,2703422000000,2305894000000,2634624000000,3019592000000
99,Cash at the Beginning of Period,1016216214824,519705548687,672566370000,701708280300,1168920521548,1140000000000,735000000000,1737283901865,1475294948061,1829603936463,1384985000000,1890918000000,1538122000000,1161641000000,1445169000000,2057613000000,2070869000000,1888663000000,2559464000000,2900311000000,1928182000000,2703422000000,2305894000000,2634624000000
100,Free Cash Flow,-977673324160,-154133635163,-1931731980000,-781865967750,1594424673242,-20000000000,1689000000000,3134605777032,1939501457784,3937502817336,-633499000000,407992000000,-346897000000,-1534916000000,916323000000,472921000000,-1514833000000,714860000000,1550641000000,821970000000,1003372000000,-55176000000,1015343000000,1310371000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892450/000119312504109088/0001193125-04-109088-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000114554905001159/0001145549-05-001159-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312506135677/0001193125-06-135677-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312507143616/0001193125-07-143616-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312508143576/0001193125-08-143576-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000095012309018365/0000950123-09-018365-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312510149116/0001193125-10-149116-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312511176690/0001193125-11-176690-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312512188247/0001193125-12-188247-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312513180088/0001193125-13-180088-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312514162033/0001193125-14-162033-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312515155604/0001193125-15-155604-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312516566595/0001193125-16-566595-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312517145082/0001193125-17-145082-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312518141554/0001193125-18-141554-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312519127310/0001193125-19-127310-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312520124602/0001193125-20-124602-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0009,0.0009,0.0009,0.0009,0.0009,0.00085,0.000937,0.000898,0.000866,0.000921,0.000841
