,https://roic.ai/company/UMH,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,-1222797,-307792,-603024,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91595000,- -,-237000,-96859000,- -
93,Dividends Paid,- -,- -,- -,-900000,-1100000,-1600000,-2300000,-1700000,-2200000,-2800000,-3300000,-3800000,-3689838,-4294509,-4913346,-5374005,-6258646,-7355977,-8174654,-8703075,-7388719,-7064675,-7841131,-10293189,-15407594,-19258072,-21983925,-24297421,-32193915,-37446157,-41585409,-46829000,-58600000,-61353000
94,Other Financing Activites,- -,-700000,500000,800000,-3500000,-2600000,-1800000,1300000,-300000,3300000,4000000,10200000,2484955,11375271,6344885,-3637750,-1268148,4993299,-1482947,23523510,10479129,18249302,25585228,58027611,84724386,91320477,27864671,180332370,83148510,214591645,100727010,134947000,201356000,27269000
95,Cash Used/Provided by Financing Activities,- -,-200000,700000,700000,-3500000,-2300000,-2500000,1400000,2000000,3300000,2700000,5200000,-2427680,6918095,1099628,-3840868,2812190,6161334,-4120735,18540091,4235145,-1329854,28553703,34491139,62910387,95706570,32174955,121419519,45894673,130604097,82314136,90053000,44330000,125634000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-200000,700000,700000,-3500000,-2300000,-2500000,1400000,2000000,3300000,2700000,-100000,674609,168572,771148,905892,5529941,-4219456,-2550329,216949,561274,1736535,1141235,3137003,2237801,-3420681,467649,-1546895,-2319305,19025498,-15113838,6219000,9597000,96433000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1399259,1567831,2338979,3244871,8774812,4555356,2005027,2221976,2783250,4519785,5661020,8798023,11035824,7615143,8082792,6535897,4216592,23242090,12777411,18996000,28593000,125026000
99,Cash at the Beginning of Period,- -,200000,200000,1000000,1100000,200000,400000,400000,2000000,1200000,200000,800000,724650,1399259,1567831,2338979,3244871,8774812,4555356,2005027,2221976,2783250,4519785,5661020,8798023,11035824,7615143,8082792,6535897,4216592,27891249,12777000,18996000,28593000
100,Free Cash Flow,- -,300000,100000,1200000,900000,2700000,2700000,2800000,200000,-2800000,4400000,3000000,4123245,-1241307,3598100,1264814,-2531750,-7041999,-7803138,-10824391,1165810,7357194,-1697389,1563971,9087749,11238088,24326461,25708212,29353412,41341162,40175186,38516000,69037000,65163000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264296000002/0000752642-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264201000003/0000752642-01-000003-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264208000005/umh10k123107.htm,https://www.sec.gov/Archives/edgar/data/752642/000075264209000008/0000752642-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/752642/000075264210000009/0000752642-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/752642/000075264211000006/umh10k123110.htm,- -,https://www.sec.gov/Archives/edgar/data/752642/000114544313000796/0001145443-13-000796-index.html,https://www.sec.gov/Archives/edgar/data/752642/000114544314000325/umh10k1231201331014.htm,https://www.sec.gov/Archives/edgar/data/752642/000121390015001678/d32199_10k.htm,https://www.sec.gov/Archives/edgar/data/752642/000120677416004851/0001206774-16-004851-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315217002243/0001493152-17-002243-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315218003093/0001493152-18-003093-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315219002992/0001493152-19-002992-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315220003441/0001493152-20-003441-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315221005762/0001493152-21-005762-index.htm,https://www.sec.gov/Archives/edgar/data/752642/000149315222005400/0001493152-22-005400-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
