,https://roic.ai/company/LHX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,-360100000,-173800000,-133500000,-122000000,-163000000,-134900000,-194500000,-362800000,-374200000,-297800000,-27000000,833000000,-59600000,29300000,-29300000,-16600000,-488900000,-768600000,-382900000,-134600000,-864600000,-250100000,-1417500000,-248900000,-19700000,-162600000,-3284000000,-1000000,870000000,-141000000,1228000000,- -,1394000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81400000,-76800000,-700000,-34300000,-364600000,-133900000,-954000000,-730000000,-584000000,-1658000000,-810000000,- -,-13000000
91,Common Stock Issued,- -,- -,- -,- -,600000,42100000,200000,2000000,10300000,13500000,8600000,9200000,10900000,12100000,4400000,2600000,1900000,9400000,2300000,37000000,33400000,33800000,35700000,40800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7600000,- -,-30800000,- -,- -,-36700000,-29800000,-26000000,- -,- -,-15700000,-232800000,-92200000,- -,-6000000,-56500000,-56400000,-44900000,-246900000,-233800000,-132300000,-208000000,-256100000,-473500000,-414900000,-309400000,-166000000,- -,-710000000,-272000000,-1591000000,- -,-3675000000
93,Dividends Paid,- -,- -,- -,- -,-34100000,-38100000,-40600000,-40500000,-40800000,-44200000,-56600000,-52800000,-60300000,-70100000,-76500000,-29900000,-13300000,-13200000,-21200000,-26600000,-31900000,-42700000,-58200000,-81500000,-106600000,-115000000,-127000000,-139600000,-164700000,-180300000,-198000000,-252000000,-262000000,-272000000,-509000000,- -,-817000000
94,Other Financing Activites,- -,- -,- -,- -,480800000,-65200000,-63100000,-47200000,-11600000,35600000,-37800000,126900000,214000000,75300000,-156500000,-347900000,-83700000,-110500000,119900000,-23600000,-8400000,290200000,402700000,-138900000,437400000,18900000,876600000,37600000,104500000,175500000,3691000000,89000000,118000000,1397000000,500000000,- -,92000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,439700000,-61200000,-134300000,-85700000,-42100000,-31800000,-115600000,57300000,164600000,17300000,-244300000,-608000000,-187300000,-114300000,95000000,-69700000,-63300000,236400000,133300000,-413400000,117100000,-380900000,492800000,-609800000,-839700000,-448100000,2373000000,-893000000,-1438000000,-805000000,-2410000000,- -,-4413000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,2300000,1100000,-1800000,3300000,1000000,1300000,-1000000,1300000,2500000,2900000,1700000,-1000000,1600000,-2100000,900000,900000,1700000,-2000000,-600000,-8100000,2300000,3300000,-5100000,-8600000,1500000,-23000000,-24000000,-4000000,-1000000,8000000,- -,-3000000
97,Net Change In Cash,- -,- -,- -,- -,439700000,-61200000,-134300000,-85700000,-42100000,-31800000,-115600000,57300000,164600000,17300000,-15800000,292500000,-275200000,123200000,216400000,184900000,-249900000,-196300000,187000000,1700000,-88800000,174000000,-88300000,-10900000,-35000000,240000000,-80000000,6000000,-3000000,-196000000,481000000,- -,-335000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85700000,378200000,103000000,226200000,442600000,627500000,377600000,181300000,368300000,370000000,281200000,455200000,366900000,356000000,321000000,561000000,481000000,487000000,484000000,288000000,824000000,- -,941000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2100000,131800000,137800000,58500000,124200000,131700000,139100000,119300000,74600000,70700000,101500000,85700000,378200000,103000000,226200000,442600000,627500000,377600000,181300000,368300000,370000000,281200000,455200000,366900000,356000000,321000000,561000000,481000000,487000000,484000000,343000000,- -,1276000000
100,Free Cash Flow,- -,- -,- -,- -,-418600000,-11200000,53900000,153200000,72200000,38200000,94500000,-31100000,-145500000,93800000,156500000,-15500000,-82500000,160700000,79800000,203900000,226400000,187800000,309500000,404100000,545000000,604700000,508200000,619100000,654800000,636600000,706000000,772000000,450000000,615000000,1388000000,- -,2352000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/202058/000020205822000015/0000202058-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
