,https://roic.ai/company/EVRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210542000,-36716000,-36184000,-286194000,-274355000,-499568000,-731008000,-332745000,-156378000,-428200000,-455700000,-338200000,-513100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136200000,153200000,25000000,17300000,43200000,59957000,26607000,20906000,7260000,247057000,5584000,2394000,195420000,293621000,4587000,54651000,294942000,6996000,32906000,87669000,257998000,2439000,659000,- -,- -,- -,112500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -,-50000000,-15800000,-9187000,-1413000,-21091000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22567000,- -,- -,- -,- -,- -,-1042300000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134800000,-137900000,-147000000,-141700000,-144100000,-145000000,-98827000,-85547000,-86703000,-57726000,-56189000,-74593000,-80894000,-89471000,-109579000,-122937000,-129146000,-138233000,-158182000,-162904000,-171507000,-186120000,-204340000,-223117000,-475000000,-110000000,-465000000,-497900000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261400000,-11000000,1027100000,-518200000,1005100000,230600000,-154328000,84862000,-116727000,-825534000,-514033000,-58925000,91267000,396851000,464666000,426114000,56622000,120906000,660468000,342109000,597868000,592966000,724821000,247198000,407100000,161800000,704800000,1341900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-396200000,-12700000,933300000,-634900000,828300000,113000000,-202385000,24509000,-203615000,-876000000,-323165000,-127934000,12767000,502800000,648708000,97222000,-54589000,241431000,200521000,-62244000,14462000,-66164000,190175000,-131638000,-1538400000,-403900000,-98400000,443400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1964000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,-300000,1300000,72900000,-60200000,-600000,-2278000,87929000,26618000,-33490000,-54948000,13928000,-20343000,-12443000,17161000,-19054000,-2932000,2611000,2290000,-1342000,69000,-1325000,-165000,366000,156800000,-39300000,121700000,-118700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2400000,3700000,76600000,16400000,15800000,8762000,96691000,123006000,79559000,24611000,38539000,18196000,5753000,22914000,3860000,928000,3539000,5829000,4487000,4556000,3231000,3066000,3432000,160300000,5200000,144900000,26200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,2700000,2400000,3700000,76600000,16400000,11040000,8762000,96388000,113049000,79559000,24611000,38539000,18196000,5753000,22914000,3860000,928000,3539000,5829000,4487000,4556000,3231000,3066000,3500000,44500000,23200000,144900000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,31100000,70100000,75800000,-296500000,217300000,97500000,-21929000,-11620000,237377000,15489000,164594000,141077000,-88874000,-501340000,-662352000,-76732000,67626000,-234755000,-211103000,-77295000,-27697000,14315000,-264550000,147793000,428100000,226700000,193500000,-620800000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1711269/000171126919000013/0001711269-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1711269/000171126920000012/0001711269-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1711269/000171126921000023/0001711269-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1711269/000171126922000008/0001711269-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
