,https://roic.ai/company/TILE,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,6100000,17600000,6000000,35700000,38600000,23000000,31100000,- -,41700000,40600000,76600000,55000000,74700000,- -,71900000,71432000,18302000,57377000,-8495000,9541000,- -,30074000,65708000,55096000,54450000,47380000,24364000,46888000,67458000,46380000,- -,125435000,103353000,91767000,141768000,- -,119070000
84,CAPEX,- -,- -,-9100000,-6800000,-13400000,-21300000,-29600000,-29100000,-15400000,- -,-14500000,-20600000,-42100000,-36400000,-73300000,- -,-116700000,-30495000,-30036000,-14344000,-16328000,-15783000,- -,-34036000,-40592000,-29300000,-8753000,-31715000,-38050000,-42428000,-91851000,-38922000,- -,-27188000,-30474000,-54857000,-74647000,- -,-62949000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29872000,-2198000,- -,- -,- -,- -,- -,60732000,- -,- -,- -,- -,32174000,- -,- -,- -,- -,- -,-400697000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7700000,-79400000,-30400000,-153200000,- -,-4100000,-500000,- -,-3000000,-21900000,-30100000,-41600000,-17900000,- -,-16500000,-10876000,-12447000,-397000,5342000,8010000,- -,21476000,-13964000,-33458000,-7354000,-37043000,-39616000,-24339000,-65753000,-36507000,- -,-26457000,-31088000,-54988000,-74222000,- -,-61689000
89,Cash Used for Investing Activites,- -,- -,-1400000,-86200000,-43800000,-174500000,-29600000,-33200000,-15900000,- -,-17500000,-42500000,-72200000,-78000000,-91200000,- -,-133200000,-71243000,-44681000,-14741000,-10986000,-7773000,- -,-12560000,6176000,-33458000,-7354000,-37043000,-39616000,7835000,-65753000,-36507000,- -,-26457000,-31088000,-455685000,-74222000,- -,-61689000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22412000,-149567000,-285896000,- -,-11477000,-36435000,-257405000,- -,-47767000,-72014000,-78666000,-111692000,- -,-437176000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,400000,600000,- -,- -,300000,1900000,1000000,2900000,6400000,- -,70600000,496000,269000,1341000,241000,4442000,- -,86413000,4569000,1479000,499000,3103000,2669000,1496000,1881000,408000,- -,359000,- -,294000,60000,- -,93000
92,Common Stock Repurchased,- -,- -,- -,- -,64000000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-6842000,-2217000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7669000,- -,-13306000,-91576000,-14485000,-25154000,- -,- -
93,Dividends Paid,- -,- -,-1000000,-1400000,-2100000,-2600000,-3600000,-4100000,-4100000,- -,-4100000,-5100000,-6100000,-6600000,-6400000,- -,-8500000,-9243000,-7628000,-2300000,- -,- -,- -,- -,-4919000,-7562000,-634000,-2721000,-5227000,-5925000,-7283000,-9297000,- -,-11885000,-15487000,-15471000,-15358000,- -,-5565000
94,Other Financing Activites,- -,- -,5300000,73700000,-30200000,147300000,-500000,-100000,-10600000,- -,-20200000,4100000,- -,26600000,18300000,- -,800000,20300000,29986000,-9244000,182000,10763000,- -,-47411000,-101365000,- -,144452000,227138000,-1025000,- -,25018000,247751000,- -,- -,22094000,469854000,85467000,- -,399933000
95,Cash Used/Provided by Financing Activities,- -,- -,4300000,72300000,31700000,144900000,-3700000,- -,-14700000,- -,-24000000,900000,- -,22900000,18300000,- -,60400000,4711000,20410000,-10203000,423000,15205000,- -,39002000,-101715000,-28495000,-5250000,-58376000,-3583000,-15906000,-16819000,-26212000,- -,-72599000,-156983000,361526000,-66677000,- -,-42715000
96,Effect of Forex Changes on Cash,- -,- -,200000,- -,300000,600000,-600000,1600000,-200000,- -,-400000,-200000,- -,100000,-400000,- -,600000,413000,-1099000,913000,1557000,2301000,- -,2392000,3049000,-3761000,1760000,1912000,234000,1092000,-2536000,-1648000,- -,-5579000,6083000,-3656000,-557000,- -,7086000
97,Net Change In Cash,- -,- -,9200000,3700000,-5800000,6700000,-3700000,- -,-14700000,- -,-24000000,900000,- -,22900000,18300000,- -,60400000,5313000,-7068000,33346000,-17501000,19274000,- -,58908000,-26782000,-10618000,43606000,-46127000,-18601000,39909000,-17650000,-17987000,- -,20800000,-78635000,-6048000,312000,- -,21752000
98,Cash at the End of Period,- -,- -,9500000,13200000,7300000,14100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7861000,793000,34134000,16633000,22164000,- -,110220000,82375000,71757000,115363000,69236000,50635000,90533000,72883000,54896000,- -,75696000,87037000,80989000,81301000,- -,103053000
99,Cash at the Beginning of Period,- -,- -,300000,9500000,13100000,7400000,14000000,18700000,10100000,- -,10400000,5800000,4400000,8800000,8800000,- -,10200000,2548000,7861000,788000,34134000,2890000,- -,51312000,109157000,82375000,71757000,115363000,69236000,50624000,90533000,72883000,- -,54896000,165672000,87037000,80989000,- -,81301000
100,Free Cash Flow,- -,- -,-3000000,10800000,-7400000,14400000,9000000,-6100000,15700000,- -,27200000,20000000,34500000,18600000,1400000,- -,-44800000,40937000,-11734000,43033000,-24823000,-6242000,- -,-3962000,25116000,25796000,45697000,15665000,-13686000,4460000,-24393000,7458000,- -,98247000,72879000,36910000,67121000,- -,56121000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715787/000095014403004125/0000950144-03-004125-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000095014404002235/0000950144-04-002235-index.htm,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715787/000119312513083130/0001193125-13-083130-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774914002842/0001437749-14-002842-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774915003389/0001437749-15-003389-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/715787/000143774916026549/0001437749-16-026549-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774918003647/0001437749-18-003647-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774919003613/0001437749-19-003613-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000071578720000009/0000715787-20-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/715787/000071578721000009/0000715787-21-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
