,https://roic.ai/company/PRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117156000,-15683000,-17151000,-28519000,-4954000,-441603000,-330747000,-208607000,-162910000,-184883000,-84531000,-347646000,-50000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,200000,600000,15600000,4502000,400000,41498000,1850000,1926000,1183000,35424000,1789000,1701000,2199000,88747000,2930000,6476000,8172000,1087000,6117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-900000,-3200000,- -,-300000,-1200000,-1800000,-2889000,-8918000,-10560000,-12673000,-4625000,- -,-1667000,- -,- -,- -,- -,-13401000,-7529000,- -,-28046000,-127193000,-34131000,-125000000,- -,- -,-34525000,-62550000,-168735000,-69255000,- -,-570909000
93,Dividends Paid,- -,- -,- -,- -,- -,-500000,-400000,-400000,-500000,-600000,-700000,-765000,-761000,-801000,-816000,-792000,-797000,-798000,-924000,-2042000,-2641000,-2909000,-3249000,-3430000,-4649000,-2929000,-4073000,-5843000,-3875000,-7823000,-6822000,-7420000,-7962000,-6243000,-9437000,-13778000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-6600000,1500000,-1400000,-1000000,20100000,-10000000,85320000,21121000,-24759000,21033000,32009000,-27056000,-4448000,6305000,37085000,95218000,-78372000,56647000,-69248000,61292000,2750000,130414000,37981000,13903000,906370000,291051000,98681000,22025000,230893000,-5329000,-1130000,590628000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-8000000,-2100000,-1800000,-1600000,18900000,3100000,18734000,11842000,5378000,9394000,28518000,-26670000,28511000,7170000,36744000,94776000,7466000,42927000,-73731000,-52341000,-42821000,-11886000,-30512000,-119926000,456944000,-46518000,-151871000,-211397000,-128968000,-168552000,-362554000,-30281000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,75000,-156000,120000,15000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,-14000,12000,-1000,4000,-4000,-2000,3000,-1000,1178000,1108000,1834000,-3558000,2586000,102309000,-37663000,104235000,-46723000,101557000,-227542000,11393000,293619000,-257524000,-35759000,42477000,-21110000,133514000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000,96000,95000,99000,95000,93000,96000,95000,5865000,6973000,8807000,5249000,7376000,109685000,72022000,176257000,129534000,231091000,3549000,14942000,308561000,51037000,15278000,57755000,36645000,170159000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,100000,98000,84000,96000,95000,99000,95000,93000,96000,4687000,5865000,6973000,8807000,4790000,7376000,109685000,72022000,176257000,129534000,231091000,3549000,14942000,308561000,51037000,15278000,57755000,36645000
100,Free Cash Flow,- -,- -,- -,- -,- -,-26900000,-28100000,-23400000,-25800000,-56900000,-44900000,-65032000,-55132000,-76077000,-99670000,-137176000,-83339000,-172633000,29151000,-2985000,-67936000,-20521000,-32353000,815000,110277000,-38375000,228984000,-5319000,250292000,-96527000,106204000,407991000,101162000,277653000,224222000,391619000,236406000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808834/000180883421000012/0001808834-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1808834/000180883422000016/0001808834-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
