,https://roic.ai/company/NVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,921000000,1805000000,385000000,568000000,233000000,858000000,-23000000,1084000000,-401000000,1146000000,-398000000,-641000000,3153000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,615000000,-13000000,124000000,-436000000,-179000000,168000000,-1375000000,-6000000,134000000,-1729000000,74000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-44475200,134236450,159948750,171913500,342354670,-817999200,-145346164,51352650,-165594520,-36965050,224593600,835401000,169864560,951944700,581707860,1304923860,175168600,-521628000,1342649200,2283000000,2512000000,3843000000,-8872000000,-9540000000,-4062000000,-6440000000,663000000,-7352000000,-3968000000,-4407000000,-3402000000,-2489000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1504070400,1186248100,1327888250,1912113000,2662826110,2529923000,1921666906,3031860456,3475574214,3629967910,5261907200,4310669160,4876528410,6178771500,7644519330,8699492400,7741322000,9997870000,12896921200,15378000000,19679000000,21374000000,22214000000,25942000000,31692000000,38287000000,48314000000,41168000000,44616000000,46782000000,51951000000,55000000000
84,CAPEX,- -,- -,- -,- -,- -,-1171372800,-1350052050,-1952002000,-2399314500,-1737313130,-1497448400,-2047951278,-2610084024,-2138716916,-1929575610,-2366254000,-3934738710,-3949351020,-2512897500,-3160978560,-3895859640,-3316902200,-2429150000,-2043394400,-3065000000,-3897000000,-3332000000,-3622000000,-3644000000,-4335000000,-6406000000,-8267000000,-8648000000,-12410000000,-11231000000,-22081000000,-7385000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18283000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300744360,- -,- -,- -,-1027548740,- -,-542084000,- -,- -,-2913000000,- -,-501000000,- -,- -,-3542000000,-643000000,-40000000,-248000000,-350000000,- -,-7113000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16708020,- -,- -,1317074400,- -,514204600,- -,465380400,- -,- -,- -,- -,840000000,2267000000,1532000000,2087000000,2082000000,178000000,148000000,12000000,1172000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-539478400,-426954700,-435938750,-536805000,-517484590,485479200,55994014,-685386702,-3184510,66537090,-176466400,91894110,-431739090,195119100,-170122110,18911940,282530000,1452376000,192571200,-414000000,710000000,-386000000,-197000000,-375000000,-341000000,1136000000,-1166000000,-987000000,-2374000000,-2375000000,-16623000000,-1046000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-1710851200,-1777006750,-2387940750,-2936119500,-2254797720,-1011969200,-1991957264,-3295470726,-2141901426,-1863038520,-2542720400,-4126880940,-4381090110,-2317778400,-2014026270,-4904496440,-2520167600,-1518858000,-1385442800,-3046000000,-5579000000,-3459000000,-4070000000,-2773000000,-2064000000,-6098000000,-6790000000,-6571000000,-12080000000,-11509000000,-22436000000,-31605000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-507000000,-502000000,- -,- -,- -,- -,- -,- -,-741000000,-950000000,-6689000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1724376600,17563000,205209000,- -,- -,- -,- -,29934394,7393010,192508800,33416040,42466140,17738100,87804960,208031340,209072200,240358000,294206000,- -,678000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1969937886,-1449029960,-2470529600,-25062030,-382195260,-1625992500,-1997562840,-3013302440,-3000468600,-4842958000,-4728692800,-6512000000,-9498000000,-10595000000,-11896000000,-13924000000,-14667000000,-17196000000,-15057000000,-16845000000,-15567000000,-15334000000,-16855000000,-19447000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-185657000,-186448153,-279358416,-427998144,-561868760,-689823200,-910587090,-1160741160,-1247579700,-1498172130,-1588602960,-1943806400,-2224590000,-2802980800,- -,-4400000000,-5700000000,-7742000000,-9715000000,-11866000000,-12905000000,-23830000000,-18844000000,-19048000000,-19409000000,-20121000000,-21517000000
94,Other Financing Activites,- -,- -,- -,- -,- -,418760000,552912250,853060000,672025500,591063480,-1157723800,-1054951051,726468822,96172202,1811287450,818162400,-41770050,-21233070,455277900,-65853720,-37823880,-22602400,-15342000,-149777600,-3533000000,- -,- -,- -,- -,- -,- -,- -,- -,94000000,- -,5682000000,22160000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,418760000,2277288850,870623000,877234500,591063480,-1343380800,-1241399204,447110406,-2271829434,-192218260,-2149681600,-944003130,-1521703350,-2400556200,-3473783730,-4431697940,-4757805200,-6842532000,-7387245200,-10045000000,-13220000000,-16802000000,-20140000000,-23639000000,-26533000000,-30101000000,-38887000000,-35689000000,-34521000000,-35484000000,-32244000000,-25493000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106960600,-124497329,25333974,- -,- -,- -,-25062030,-21233070,-17738100,-16463430,151295520,39554200,-5114000,- -,21000000,46000000,-16000000,-8000000,-70000000,68000000,86000000,-26000000,-211000000,44000000,-7000000,-456000000,591000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-938156646,1567318120,577526400,-785276940,-1054575810,1442698800,2140245900,-479102480,502903400,1636480000,4118884000,2308000000,926000000,1097000000,-2004000000,-540000000,3163000000,2174000000,2611000000,-1303000000,-1529000000,-218000000,-3185000000,-1507000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1850837212,3422963630,3072119600,2280644730,1231518060,2678453100,2985368640,2477464140,2983516800,4623056000,8745942000,11034000000,11960000000,13057000000,11053000000,10513000000,13676000000,15850000000,18461000000,17158000000,15629000000,15411000000,12226000000,10719000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4125796800,4349379250,6009055000,5853892500,5685641500,2932272200,3008189050,914761872,2788993858,1855645510,2494593200,3065921670,2286093870,1235754300,845122740,2956566620,2480613400,2986576000,4627058000,8726000000,11034000000,11960000000,13057000000,11053000000,10513000000,13676000000,15850000000,18461000000,17158000000,15629000000,15411000000,12226000000
100,Free Cash Flow,- -,- -,- -,- -,- -,332697600,-163803950,-624113750,-487201500,925512980,1032474600,-126284372,421776432,1336857298,1700392300,2895653200,375930450,927177390,3665874000,4483540770,4803632760,4424419800,7568720000,10853526800,12313000000,15782000000,18042000000,18592000000,22298000000,27357000000,31881000000,40047000000,32520000000,32206000000,35551000000,29870000000,47615000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353278/000120864606000088/0001208646-06-000088-index.htm,https://www.sec.gov/Archives/edgar/data/353278/000120864607000095/0001208646-07-000095-index.htm,https://www.sec.gov/Archives/edgar/data/353278/000120864608000041/0001208646-08-000041-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,0.1517,0.1723,0.1693,0.1593,0.1472,0.1643,0.1797,0.1696,0.1459,0.1565,0.1353,0.1264,0.1198,0.1414,0.1689,0.1823,0.1587,0.1769,0.1958,0.188,0.1925,0.1794,0.174,0.1768,0.1841,0.1625,0.1455,0.1415,0.1611,0.1536,0.1501,0.1641,0.1529
