,https://roic.ai/company/CLRO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-700000,-600000,-300000,-300000,-268139,-644454,-722997,-1006808,-215854,-252841,-677208,-1198000,-684000,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142313,736,3366,3912,30274,15095,23900980,95000,- -,- -,- -,54000,605000,134000,- -,747000,- -,- -,- -,- -,- -,- -,9883000,- -,4764000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191381,-52964,-430000,-63000,- -,- -,-6053000,-4355000,-6768000,- -,- -,-384000,-2416000,-2598000,- -,-6086000,-5119000,-147000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-914000,-1417000,-1817000,-2239000,-583000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,3500000,200000,- -,1900000,-192646,566906,-470597,566970,355255,324989,1163935,1998000,-770000,-940000,- -,9000,70000,- -,- -,66000,492000,593000,1493000,504000,-289000,-157000,39000,2677000,1513000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,2800000,-400000,-300000,1600000,-318472,-76812,-1190228,-435926,169675,-104138,24334743,465000,-1517000,-940000,- -,-5990000,-3680000,-6634000,-2000000,813000,108000,-1823000,-2019000,-913000,-8192000,-7515000,9192000,2677000,6277000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000,-61000,-32000,70000,-82000,-41000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94525,-149771,651333,3206858,1452813,1477247,7396259,4380000,-1917000,-2315000,-652000,1542000,545000,6474000,1937000,5252000,38826000,-38317000,-9752000,5972000,-1312000,-6529000,5640000,-7147000,-261000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213763,63992,715325,3922183,5374996,6852243,14248502,6124000,4207000,1892000,1240000,2782000,3327000,9801000,11431000,16683000,55509000,17192000,7440000,13412000,12100000,5571000,11211000,4064000,3803000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,100000,1300000,1300000,400000,119238,213763,63992,715325,3922183,5374996,6852243,1744000,6124000,4207000,1892000,1240000,2782000,3327000,9494000,11431000,16683000,55509000,17192000,7440000,13412000,12100000,5571000,11211000,4064000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,-600000,-500000,-1800000,352538,174582,1752815,3613159,1236993,2361447,-2643175,640000,-669000,-1506000,1938000,5875000,2690000,-2995000,3587000,5419000,43350000,-10992000,5978000,7235000,6943000,-12476000,-11756000,-10023000,-1266000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/840715/000089155401505330/0000891554-01-505330-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/840715/000114036105011060/0001140361-05-011060-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071506000010/0000840715-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071506000045/0000840715-06-000045-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071507000049/0000840715-07-000049-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071508000040/0000840715-08-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/840715/000084071511000003/0000840715-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071512000011/0000840715-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071513000019/0000840715-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071514000014/0000840715-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071515000005/0000840715-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000084071516000073/0000840715-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000149315217002516/0001493152-17-002516-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000143774918007378/0001437749-18-007378-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000143774919007187/0001437749-19-007187-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000175392620000071/0001753926-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/840715/000175392621000080/0001753926-21-000080-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
