,https://roic.ai/company/GILD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,-17500000,-203400000,-171900000,-174000000,-437600000,-411000000,-486100000,-187000000,-229862000,-377725000,-490259000,-934759000,-1464046000,-2225980000,-2609483000,-3507119000,-3273112000,-2614046000,-5502687000,-5127790000,-1269898000,-256700000,-2125000000,-17239000000,-25976000000,-23314000000,-10579000000,-32228000000,-20770000000,-3897000000
87,Sales/Maturities of Investments,- -,- -,- -,83600000,207200000,104600000,401800000,284900000,528600000,185600000,163730000,280534000,603678000,744530000,1024584000,1582015000,3711529000,2329743000,3220149000,1876019000,3717820000,9438147000,572525000,571772000,859000000,5511000000,14739000000,18261000000,25858000000,29921000000,32718000000,2910000000
88,Other Investing Activites,- -,- -,- -,100000,- -,100000,- -,100000,- -,-2400000,-2450000,144300000,-50000000,- -,- -,- -,- -,- -,-115005000,-230057000,-61884000,-131904000,-397046000,-190782000,-557000000,-747000000,-748000000,-590000000,-924000000,-5510000000,-821000000,-742000000
89,Cash Used for Investing Activites,- -,-300000,-18000000,-124100000,32100000,-69900000,-39500000,-129900000,40000000,-16300000,-84203000,20780000,45822000,-727345000,-490828000,-691916000,-1739334000,-1302467000,-178819000,-2215900000,-1937751000,3589845000,-11846054000,-254355000,-1823000000,-12475000000,-11985000000,-16069000000,14355000000,-7817000000,-14615000000,-3131000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4326000,-311103000,-868408000,-651549000,-1839325000,-4439968000,-4805000000,-997000000,-1981000000,-1811000000,-6250000000,-2750000000,-2500000000,-4750000000
91,Common Stock Issued,- -,7800000,99700000,47200000,800000,92100000,160400000,53200000,9000000,29300000,30451000,36311000,51386000,83806000,78796000,143283000,403386000,243427000,246125000,222728000,221223000,211737000,466283000,313079000,331000000,319000000,208000000,234000000,289000000,209000000,256000000,169000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-544942000,-487543000,-1969582000,-998495000,-4022593000,-2383132000,-667041000,-582358000,-5349000000,-10002000000,-11001000000,-954000000,-2900000000,-1749000000,-1583000000,-546000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1874000000,-2455000000,-2731000000,-2971000000,-3222000000,-3449000000,-3605000000
94,Other Financing Activites,- -,-100000,-400000,- -,400000,-2100000,200000,-3400000,-1800000,-5300000,238594000,-2761000,335223000,-1715000,-137000,298613000,790817000,-23183000,191939000,35432000,3331068000,4586513000,2603429000,2165306000,6798000000,7591000000,5882000000,8655000000,-486000000,-122000000,8046000000,-145000000
95,Cash Used/Provided by Financing Activities,- -,7700000,99300000,47200000,1200000,90000000,160600000,49800000,7200000,24000000,269045000,33550000,386609000,82091000,78659000,441896000,649261000,-267299000,-1535844000,-1051438000,-1338710000,1763569000,563346000,-2543941000,-3025000000,-4963000000,-9347000000,3393000000,-12318000000,-7634000000,770000000,-8877000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,3641000,-1151000,-13399000,-11565000,-13019000,-38056000,-19892000,-43553000,1220000,940000,77469000,-16526000,7909000,2420000,-56000000,-67000000,41000000,137000000,-85000000,-2000000,43000000,-35000000
97,Net Change In Cash,- -,7700000,99300000,47200000,1200000,90000000,160600000,49800000,7200000,-54100000,150281000,-34953000,493441000,-422212000,86190000,427004000,108094000,152079000,491216000,-186344000,-365079000,8975898000,-8080083000,309112000,7914000000,2824000000,-4622000000,-641000000,10352000000,-6309000000,-5634000000,-659000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,197292000,162339000,616931000,194719000,280909000,707913000,816007000,968086000,1459302000,1272958000,907879000,9883777000,1803694000,2112806000,10027000000,12851000000,8229000000,7588000000,17940000000,11631000000,5997000000,5338000000
99,Cash at the Beginning of Period,- -,5300000,10300000,87900000,2100000,30400000,27400000,132000000,32000000,101100000,47011000,197292000,123490000,616931000,194719000,280909000,707913000,816007000,968086000,1459302000,1272958000,907879000,9883777000,1803694000,2113000000,10027000000,12851000000,8229000000,7588000000,17940000000,11631000000,5997000000
100,Free Cash Flow,- -,-2700000,-4200000,-13300000,-25600000,-23600000,-20200000,-23800000,-49200000,-75100000,-53823000,-114461000,56812000,195998000,460012000,667129000,1112851000,1686750000,2089654000,2849997000,2772029000,3507106000,2797670000,2914206000,12261000000,19582000000,15921000000,11308000000,7476000000,8319000000,7518000000,10805000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882095/000091205702011690/0000912057-02-011690-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000104746903008695/0001047469-03-008695-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000110465904007080/0001104659-04-007080-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000110465905010858/0001104659-05-010858-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312506045128/0001193125-06-045128-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312507041203/0001193125-07-041203-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312508040255/0001193125-08-040255-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312509040769/0001193125-09-040769-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312510044753/0001193125-10-044753-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312511050041/0001193125-11-050041-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000119312512075335/0001193125-12-075335-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/0000882095-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/0000882095-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/0000882095-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209516000039/0000882095-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209517000006/0000882095-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/0000882095-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/0000882095-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/0000882095-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209521000008/0000882095-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209522000007/0000882095-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
