,https://roic.ai/company/PHG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-539128370,- -,- -,- -,- -,1082325330,815742320,306495580,354086400,-249915760,44703710,-208504480,58000000,-563000000,-234000000,-590000000,-150000000,-270000000,-50000000,-413000000,-906000000,-610000000,-320000000,149000000,-47000000,414000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1242145086,135552690,-785707307,71842026,-373420908,-89185170,-955453590,-5818551840,-1153790190,-7754501420,561955000,2687375400,-625695640,-2398197680,-1919960940,-3986964780,-2807951780,157000000,-112000000,-203000000,1674000000,147000000,307000000,-865000000,-652000000,-626000000,-652000000,-92000000,-304000000,-196000000,-3031000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1494145289,1651789800,2645522299,2362550712,1214319870,1217257050,3463632900,2218621320,1919008490,3004696280,1249787920,2229949800,1988251120,2694745040,2088822940,853916630,1368310650,1446000000,1545000000,2156000000,566000000,2198000000,1138000000,1303000000,1167000000,1904000000,1870000000,1780000000,2031000000,2777000000,1629000000
84,CAPEX,- -,- -,- -,- -,- -,-1533517986,-2043469215,-1274769104,-1804939164,-2377711617,-2316404010,-1674543780,-1624317300,-1666585830,-3179313640,-2146668100,-1161670430,-978244960,-1388313760,-996285800,-803151400,-780520060,-892000000,-620000000,-952000000,-841000000,-1061000000,-993000000,-846000000,-957000000,-869000000,-859000000,-843000000,-1013000000,-942000000,-763000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-456370960,-302726970,-862039260,-3002239590,-3217644280,-3642592310,-626101290,-468477700,-439657280,-1186255550,-2148808840,155006620,-5292000000,-210000000,-223000000,-490000000,-226000000,68000000,-197000000,-1059000000,-171000000,-2280000000,-558000000,-109000000,-313000000,-2991000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1123910,- -,- -,- -,- -,-31065290,- -,- -,-6000000,-16000000,- -,-167000000,-13000000,-81000000,-21000000,-61000000,-42000000,-34000000,-63000000,-144000000,-124000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158012610,850727260,- -,- -,- -,- -,- -,3788450,- -,2576000000,718000000,268000000,- -,3000000,15000000,107000000,53000000,16000000,6000000,77000000,547000000,65000000,124000000
88,Other Investing Activites,- -,- -,- -,- -,- -,574154035,451263015,1679856024,339231360,358212663,695805020,1916361720,6174111060,665839300,3135659300,1218318440,1539999520,2187552650,2480817840,3479401510,6766929390,4599444220,398000000,-197000000,-731000000,-243000000,-522000000,-1067000000,-813000000,-914000000,-951000000,-883000000,-971000000,-978000000,-924000000,-681000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-959363951,-1592206200,405086920,-1465707804,-2019498954,-2076969950,-60909030,3687754500,-3844973510,-2410571360,-4572065880,-247772200,740829990,652846800,1296860160,3787692310,3973930780,-3089000000,-219000000,-702000000,-1458000000,-912000000,-997000000,-984000000,-1941000000,-1167000000,-3199000000,-1486000000,-603000000,-1316000000,-3672000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1726000000,-252000000,-79000000,-1097000000,-630000000,-186000000,-333000000,-104000000,-362000000,-1332000000,-1161000000,-761000000,-298000000,-302000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,29543535,276391164,64829070,4913433,35352680,- -,- -,- -,- -,- -,- -,49229860,- -,- -,- -,- -,- -,29000000,65000000,-671000000,- -,- -,- -,81000000,943000000,227000000,94000000,58000000,46000000,23000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112727160,-156036780,-37764020,-579218560,-336049090,-19059400,- -,-17704320,-1759542040,-2754960840,-1450615050,-3257000000,- -,- -,-671000000,- -,- -,- -,-506000000,-606000000,-642000000,-1042000000,-1376000000,-343000000,-1636000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-77060970,-204336420,-253093050,-249999750,-324863460,-361739560,-400342240,-458555280,-459331540,-458949340,-459574640,-503208760,-522806100,-639916710,-698000000,-634000000,-296000000,-259000000,-255000000,-272000000,-292000000,-298000000,-330000000,-384000000,-401000000,-453000000,-1000000,-482000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-768552057,-310248495,-3028472832,-605560596,984714366,891851700,-2276361360,-328274100,-2214164120,-1063675260,3959534930,-419306800,-943307640,-1666419120,-324215040,-437187130,-281206700,2106000000,312000000,214000000,911000000,593000000,-783000000,-564000000,1335000000,-65000000,2186000000,1318000000,867000000,1079000000,50000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-768552057,-280704960,-2752081668,-617792496,785291379,674111330,-2639088270,-809174340,-2613667700,-2043236060,3164930560,-897697740,-1353027120,-2143698080,-2586965840,-3714954070,-2371738460,-3575000000,-545000000,-96000000,-1787000000,-292000000,-1241000000,-1189000000,508000000,-420000000,55000000,-1192000000,-1665000000,483000000,-2347000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-22338589,- -,7886648,-43219380,-59741106,-51422080,-32727240,30695760,306087320,204430080,-41584670,-115309370,-164364210,72292640,159574590,-196999400,-112482680,-39000000,-15000000,89000000,-7000000,-51000000,-63000000,85000000,80000000,-17000000,-184000000,- -,-2000000,-55000000,65000000
97,Net Change In Cash,- -,- -,- -,- -,- -,-768552057,-280704960,-2752081668,-617792496,785291379,-237827120,729999270,5127044580,-4234539190,-1244681060,-200055980,968217520,1211689780,1276186400,958291850,729655470,2858020290,-5257000000,766000000,1447000000,-2686000000,687000000,-1369000000,-592000000,-107000000,568000000,-395000000,-251000000,-263000000,1801000000,-923000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989071570,1692725580,6516027720,2337394080,1092423240,891260630,1859244470,3066543860,4345672880,5288757840,6022877810,8782565350,3620000000,4386000000,5833000000,3147000000,3834000000,2465000000,1873000000,1766000000,2334000000,1939000000,1688000000,1425000000,3226000000,2303000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1102435516,975267675,764915235,1090840842,1370613834,1226898690,962726310,1388983140,6571933270,2337104300,1091316610,891026950,1854854080,3069486480,4330465990,5293222340,5924545060,8877000000,3620000000,4386000000,5833000000,3147000000,3834000000,2465000000,1873000000,1766000000,2334000000,1939000000,1688000000,1425000000,3226000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-39372697,-391679415,1370753195,557611548,-1163391747,-1099146960,1789089120,594304020,252422660,-174617360,-896880180,1068279370,1010006160,1306431280,1092537140,50765230,587790590,554000000,925000000,1204000000,-275000000,1137000000,145000000,457000000,210000000,1035000000,1011000000,937000000,1018000000,1835000000,866000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313216/000115697305000220/0001156973-05-000220-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697306000211/0001156973-06-000211-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697307000251/0001156973-07-000251-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697308000201/0001156973-08-000201-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000115697309000099/0001156973-09-000099-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000095012310015062/0000950123-10-015062-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000095012311015455/0000950123-11-015455-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312512078390/0001193125-12-078390-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312513073920/0001193125-13-073920-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312514067281/0001193125-14-067281-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312515059725/0001193125-15-059725-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312516473594/0001193125-16-473594-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000119312517050359/0001193125-17-050359-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321618000007/0000313216-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321619000007/0000313216-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/313216/000031321620000011/0000313216-20-000011-index.htm,- -,- -
102,Forex Rate,undefined,1.3113,1.1734,1.1918,1.367,1.3369,1.2047,1.113,1.2269,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
