,https://roic.ai/company/DCUE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,-215200000,-166700000,-127700000,597100000,-396000000,2018000000,264000000,-776000000,842000000,1984000000,1729000000,649000000,357000000,46000000,218000000,-311000000,402000000,226000000,38000000,104000000,-27000000,-115000000,167000000,2529000000,936000000,155000000,-733000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-707200000,-921200000,-1292700000,-2880200000,-649500000,-1542000000,-2597000000,-4193000000,-3960000000,-3373000000,-1256000000,-3360000000,-3494000000,10192000000,-3490000000,-3695000000,419000000,-3321000000,-3840000000,-3458000000,-5181000000,-6503000000,-10703000000,-5993000000,-2358000000,-4622000000,-2916000000,-6247000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1182000000,-1492000000,-637000000,-1675000000,-2388000000,-4393000000,-1292000000,-4064000000,-1822000000,-10096000000,-12229000000,-4020000000,-6140000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,186700000,311700000,169700000,176200000,354300000,- -,532000000,994000000,2420000000,990000000,839000000,664000000,479000000,226000000,240000000,456000000,74000000,38000000,265000000,278000000,597000000,786000000,3124000000,1320000000,2465000000,4097000000,159000000,192000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98500000,-372000000,-1641000000,- -,-66000000,- -,- -,-276000000,-540000000,-5768000000,- -,- -,-900000000,-601000000,- -,- -,-259000000,- -,- -,- -,- -,- -,-3080000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434700000,-448700000,-460100000,-478000000,-504200000,-493000000,-615000000,-649000000,-723000000,-825000000,-861000000,-923000000,-970000000,-931000000,-916000000,-1056000000,-1093000000,-1146000000,-1225000000,-1319000000,-1409000000,-1536000000,-1727000000,-1931000000,-2185000000,-2983000000,-2873000000,-2036000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,-193100000,595000000,2130600000,-204900000,1006000000,3058000000,1560000000,-314000000,688000000,-1298000000,1057000000,516000000,-3328000000,1291000000,1670000000,1179000000,2724000000,2484000000,3522000000,7208000000,4359000000,8897000000,3736000000,7607000000,10411000000,7481000000,10355000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239900000,-330100000,304600000,1828800000,-453300000,141000000,1334000000,1905000000,1317000000,853000000,-1320000000,522000000,-515000000,-9801000000,615000000,-112000000,-2232000000,378000000,-151000000,93000000,1744000000,2317000000,6230000000,1303000000,-2209000000,-704000000,-2333000000,2371000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,44700000,-80000000,44100000,210800000,104000000,-146000000,80000000,126000000,-195000000,-165000000,263000000,-215000000,-4000000,145000000,-216000000,-21000000,12000000,40000000,146000000,68000000,2000000,289000000,-346000000,-141000000,206000000,-122000000,-22000000,161000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,146700000,66700000,110800000,321600000,425600000,280000000,360000000,486000000,291000000,126000000,389000000,146000000,142000000,287000000,71000000,50000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,120000000,391000000,269000000,247000000,408000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000000,146700000,66700000,110800000,321600000,426000000,280000000,360000000,486000000,291000000,126000000,361000000,146000000,142000000,287000000,71000000,50000000,62000000,102000000,248000000,316000000,318000000,607000000,261000000,185000000,391000000,269000000,247000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,330900000,593800000,548200000,489100000,503100000,451000000,-395000000,246000000,-380000000,-1083000000,89000000,-735000000,-47000000,-4218000000,-895000000,-51000000,-1597000000,-669000000,-8000000,-671000000,-1906000000,-1100000000,-1958000000,-955000000,519000000,224000000,-793000000,-1923000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
